"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
96,-3.12822482349995,-63.2037036414844,"Codajás",1301308,"AM","Amazônia",18709.69868,233.8,5.8,3.7,5.3,3.1,1.3,0,2.3,1.4,1.3,1.1,0.8,0.6,1.1,3.1,1,1.1,1.4,1.9,2.5,1.3,1.4,1.9,16269.6,727.4,1432.7
97,-7.04124111099995,-70.1194046568482,"Eirunepé",1301407,"AM","Amazônia",14974.30221,274.9,35.1,7.7,16.7,6.1,2.1,0.9,1.1,3.1,1.7,5.4,3.3,0.9,1.4,3.1,0.1,1.7,2.8,3.9,3.4,2.9,6.1,6.6,14224.7,162.5,179.3
98,-7.61611666649995,-70.1958295777982,"Envira",1301506,"AM","Amazônia",7503.38039,134.5,15.2,7.9,25.9,16.4,6.5,6.3,9.2,6.8,5.8,10.1,7.1,6.7,5.4,8.8,5.1,4.4,4.6,11.6,13.1,9.8,13.6,19,7080.3,0.1,61.1
99,-2.54589320499997,-66.9157177823453,"Fonte Boa",1301605,"AM","Amazônia",12092.11835,74,0.8,2.7,14.1,0.1,0,0.7,0.1,1.9,0.7,2.2,1,0.1,0.2,1.6,0.7,1.5,0.4,0.1,0.6,0,0.6,1.9,10988,157.5,838
100,-7.25147166699995,-72.7449640436309,"Guajará",1301654,"AM","Amazônia",7575.12149,315.6,10.3,29.4,29.5,40,8.3,0.8,2.3,3.5,2,7.9,6.5,4.9,3.1,1.2,4.5,5.8,4.8,11.8,18.9,20.6,24.8,34.6,6758.7,201.1,6.8
101,-7.5099249999999,-62.5956128429225,"Humaitá",1301704,"AM","Amazônia",33127.16885,534.8,39.1,7.5,10.5,14.5,15.5,4.7,13,20.7,5.2,8,11,8.6,10.7,13.6,9.1,17.5,34.6,47.4,89.2,108.6,197.8,169.9,27792.2,3147.4,794.9
102,-7.14173361149997,-71.4188253499075,"Ipixuna",1301803,"AM","Amazônia",12081.31106,146,3.7,6.1,15.2,15.3,9,1.6,1.9,5.3,0.8,4.5,2.3,6.3,6.5,1.2,4.3,4.8,2.3,7.3,7.7,8.1,12,18.1,11649.7,68.4,68.8
103,-3.08379595999997,-60.6580890465812,"Iranduba",1301852,"AM","Amazônia",2163.0573,338.2,81.4,7.1,16.7,6,0.9,3.5,3.7,1.9,7.5,5.9,2.8,1,2.3,2.8,3.7,1.6,2,1.2,0.8,2.2,0.7,0.7,1222.3,131.9,308.8
104,-3.13629060899996,-58.8133089950471,"Itacoatiara",1301902,"AM","Amazônia",8820.71089,1446.7,75.5,55.8,23.4,29.6,9.5,15.1,9.4,26.9,5.5,19.1,17.5,6.1,4.1,7.8,6,7.9,11.1,4.7,14.1,10.2,16.5,26.1,4462.7,841.3,1664.4
105,-6.72728249999989,-67.9216543371561,"Itamarati",1301951,"AM","Amazônia",25296.63755,96.2,5.5,5.3,2.9,0.5,2.4,1.4,1.9,1.5,1,3.3,1.5,1.5,1.5,3.2,1,0.6,0.8,0.8,1,1.3,1.1,3.5,24862.5,3.1,288.2
