"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
163,-3.94782788399997,-51.355188864371,"Anapu",1500859,"PA","Amazônia",11872.42827,859.6,240.7,31.4,180.4,173,133.7,137.2,81.4,74.6,26.8,77.5,223.3,15.8,19.2,32.1,95.1,85.5,98.4,56.4,217.3,111.9,133.7,108.2,8476.3,6.9,171
164,-1.10105037699995,-46.4990266401899,"Augusto Corrêa",1500909,"PA","Amazônia",1081.64291,702.8,4.1,0,9.7,0.9,0.4,1.7,4.8,0.3,0.4,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,317.4,7.8,26.9
165,-2.26170520549996,-47.7086227718671,"Aurora do Pará",1500958,"PA","Amazônia",1813.02134,1171,196.8,5.6,22.7,33,18.8,22,19.9,17.2,10.7,10.8,6.8,0.9,4.7,0.9,0.9,1.5,4.6,3.7,1.3,3.1,2.6,2.1,225.4,0,17.1
166,-3.76654676649994,-56.0141458278133,"Aveiro",1501006,"PA","Amazônia",17088.13518,836.9,29.2,51.3,34.5,42.2,20.9,15.7,34,33,29.2,17.9,34.5,15.9,14.1,29.8,16,13.4,30.6,21,45,35,55.6,53.1,14839,17.9,726.5
167,-2.48114611249997,-50.1813975416885,"Bagre",1501105,"PA","Amazônia",4337.33258,31.3,133.2,3.8,2.5,2.1,2.8,1.1,1.2,3.7,1.9,17.4,2.3,0.9,0.5,0.2,0.7,1.8,1.4,0.8,2.3,3.3,6.1,3.4,3798.8,63.1,250.1
168,-3.16899945799994,-49.7499558206982,"Baião",1501204,"PA","Amazônia",3764.07407,1319.6,68.4,14.7,39.8,24.2,13.9,14.7,16.3,18.2,13.4,22.8,7.4,7.9,6.2,3.8,4.4,5.6,5.2,9.9,7.2,6.4,14.6,8.9,1388.7,477.5,238.2
169,-7.47644243199997,-50.6771936105118,"Bannach",1501253,"PA","Amazônia",2961.12119,1555.6,96.4,114.5,49.6,54.3,109.8,33.6,51.8,48.2,15.8,5.6,5.6,6.9,4.6,2.7,22.6,10.9,5.5,1.6,2.3,2.2,5,4,690.8,62.6,0
170,-1.43567491599995,-48.6379766577339,"Barcarena",1501303,"PA","Amazônia",1350.25912,226.9,52.7,7.6,9.9,9.3,3.8,6.9,3.3,1.1,2.7,1.9,1,2.4,0.8,1,0.3,0.7,2.8,0.8,0.1,2.6,2,0.6,484.3,1.9,524.6
171,-1.27056894649994,-48.5021456480738,"Belém",1501402,"PA","Amazônia",1118.26148,216.2,14.5,2.5,6,4.6,1.2,2.3,0.2,0.9,0.1,0.9,0.3,0.2,0,0,0.3,0.3,0.3,0.9,1.3,0.2,0.5,0.1,281.8,7.4,576
172,-3.24670259649997,-54.9374235507111,"Belterra",1501451,"PA","Amazônia",4409.30222,684.2,29.6,18.7,21.9,28.3,3.4,5.7,11.8,4.9,6.6,4.3,1.6,2.3,0.7,1.2,11,4.5,2,2.6,5.1,4.5,16.4,13.2,2946.1,0,591.6
173,-1.35374977449993,-48.2563266402894,"Benevides",1501501,"PA","Amazônia",173.42376,94.2,18.2,1,4,1.1,0.2,1.3,0.4,0.1,0,0.1,0,0,0.2,0,0.1,0,0.2,0.2,0.1,0.3,0.1,0.4,38.9,0,8.1
174,-5.02840478049995,-48.7704280481228,"Bom Jesus do Tocantins",1501576,"PA","Amazônia",2804.32872,1513.8,38,42.1,14.3,41.1,29.8,6.1,14.3,10.5,5.4,7.4,2.3,1.8,6,5.6,5.5,8,5.7,6.8,7.3,19.1,8,6.5,861.6,75.1,45.2
175,-1.39460086799997,-47.311871572596,"Bonito",1501600,"PA","Amazônia",591.04498,390.4,59.9,14.3,31.6,14,4.2,14.1,3,6.7,0.6,1.4,1.7,0,0.6,0.3,0.8,0.8,0.6,0,0,0.2,0.2,0,46.5,0,0
176,-1.18517112749996,-46.7659082955075,"Bragança",1501709,"PA","Amazônia",2127.68146,1660.5,4.5,0,21.7,2.5,5.6,3.6,0.6,1.2,6.1,2.7,0.9,0.2,0,1.1,0.5,0,0.6,0.3,0.2,0.4,0.3,0,400.4,0,0
177,-3.30703340899996,-52.610583707413,"Brasil Novo",1501725,"PA","Amazônia",6375.69367,987.2,20.6,0,1064.7,59.1,144.6,16,109.8,16.8,56.8,49.7,38.4,8.8,31.8,8.6,10.8,6.6,27.7,18.8,26,26.7,20.1,8.6,3600.7,0.2,7.4
178,-5.76599331299997,-48.4970802323676,"Brejo Grande do Araguaia",1501758,"PA","Amazônia",1254.44285,923.2,41.4,11.7,24,13.9,14.8,2.8,7.5,8.7,3.2,2.3,2.2,1.1,2.6,2.8,1.2,2.3,1.9,0.9,1.2,1.4,2,1.9,118.4,30,29
179,-3.75639051199997,-49.468683760302,"Breu Branco",1501782,"PA","Amazônia",3976.57044,2113.6,96.6,58.5,90.9,97.8,46.8,53.9,51.8,67.5,17.5,54,14.8,17.1,11.2,6.5,16,9.2,8.9,9,9.3,13.1,13.1,8.3,848.1,0.9,255.4
180,-1.15919716749997,-50.4396061892683,"Breves",1501808,"PA","Amazônia",9581.49022,59.7,348.8,114.6,0.3,4.3,1,0.1,0.2,3.9,1,2,0.6,0.3,1.2,0.5,0.9,1.9,1,0.4,1.8,1.9,2.3,1.5,7921.2,85.6,1022
181,-1.64598214549997,-48.0518883940125,"Bujaru",1501907,"PA","Amazônia",999.66178,536.2,15.1,4.6,9.4,35.7,9.8,13.7,12.1,5.6,0.5,1.2,1.7,0.9,2.6,0.1,1.1,0.7,6.2,0.9,0.2,1.3,0.6,0.2,261.2,11.9,57.5
182,-2.01465225199996,-46.4267534238416,"Cachoeira do Piriá",1501956,"PA","Amazônia",2468.50136,931,116.3,2.5,47.7,8.6,86.8,37.2,0.6,23.4,81.8,58.8,24.3,3.3,5,10.5,12.6,9.2,21,19.1,22.8,27.9,15.5,11.9,880.2,0,8.4
183,-0.812696951999953,-48.9560601641282,"Cachoeira do Arari",1502004,"PA","Amazônia",3036.01763,1.5,68.3,0,0.1,0.9,0.3,0.2,0.2,0,0.3,0.9,0.2,0,0.1,0,0,0.1,0,0.2,0,0,0.4,0.1,220.2,2269.3,472.3
184,-2.28114816099995,-49.5157392876403,"Cametá",1502103,"PA","Amazônia",3087.59658,898.4,174.9,19.4,0.8,1.2,0.8,0.3,2.5,0.8,6.7,13.5,1.4,0.5,0.4,0.3,0.3,0.4,1.3,1.1,0.1,0.4,0.3,0.4,855.9,658.2,453.6
185,-6.48238318599996,-50.0313893939931,"Canaã dos Carajás",1502152,"PA","Amazônia",3148.29984,1653.4,12,15.5,16.9,9.4,13.4,0.7,3.8,8.9,0.9,1.3,1.1,0.3,0.3,1.4,2.7,2.1,1.4,1,1.1,1.9,2.4,1.8,1289.5,106.4,0.1
186,-1.18777465799994,-47.1279008364772,"Capanema",1502202,"PA","Amazônia",610.0522,457.4,4.5,10.7,19.2,5.1,1.5,2.5,1.3,4,1.3,0.6,1.4,0,0.1,0.3,1.3,0.1,0.2,0.1,0.1,0.5,0.3,0,58.2,30.4,2.3
187,-2.06612873099996,-47.2587670577736,"Capitão Poço",1502301,"PA","Amazônia",2902.65429,2201.7,163.1,9.4,41.3,36.8,20.8,43.1,4.4,7.1,11.7,1.5,9.2,0.6,1.1,1.2,1.2,1.1,1.8,1.5,1.6,1.2,2.3,1.5,317,2,1.4
188,-1.26302337649997,-47.9305010432209,"Castanhal",1502400,"PA","Amazônia",1034.94793,728.8,100.1,7.4,26.3,8.8,4.2,10.6,3.9,5.6,0.5,1.5,1,0.6,1.2,0.2,0.7,0.8,0.9,0.4,0.3,0.7,0.9,0.5,124.7,0,1
189,0.0180125050330283,-49.8455492483161,"Chaves",1502509,"PA","Amazônia",12390.9187,82.7,2.9,2.2,0.8,0.1,0.8,1.3,0.3,0.2,0.8,2.6,0.2,0.2,0.1,0.2,0.8,0,2.2,0,0.3,0.1,0,0.1,4013.1,5333.8,2943.5
190,-0.917512562999946,-48.2285877903999,"Colares",1502608,"PA","Amazônia",390.35126,64.9,5.6,2.8,11.4,2,0.6,2.6,0.3,0.5,0,0.2,0.2,0,0,0,0,0.1,0.2,0,0,0.1,0.1,0.1,136.6,14.9,147.5
191,-8.14417758999995,-49.4102561727827,"Conceição do Araguaia",1502707,"PA","Amazônia",3580.47415,2311.1,93.4,70.4,37,58.4,77.3,9.6,12.7,40.4,6.9,17,5,6.9,5.7,3.6,1.7,5.8,2.7,2.5,8.5,2,4.3,4.2,235.4,189.8,56.2
192,-8.17423003949995,-49.7291135189346,"Conceição do Araguaia",1502707,"PA","Cerrado",2264.11257,535.6,35.8,35.8,31.8,31.8,25.3,25.3,23,23,11.3,11.3,0.2,0.2,37.1,19.1,0,69.2,0.4,24.3,0.5,66.7,34.7,47.1,1165.6,0.2,8.8
193,-1.87323333749995,-47.9757398883629,"Concórdia do Pará",1502756,"PA","Amazônia",700.51117,573,3.2,2.3,3.8,14.1,3.5,3.8,3.1,2.4,0.9,0.4,0.6,0.6,0.6,0.3,0.5,0.2,3.1,0.4,0.3,0.8,0.3,0.3,84.7,0,0.3
194,-8.51158745699996,-51.3711022136226,"Cumaru do Norte",1502764,"PA","Amazônia",17091.04824,4178.3,438.4,366.8,348.2,401.2,580.9,175.3,291,183.3,37.2,42.5,58.9,57.8,37.8,25.6,40.6,32.6,38.4,28.8,43.9,69.8,46.8,25.4,8080.7,1466.2,0
195,-6.24958897149995,-49.6942134613108,"Curionópolis",1502772,"PA","Amazônia",2373.35826,1995.1,9.7,13.6,10.4,6.4,3.9,0,10.7,4.7,0.9,3.6,0.3,0.5,0,0,0.5,0.5,1.7,0.9,2.8,3.8,1.4,4.3,294.5,4.7,0
196,-1.58090321099996,-50.0586489328257,"Curralinho",1502806,"PA","Amazônia",3697.05652,6.9,121.4,53.4,0.4,0.4,1.4,0.3,1.6,0.7,3.3,9.1,1.4,0.5,1.7,0.2,0.1,1,0.2,0,1.7,1.1,2.8,0.8,2860.3,244.1,382
197,-1.77989271299992,-55.1028096665731,"Curuá",1502855,"PA","Amazônia",1447.48244,290.9,2.4,2.1,1.2,4.2,4.2,2.4,5,4,4.3,7.4,3.3,2.1,1.4,5.9,3.8,5.6,5.9,5,11.2,9.6,6.9,6.2,305.8,275.5,475.5
198,-0.752759933499959,-47.8671008313324,"Curuçá",1502905,"PA","Amazônia",677.54476,211.6,6.9,9.1,24.1,4.1,0.4,9,1.5,2.3,1.4,1.6,0.4,0.1,2.3,0.1,0.2,1,0.4,1.1,0.6,0.9,0.7,0.1,347.3,1.3,51.4
199,-4.20143186499996,-47.7638854719496,"Dom Eliseu",1502939,"PA","Amazônia",5253.4282,2480.8,51.8,247.4,59.8,89.8,149,95.3,65.9,53.3,40.6,37.2,24.6,29.4,10.3,5.8,6.9,7.3,5.6,10.7,13.1,26.7,43.1,47.6,1624.4,0,0
200,-6.11717836349993,-49.258222285168,"Eldorado do Carajás",1502954,"PA","Amazônia",2958.42457,2234.5,123.5,65.7,31,76.7,70.7,4.3,29.5,30.3,24.6,22,5.3,2.6,4.6,4.1,4.5,10.6,1.9,3.9,3.5,2.8,3.1,3.2,190.9,0,0
201,-1.12147001099996,-57.7959282800062,"Faro",1503002,"PA","Amazônia",11801.28632,187.9,9.5,7.8,4.9,3.6,4.6,3,3.2,2,2.3,5.6,3,0.7,1.4,2.4,3.2,0.9,1.1,3.3,1.2,1.2,3.4,4.8,11260.8,92.6,186.8
202,-7.52192842299995,-49.4721919381768,"Floresta do Araguaia",1503044,"PA","Amazônia",2260.79769,1506,8,9.2,0.9,50.8,123.2,11.4,17.4,18.4,11.6,11.6,3.6,5,4.8,2.9,2.9,2.8,3.6,1.2,2.6,2.2,3,2.3,131,149.8,55
203,-7.70709947249998,-49.7217206424824,"Floresta do Araguaia",1503044,"PA","Cerrado",1163.2399,224.8,15.5,15.5,11.4,11.4,20.5,20.5,7.2,7.2,13.6,13.6,0.2,0.2,35.4,60.7,0.4,37.9,0.4,34.7,0.6,50.2,35.8,13.3,532,0.1,0
204,-2.22081397849993,-47.0840601755238,"Garrafão do Norte",1503077,"PA","Amazônia",1615.51973,1251.6,45.2,5.5,0.1,46.2,17.5,18.3,4.5,8.3,17.8,6.9,9.8,0.9,0.3,4,1.3,1,0.6,1,0.6,0.9,1.2,2,173.5,0,0
205,-4.01805487599995,-48.7171729400689,"Goianésia do Pará",1503093,"PA","Amazônia",7095.8688,2947.6,40,239.8,56.7,126.4,65.9,57.3,53.2,35.8,25.9,49.3,21.5,16.2,38.3,23.3,24.6,20.6,23.6,20.3,30,39,29,27.8,2584.6,0,480.9
206,-1.10247054499996,-51.4919122858538,"Gurupá",1503101,"PA","Amazônia",8677.87624,3.9,62.1,5,9,3.8,3.7,1.8,0.8,3.6,5.5,6.2,0.6,3.4,0.6,1.9,0.2,1.2,2.2,3,4.6,3.8,2.2,2.4,6686.5,520.2,1338.4
207,-1.17551612849996,-47.5761613188543,"Igarapé-Açu",1503200,"PA","Amazônia",780.78466,577.5,17.7,12.3,41.7,9.8,8.6,4.1,0.7,4.2,1,0.6,0.1,0.1,0.8,0,0.3,0.1,0.6,0,0,0.2,0.1,0,82.3,7.7,1.6
208,-2.07911335049994,-49.0863144391907,"Igarapé-Miri",1503309,"PA","Amazônia",2057.60753,163,271.2,0.1,0.7,4.5,0.2,0.5,5.5,2.4,3.1,18.2,2.7,1,1,0.3,0.6,0.1,0.5,1.2,0.8,1.1,4.4,0.5,1044.4,208.6,314.7
209,-1.45416690499997,-47.896712397929,"Inhangapi",1503408,"PA","Amazônia",462.33767,278.3,19.5,2.4,6.7,4.6,1.4,4.6,1.7,1.1,0.1,0,0,0.1,0.2,0,0,0.1,0.2,0.1,0.2,0.2,0.3,0,100,6.8,26.8
210,-2.93603947799994,-47.9669359247947,"Ipixuna do Pará",1503457,"PA","Amazônia",5219.28937,1874.5,177.9,63.9,215.2,78.8,83.1,27.4,27.3,46.5,32.8,45.4,14.3,9,18.3,6.4,14,11.3,8.4,12.5,7.3,23.2,29.6,10.5,2320.8,6.8,36.3
211,-1.83599090599995,-47.3987040607063,"Irituia",1503507,"PA","Amazônia",1381.61983,933.9,74.3,18.9,64,51.8,1.2,47.4,5,4.4,0.8,0,4.9,0.2,0.9,0.1,1.9,1.8,1,0.3,0.1,0.5,0.8,0.5,143.7,16.7,2.2
212,-6.03212693599994,-55.968468970169,"Itaituba",1503606,"PA","Amazônia",62052.87714,3207,124.2,176.5,256.1,276,111.2,106,121.5,170,148.7,91.1,89.4,94.7,188.2,99.5,90.2,129.6,80,96,168.9,272.6,355.6,347.8,53944.5,468.9,832.6
213,-5.07907827699995,-49.9000275787145,"Itupiranga",1503705,"PA","Amazônia",7832.13965,3184.9,150.1,58.9,218.3,153.4,21.7,236.7,130.4,226.2,88,51.2,58.9,42.4,62.5,48.6,27.8,87.6,29.2,30.5,34.8,33.2,48.3,26.8,2660.9,5.8,117.1
214,-7.47822662149994,-57.6074230821595,"Jacareacanga",1503754,"PA","Amazônia",53283.98345,579.1,62.6,108.7,240.1,117.9,79.2,63.9,32.4,23.3,14.8,26.3,28.1,32.7,22.4,24.2,31.4,48.8,35.2,51.7,94,88.9,110.8,107.5,46273,5288.9,695.7
215,-4.59189340599997,-49.2142998516264,"Jacundá",1503804,"PA","Amazônia",2060.35978,1378,3.9,16.7,0.4,43.8,26.4,8.1,12.2,6,3.6,6.7,2.3,0.9,1.9,2,3.3,2.2,2,2.7,3.8,3.8,1.6,1.4,305.1,0,265.7
216,-2.64864970499997,-56.2375934500756,"Juruti",1503903,"PA","Amazônia",8289.86715,1025.8,32,25.9,5.6,4,9,6.1,6.2,11.5,14.4,7.5,6.1,1.4,2.3,12.9,8.3,4,11.6,5.4,15.8,9.3,4.6,15.6,5303.8,638.3,1098.4
217,-1.87102643299994,-49.5320890030292,"Limoeiro do Ajuru",1504000,"PA","Amazônia",1498.60278,0.5,58.1,0,0,0.1,0.3,0,0,0.1,0.3,2.9,0.1,0,0,0,0,0.2,0.1,0,0.1,0.2,0.3,0,879.6,53.7,501.7
218,-1.98954142599996,-47.5084318008778,"Mãe do Rio",1504059,"PA","Amazônia",468.51046,375.2,29.7,7.1,13.4,12.2,0,5.4,2.2,0.3,0,0,0.1,0,0,0,0.2,0.4,0.4,0,0,0.2,0,0,16.7,0,1.4
219,-0.820495605499957,-47.6426247910141,"Magalhães Barata",1504109,"PA","Amazônia",325.88015,140,0.2,2.5,8.1,3.3,4,2.1,0.7,0.4,0,0.5,0.1,0,0.6,0,0.3,0,0.3,0.5,0.2,1.7,1.2,0.1,129.2,2.4,26.4
220,-5.52587499449993,-49.9450937513415,"Marabá",1504208,"PA","Amazônia",15053.68988,5763,366.6,254.2,462.2,246.9,126.4,256.7,164.6,347.6,110.8,78.8,64.6,52.6,80.9,38.3,45.6,99.5,41.6,48.3,67.3,57.9,73.6,42.5,5970.7,35.5,89.1
221,-0.804691314499962,-47.4866138897003,"Maracanã",1504307,"PA","Amazônia",805.21431,256.2,5,12.6,19,15.1,6.4,1.1,1.7,1.3,0.5,2.1,0.6,0.4,1.4,0.2,0.6,0.6,1.4,1.1,1.6,0.9,0.6,0.3,376.1,33.1,62.7
222,-0.798191070499939,-47.7555395900869,"Marapanim",1504406,"PA","Amazônia",803.09461,335.1,1.4,20.2,17.7,5.1,4,4.5,1.5,4.7,1.8,1,0.2,0,1.4,0.3,1.4,0.5,0.7,0.8,0,0.7,1.3,0.7,306.7,41.9,47.4
223,-1.39573274649993,-48.3179856077218,"Marituba",1504422,"PA","Amazônia",113.62618,57.1,8.8,0.8,2.3,0.8,0.3,0.2,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0.1,39.3,0,7.4
224,-3.16548387699996,-53.2173333179755,"Medicilândia",1504455,"PA","Amazônia",8326.9056,853.9,3.2,0,691.5,84.4,43.7,9.4,145.5,28.2,55,46.3,29.1,20.9,38,17.2,17.9,8,116.6,62.9,112.9,64.6,105.5,102.1,5685.7,0,0.8
225,-1.54137365899996,-51.0704467934651,"Melgaço",1504505,"PA","Amazônia",6777.37728,2.8,128,11.9,0.4,4,0.8,1.6,0.2,4.5,0.1,1,0.4,2.2,0.6,1.6,0.3,0.6,2.9,1.6,2.6,2.2,1.8,1.9,5895.5,168.2,539.2
226,-2.54917229449995,-49.355772274507,"Mocajuba",1504604,"PA","Amazônia",872.35072,469.3,14.6,0,1.1,0.7,0,0.1,0.4,0.5,0.3,1.9,0.6,0.3,0.2,0.2,0,0.3,0.3,0.3,0.1,0.1,0,0,133.1,169.6,75.4
227,-2.53273868149995,-49.0623324743995,"Moju",1504703,"PA","Amazônia",9098.17456,2683.9,567.6,75.7,116.9,129.1,80.2,109.5,79,116,66.7,115.5,42.6,43.1,35.9,24.8,25.5,30.3,43.1,33.5,27.9,36.3,55.7,74.6,4232.3,189.4,56.8
228,-3.03747232699996,-54.5381713695709,"Mojuí dos Campos",1504752,"PA","Amazônia",4982.60201,1246.4,53.2,37.3,45.4,59.6,14.2,39.4,28.8,25.5,30,12.7,10.9,11.4,3.9,6.2,31.9,10.2,19.3,24.2,45.3,31.4,61.8,80.8,4483.4,0,93.2
229,-1.02102478649996,-54.2870164718488,"Monte Alegre",1504802,"PA","Amazônia",18202.36159,2931.7,15.3,11.6,22.2,10.9,40.8,12.3,13.6,30.2,7.3,20,10.9,15,9.7,15.1,11,23.5,31,11.6,25.8,32.8,37.6,37.3,10956.8,1678.1,1161.6
230,-1.31208753399994,-49.344443348264,"Muaná",1504901,"PA","Amazônia",3700.05703,3.6,91.3,0,0,0.3,0.3,0.2,0.5,0,0.8,1.7,0.1,0.1,0,0,0,0,0,0.3,0,0.1,0.3,0.1,1715.7,1386.9,496.1
231,-2.39171587049995,-46.7935902603841,"Nova Esperança do Piriá",1504950,"PA","Amazônia",2808.19818,1138.4,71.6,10.1,0.1,107.4,31.5,19.3,17.7,16.3,59.6,10,33.1,2.6,6.8,13.6,2.7,7.4,5.5,4.5,4.4,7.7,2.4,7.9,1217.4,0,0.2
232,-5.01996075499994,-49.2119873048641,"Nova Ipixuna",1504976,"PA","Amazônia",1635.42918,976.4,16.1,8,12.5,45.4,25.7,4.4,15.9,11.4,10.4,7.3,5.3,2.6,2.2,2.2,3.7,4.5,3.9,3,6.4,6.5,3.7,4,234.7,124.1,90.9
233,-1.16982746149995,-47.4077381674185,"Nova Timboteua",1505007,"PA","Amazônia",493.99495,321.3,8,4.9,27.6,6.4,1.9,3.8,0.3,2.3,0.3,0.2,0.2,0.1,0.4,0,0.3,0.5,0.6,0.5,0,0.1,0,0,91.2,19.2,3.5
234,-7.90829599299997,-55.5957908067442,"Novo Progresso",1505031,"PA","Amazônia",38178.22287,1792.4,327.7,654,380.9,740.1,228.4,253.7,348.6,235.9,316.8,50.8,53.1,74,164.2,115.4,169.6,140.6,60.6,192.2,201.1,364.1,414.2,261.8,27045.8,3529.8,72.6
235,-4.53182949299989,-50.1924386383465,"Novo Repartimento",1505064,"PA","Amazônia",15328.63809,3110,667.2,228.1,522.8,459.9,211.8,446.3,361.6,482.4,285.5,222.7,181.9,120.8,150.4,77.8,73.6,224.9,121.7,167,141.2,154.8,190.5,109.4,5432.3,1,1183.6
236,0.0878022700000542,-55.7660287705829,"Óbidos",1505106,"PA","Amazônia",27830.4581,1452.2,17.9,40.4,34.9,54.4,30.3,28.7,39.7,41.3,27.7,44.5,15.6,10,15.5,23,13.2,10.2,17.9,22.4,34.8,42.4,29.6,31.7,19771.3,4617.2,1361.6
237,-2.39051587449995,-49.9257076600583,"Oeiras do Pará",1505205,"PA","Amazônia",3750.73047,430,231.4,2.5,10.4,4.1,2,0.9,6.3,4.9,8.1,56.8,6.5,3.2,2.3,1.9,1.9,3.6,7.5,1.9,2.7,2.4,10.6,3.3,2273.3,384.1,291.6
238,0.269457658500045,-57.523509510979,"Oriximiná",1505304,"PA","Amazônia",107592.45789,1170.7,40.4,60,37.7,26.6,23,13.8,25,29.2,18,37.5,12.3,4.5,8.6,8.7,13.5,11.7,11.5,14.6,20.6,24.5,17.1,14.4,100499,3660.7,1789.8
239,-1.49706945199995,-47.1234530501463,"Ourém",1505403,"PA","Amazônia",561.04052,395.3,36.9,5.9,9.4,20.2,3.4,11.2,0.8,6.9,1.8,0.2,1.2,0,0.1,0.1,0.3,0.7,0.6,0.4,0.3,0.3,0.4,0,57.9,1.3,0.8
240,-7.48480495499996,-51.5148412183256,"Ourilândia do Norte",1505437,"PA","Amazônia",14339.05077,1316.2,98.4,73.6,40.9,18.9,46.4,9.2,24.1,20.2,7.3,3.1,5.5,4.6,4.4,5.7,5.4,7.6,13.2,8.7,16.4,17.7,15,7.9,9333.1,3225,2.9
241,-3.69875263599994,-50.6045435843498,"Pacajá",1505486,"PA","Amazônia",11834.39546,1558.1,1602.8,55,203.2,262.3,279.4,213,168.3,259.1,100.1,274.2,196.7,33.7,29.9,78.5,165.6,140.5,179.3,130.2,312,247.2,258.2,222.1,4869.7,0,0
242,-5.90966682199993,-48.3550739667165,"Palestina do Pará",1505494,"PA","Amazônia",984.62407,678.3,25.1,30.1,7.3,15.7,22.7,0.8,8.4,8.1,3.2,4.5,1,1.1,1.8,1.7,1.2,2.3,1.3,0.8,1.2,1.1,1.1,0.7,113,0.6,38.6
243,-3.12472679349995,-47.4044601177688,"Paragominas",1505502,"PA","Amazônia",19323.72785,7171.9,110.7,149.2,92.9,266.7,333.7,92.1,90.4,63.2,120.4,67.6,35.1,17.1,30.6,19.7,24,19.9,19.6,18.1,25.8,19.6,31.2,47,10376.7,7,31.3
244,-6.19780961999993,-50.4313143530786,"Parauapebas",1505536,"PA","Amazônia",6956.23129,1118.5,35.6,27.3,24.8,15,19.9,5.9,15.4,28,4.9,4.2,2.3,4.2,4.1,1.4,1.8,5.9,1.5,2.6,4.5,4.1,7.4,4.2,5522.1,86.4,0.9
245,-7.68305675999995,-50.248616407592,"Pau D'Arco",1505551,"PA","Amazônia",1187.94434,732.1,44.7,17.4,10.7,12.6,15.4,2.4,3.5,10.8,4.6,1.1,2.4,1.3,1.5,1,0.6,0.6,0.5,0.4,1.3,3,3.9,1.6,227.7,11,0
246,-7.81309406249997,-49.9437714876874,"Pau D'Arco",1505551,"PA","Cerrado",481.01125,124.3,8.2,8.2,5.6,5.6,8,8,4.2,4.2,3.7,3.7,0,0,8.8,5.9,0,8.9,0,11.5,0.1,7,4.3,11.4,239.6,0,0
247,-1.14581095649996,-47.2712114745203,"Peixe-Boi",1505601,"PA","Amazônia",450.3512,304.3,3.3,7.5,26.7,5.9,1.4,2.1,0.5,3.8,0.1,0.5,0.4,0.3,0.5,0,1.6,0.5,1.8,0.3,0,0.2,0.3,0.1,66.2,16,3.6
248,-6.55401112349995,-48.9976987564392,"Piçarra",1505635,"PA","Amazônia",3297.55758,2500.7,51.4,55.3,9.5,83.4,117,7.1,18,17.1,12.1,11.9,3.5,2.3,3.5,5.1,3.1,3.2,2.8,3.8,2,1.6,1.9,1.9,283.1,0,79.5
249,-3.91517175299995,-54.4428456945108,"Placas",1505650,"PA","Amazônia",7171.60827,1219.1,46.6,20.8,36.1,72.6,32.6,65.6,63.6,85.7,39.5,56.3,40,79.6,24.8,53.4,88.9,67.7,87.9,90.3,104.8,85.9,141.3,141.2,4419,0.1,0.1
250,-1.11100377149995,-49.0629951052308,"Ponta de Pedras",1505700,"PA","Amazônia",3338.95991,0.9,49,0.5,0,1.1,0.2,0,0,0,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,556.3,2261.3,468.1
251,-2.60623820899997,-51.0033108747923,"Portel",1505809,"PA","Amazônia",25397.77124,435.3,494.4,48.1,49.9,72.2,50.6,43,87.1,96.7,31,56.1,73,12.3,17,60.7,109.7,178.4,167.6,96.8,254.2,190,240.6,315.5,20981.3,389.6,846.9
252,-2.16424880499994,-52.5960590102785,"Porto de Moz",1505908,"PA","Amazônia",17450.09537,166.5,7.8,17,329.2,111.2,132.8,19.2,54.8,22.3,53.9,31.3,19.4,20.5,16,21.6,21.7,20.9,15.1,35.9,41.6,32.1,51.2,41.4,11552.8,3157.3,1457.5
253,-1.91863670699996,-53.4574774580217,"Prainha",1506005,"PA","Amazônia",14811.49255,814.7,315.4,61.6,96.4,28.6,42.5,65,40,71.4,34.1,68.7,18.2,26.4,27.6,37.4,55.1,47,67,26.8,74.9,54.9,66.9,85.2,8058.2,2988.8,1549.6
254,-0.938465117999954,-47.1527682829355,"Primavera",1506104,"PA","Amazônia",273.43131,139.9,0,10.3,21.4,3.5,1.4,1.2,2,0.9,0.1,0.3,0.6,0.1,0.2,0.2,0.5,0.1,0,0.1,0,0.4,0.1,0.3,75.6,9.5,8.2
255,-0.858583450499964,-47.0088907390607,"Quatipuru",1506112,"PA","Amazônia",292.90262,51.7,1.7,4.1,7.4,1.3,0.6,0.5,3.5,2,0.4,0.4,0,0.1,0,0,1.2,0.1,0.2,0.2,0,0.1,0.1,0,164.7,25.3,20
256,-8.05186065399997,-50.2591795793281,"Redenção",1506138,"PA","Amazônia",2969.87995,2361,46.6,30.2,9.3,10.1,15.2,1.3,4.9,7,2.9,1.1,0.7,1.7,0.3,0.1,0.1,0.4,0.3,0.1,0.7,0.2,0.3,0.1,270.3,38.6,0
257,-8.12937222699998,-49.9587671604057,"Redenção",1506138,"PA","Cerrado",854.16958,195.6,39.4,39.4,21.1,21.1,18.5,18.5,14,14,8.6,8.6,0.3,0.3,18.3,15,0.1,17.5,0.1,11.1,0.6,26.4,19.3,11.5,334.8,0,0
