cod_ibge,id_mun,ano,obitos
1500206,150020,2014,0
1500602,150060,2014,1
1500800,150080,2014,1
1501402,150140,2014,0
1501576,150157,2014,0
1502608,150260,2014,0
1503309,150330,2014,0
1503507,150350,2014,0
1503606,150360,2014,0
1504208,150420,2014,0
1504604,150460,2014,0
1504802,150480,2014,0
1505205,150520,2014,0
1505304,150530,2014,1
1506195,150619,2014,0
1507300,150730,2014,0
1507953,150795,2014,1
1508050,150805,2014,0
1508084,150808,2014,0
1508159,150815,2014,0
1508357,150835,2014,1
1600279,160027,2014,1
1600303,160030,2014,0
1600501,160050,2014,0
1600535,160053,2014,0
1600600,160060,2014,0
1700251,170025,2014,0
1702109,170210,2014,0
1702208,170220,2014,0
1703701,170370,2014,0
1703883,170388,2014,0
1705508,170550,2014,0
1707009,170700,2014,0
1707108,170710,2014,0
1707207,170720,2014,0
1707306,170730,2014,0
1709302,170930,2014,0
1709500,170950,2014,0
1710508,171050,2014,0
1713205,171320,2014,0
1716109,171610,2014,0
1716505,171650,2014,0
1716604,171660,2014,0
1717909,171790,2014,0
1718204,171820,2014,0
1718501,171850,2014,0
1718709,171870,2014,0
1720259,172025,2014,0
1720655,172065,2014,0
1721000,172100,2014,0
1721109,172110,2014,0
1721208,172120,2014,0
1722107,172210,2014,0
2100600,210060,2014,0
2101004,210100,2014,0
2101608,210160,2014,0
2102705,210270,2014,0
2103257,210325,2014,0
2103505,210350,2014,0
2103802,210380,2014,0
2104404,210440,2014,0
2105302,210530,2014,1
2105401,210540,2014,0
2105500,210550,2014,0
2105708,210570,2014,0
2105906,210590,2014,0
2105963,210596,2014,0
2106326,210632,2014,0
2106755,210675,2014,1
2107357,210735,2014,2
2107456,210745,2014,1
2107506,210750,2014,0
2107704,210770,2014,0
2108009,210800,2014,0
2109007,210900,2014,0
2109452,210945,2014,0
2110005,211000,2014,1
2110708,211070,2014,0
2111029,211102,2014,1
2111052,211105,2014,0
2111201,211120,2014,2
2111300,211130,2014,6
2111409,211140,2014,0
2112233,211223,2014,0
2112902,211290,2014,0
2113009,211300,2014,0
5100250,510025,2014,1
5100409,510040,2014,0
5100508,510050,2014,1
5101308,510130,2014,0
5101803,510180,2014,0
5101902,510190,2014,0
5102504,510250,2014,0
5102603,510260,2014,0
5102637,510263,2014,0
5102678,510267,2014,0
5102694,510269,2014,0
5102702,510270,2014,0
5103007,510300,2014,0
5103205,510320,2014,0
5103254,510325,2014,0
5103304,510330,2014,0
5103353,510335,2014,0
5103403,510340,2014,1
5103502,510350,2014,0
5103809,510380,2014,0
5103858,510385,2014,0
5104104,510410,2014,0
5104807,510480,2014,0
5105002,510500,2014,0
5105101,510510,2014,0
5105150,510515,2014,0
5105259,510525,2014,0
5105606,510560,2014,0
5106000,510600,2014,0
5106190,510619,2014,0
5106216,510621,2014,0
5106224,510622,2014,0
5106265,510626,2014,0
5106273,510627,2014,0
5106422,510642,2014,0
5106505,510650,2014,0
5106653,510665,2014,0
5106752,510675,2014,0
5106778,510677,2014,0
5107008,510700,2014,0
5107040,510704,2014,0
5107065,510706,2014,0
5107602,510760,2014,1
5107768,510776,2014,0
5107859,510785,2014,0
5107875,510787,2014,0
5107883,510788,2014,0
5107909,510790,2014,1
5107925,510792,2014,0
5107958,510795,2014,0
5108303,510830,2014,0
5108402,510840,2014,0
5108501,510850,2014,0
1100015,110001,2015,0
1100023,110002,2015,0
1100049,110004,2015,0
1100056,110005,2015,0
1100098,110009,2015,0
1100106,110010,2015,0
1100114,110011,2015,0
1100122,110012,2015,0
1100148,110014,2015,0
1100155,110015,2015,3
1100205,110020,2015,1
1100288,110028,2015,0
1100304,110030,2015,0
1100320,110032,2015,0
1100346,110034,2015,0
1100502,110050,2015,0
1100940,110094,2015,0
1101450,110145,2015,0
1101484,110148,2015,0
1101492,110149,2015,0
1200054,120005,2015,0
1200104,120010,2015,0
1200203,120020,2015,1
1200302,120030,2015,0
1200385,120038,2015,0
1200401,120040,2015,0
1300029,130002,2015,0
1300607,130060,2015,0
1301209,130120,2015,0
1301407,130140,2015,0
1301704,130170,2015,0
1301803,130180,2015,0
1301902,130190,2015,0
1302306,130230,2015,0
1302405,130240,2015,0
1302504,130250,2015,0
1302603,130260,2015,3
1302702,130270,2015,0
1303403,130340,2015,0
1303809,130380,2015,0
1303908,130390,2015,0
1304062,130406,2015,0
1304104,130410,2015,0
1304203,130420,2015,0
1400050,140005,2015,0
1400100,140010,2015,0
1500206,150020,2015,0
1500602,150060,2015,1
1500800,150080,2015,0
1501402,150140,2015,2
1501576,150157,2015,0
1502608,150260,2015,0
1503309,150330,2015,0
1503507,150350,2015,1
1503606,150360,2015,0
1504208,150420,2015,0
1504604,150460,2015,0
1504802,150480,2015,0
1505205,150520,2015,0
1505304,150530,2015,0
1506195,150619,2015,1
1507300,150730,2015,0
1507953,150795,2015,0
1508050,150805,2015,0
1508084,150808,2015,0
1508159,150815,2015,0
1508357,150835,2015,0
1600279,160027,2015,0
1600303,160030,2015,2
1600501,160050,2015,0
1600535,160053,2015,0
1600600,160060,2015,0
1700251,170025,2015,1
1702109,170210,2015,0
1702208,170220,2015,1
1703701,170370,2015,1
1703883,170388,2015,0
1705508,170550,2015,0
1707009,170700,2015,0
1707108,170710,2015,0
1707207,170720,2015,0
1707306,170730,2015,0
1709302,170930,2015,1
1709500,170950,2015,0
1710508,171050,2015,0
1713205,171320,2015,0
1716109,171610,2015,0
1716505,171650,2015,0
1716604,171660,2015,0
1717909,171790,2015,1
1718204,171820,2015,0
1718501,171850,2015,0
1718709,171870,2015,0
1720259,172025,2015,0
1720655,172065,2015,0
1721000,172100,2015,1
1721109,172110,2015,0
1721208,172120,2015,0
1722107,172210,2015,0
2100600,210060,2015,0
2101004,210100,2015,0
2101608,210160,2015,1
2102705,210270,2015,0
2103257,210325,2015,0
2103505,210350,2015,0
2103802,210380,2015,0
2104404,210440,2015,0
2105302,210530,2015,2
2105401,210540,2015,1
2105500,210550,2015,0
2105708,210570,2015,0
2105906,210590,2015,0
2105963,210596,2015,0
2106326,210632,2015,0
2106755,210675,2015,1
2107357,210735,2015,0
2107456,210745,2015,0
2107506,210750,2015,0
2107704,210770,2015,0
2108009,210800,2015,1
2109007,210900,2015,0
2109452,210945,2015,1
2110005,211000,2015,0
2110708,211070,2015,0
2111029,211102,2015,0
2111052,211105,2015,0
2111201,211120,2015,0
2111300,211130,2015,6
2111409,211140,2015,0
2112233,211223,2015,0
2112902,211290,2015,1
2113009,211300,2015,0
5100250,510025,2015,0
5100409,510040,2015,0
5100508,510050,2015,0
5101308,510130,2015,0
5101803,510180,2015,0
5101902,510190,2015,0
5102504,510250,2015,0
5102603,510260,2015,0
5102637,510263,2015,0
5102678,510267,2015,0
5102694,510269,2015,0
5102702,510270,2015,0
5103007,510300,2015,0
5103205,510320,2015,0
5103254,510325,2015,0
5103304,510330,2015,0
5103353,510335,2015,0
5103403,510340,2015,2
5103502,510350,2015,0
5103809,510380,2015,0
5103858,510385,2015,0
5104104,510410,2015,0
5104807,510480,2015,0
5105002,510500,2015,0
5105101,510510,2015,0
5105150,510515,2015,1
5105259,510525,2015,1
5105606,510560,2015,1
5106000,510600,2015,0
5106190,510619,2015,0
5106216,510621,2015,0
5106224,510622,2015,0
5106265,510626,2015,0
5106273,510627,2015,0
5106422,510642,2015,1
5106505,510650,2015,0
5106653,510665,2015,0
5106752,510675,2015,0
5106778,510677,2015,0
5107008,510700,2015,0
5107040,510704,2015,0
5107065,510706,2015,0
5107602,510760,2015,1
5107768,510776,2015,0
5107859,510785,2015,0
5107875,510787,2015,1
5107883,510788,2015,0
5107909,510790,2015,0
5107925,510792,2015,1
5107958,510795,2015,0
5108303,510830,2015,0
5108402,510840,2015,0
5108501,510850,2015,0
1100015,110001,2016,0
1100023,110002,2016,0
1100049,110004,2016,0
1100056,110005,2016,0
1100098,110009,2016,0
1100106,110010,2016,0
1100114,110011,2016,0
1100122,110012,2016,0
1100148,110014,2016,0
1100155,110015,2016,0
1100205,110020,2016,1
1100288,110028,2016,1
1100304,110030,2016,0
1100320,110032,2016,0
1100346,110034,2016,0
1100502,110050,2016,1
1100940,110094,2016,0
1101450,110145,2016,0
1101484,110148,2016,0
1101492,110149,2016,0
1200054,120005,2016,0
1200104,120010,2016,0
1200203,120020,2016,0
1200302,120030,2016,0
1200385,120038,2016,0
1200401,120040,2016,0
1300029,130002,2016,0
1300607,130060,2016,0
1301209,130120,2016,0
1301407,130140,2016,0
1301704,130170,2016,0
1301803,130180,2016,0
1301902,130190,2016,0
1302306,130230,2016,0
1302405,130240,2016,0
1302504,130250,2016,0
1302603,130260,2016,1
1302702,130270,2016,0
1303403,130340,2016,0
1303809,130380,2016,0
1303908,130390,2016,0
1304062,130406,2016,0
1304104,130410,2016,0
1304203,130420,2016,0
1400050,140005,2016,0
1400100,140010,2016,0
1500206,150020,2016,0
1500602,150060,2016,0
1500800,150080,2016,0
1501402,150140,2016,0
1501576,150157,2016,0
1502608,150260,2016,0
1503309,150330,2016,0
1503507,150350,2016,0
1503606,150360,2016,0
1504208,150420,2016,0
1504604,150460,2016,0
1504802,150480,2016,0
1505205,150520,2016,0
1505304,150530,2016,0
1506195,150619,2016,0
1507300,150730,2016,0
1507953,150795,2016,0
1508050,150805,2016,0
1508084,150808,2016,0
1508159,150815,2016,0
1508357,150835,2016,0
1600279,160027,2016,0
1600303,160030,2016,0
1600501,160050,2016,0
1600535,160053,2016,0
1600600,160060,2016,1
1700251,170025,2016,0
1702109,170210,2016,0
1702208,170220,2016,0
1703701,170370,2016,0
1703883,170388,2016,0
1705508,170550,2016,0
1707009,170700,2016,0
1707108,170710,2016,0
1707207,170720,2016,0
1707306,170730,2016,0
1709302,170930,2016,0
1709500,170950,2016,0
1710508,171050,2016,0
1713205,171320,2016,0
1716109,171610,2016,0
1716505,171650,2016,0
1716604,171660,2016,0
1717909,171790,2016,0
1718204,171820,2016,0
1718501,171850,2016,0
1718709,171870,2016,0
1720259,172025,2016,0
1720655,172065,2016,0
1721000,172100,2016,0
1721109,172110,2016,0
1721208,172120,2016,0
1722107,172210,2016,0
2100600,210060,2016,0
2101004,210100,2016,0
2101608,210160,2016,5
2102705,210270,2016,0
2103257,210325,2016,0
2103505,210350,2016,0
2103802,210380,2016,0
2104404,210440,2016,0
2105302,210530,2016,2
2105401,210540,2016,0
2105500,210550,2016,1
2105708,210570,2016,0
2105906,210590,2016,0
2105963,210596,2016,0
2106326,210632,2016,0
2106755,210675,2016,0
2107357,210735,2016,0
2107456,210745,2016,0
2107506,210750,2016,0
2107704,210770,2016,0
2108009,210800,2016,0
2109007,210900,2016,0
2109452,210945,2016,0
2110005,211000,2016,0
2110708,211070,2016,0
2111029,211102,2016,0
2111052,211105,2016,0
2111201,211120,2016,1
2111300,211130,2016,1
2111409,211140,2016,0
2112233,211223,2016,0
2112902,211290,2016,0
2113009,211300,2016,0
5100250,510025,2016,0
5100409,510040,2016,0
5100508,510050,2016,0
5101308,510130,2016,0
5101803,510180,2016,0
5101902,510190,2016,1
5102504,510250,2016,0
5102603,510260,2016,0
5102637,510263,2016,0
5102678,510267,2016,0
5102694,510269,2016,0
5102702,510270,2016,0
5103007,510300,2016,0
5103205,510320,2016,0
5103254,510325,2016,0
5103304,510330,2016,0
5103353,510335,2016,0
5103403,510340,2016,0
5103502,510350,2016,0
5103809,510380,2016,0
5103858,510385,2016,0
5104104,510410,2016,0
5104807,510480,2016,0
5105002,510500,2016,0
5105101,510510,2016,0
5105150,510515,2016,1
5105259,510525,2016,0
5105606,510560,2016,0
5106000,510600,2016,1
5106190,510619,2016,0
5106216,510621,2016,0
5106224,510622,2016,0
5106265,510626,2016,0
5106273,510627,2016,0
5106422,510642,2016,0
5106505,510650,2016,0
5106653,510665,2016,0
5106752,510675,2016,0
5106778,510677,2016,0
5107008,510700,2016,0
5107040,510704,2016,0
5107065,510706,2016,0
5107602,510760,2016,0
5107768,510776,2016,0
5107859,510785,2016,0
5107875,510787,2016,0
5107883,510788,2016,0
5107909,510790,2016,1
5107925,510792,2016,0
5107958,510795,2016,1
5108303,510830,2016,0
5108402,510840,2016,0
5108501,510850,2016,0
1100015,110001,2017,0
1100023,110002,2017,0
1100049,110004,2017,0
1100056,110005,2017,0
1100098,110009,2017,0
1100106,110010,2017,0
1100114,110011,2017,0
1100122,110012,2017,0
1100148,110014,2017,0
1100155,110015,2017,0
1100205,110020,2017,0
1100288,110028,2017,0
1100304,110030,2017,0
1100320,110032,2017,0
1100346,110034,2017,0
1100502,110050,2017,0
1100940,110094,2017,0
1101450,110145,2017,0
1101484,110148,2017,0
1101492,110149,2017,0
1200054,120005,2017,0
1200104,120010,2017,0
1200203,120020,2017,1
1200302,120030,2017,0
1200385,120038,2017,0
1200401,120040,2017,0
1300029,130002,2017,0
1300607,130060,2017,0
1301209,130120,2017,0
1301407,130140,2017,0
1301704,130170,2017,0
1301803,130180,2017,0
1301902,130190,2017,0
1302306,130230,2017,0
1302405,130240,2017,0
1302504,130250,2017,0
1302603,130260,2017,0
1302702,130270,2017,1
1303403,130340,2017,0
1303809,130380,2017,0
1303908,130390,2017,0
1304062,130406,2017,2
1304104,130410,2017,0
1304203,130420,2017,0
1400050,140005,2017,0
1400100,140010,2017,0
1500206,150020,2017,0
1500602,150060,2017,0
1500800,150080,2017,0
1501402,150140,2017,0
1501576,150157,2017,0
1502608,150260,2017,0
1503309,150330,2017,0
1503507,150350,2017,0
1503606,150360,2017,0
1504208,150420,2017,0
1504604,150460,2017,0
1504802,150480,2017,0
1505205,150520,2017,0
1505304,150530,2017,0
1506195,150619,2017,0
1507300,150730,2017,0
1507953,150795,2017,0
1508050,150805,2017,0
1508084,150808,2017,0
1508159,150815,2017,0
1508357,150835,2017,0
1600279,160027,2017,0
1600303,160030,2017,0
1600501,160050,2017,0
1600535,160053,2017,0
1600600,160060,2017,1
1700251,170025,2017,0
1702109,170210,2017,0
1702208,170220,2017,0
1703701,170370,2017,0
1703883,170388,2017,0
1705508,170550,2017,1
1707009,170700,2017,0
1707108,170710,2017,1
1707207,170720,2017,0
1707306,170730,2017,0
1709302,170930,2017,0
1709500,170950,2017,0
1710508,171050,2017,0
1713205,171320,2017,0
1716109,171610,2017,0
1716505,171650,2017,0
1716604,171660,2017,0
1717909,171790,2017,0
1718204,171820,2017,0
1718501,171850,2017,0
1718709,171870,2017,0
1720259,172025,2017,0
1720655,172065,2017,0
1721000,172100,2017,0
1721109,172110,2017,0
1721208,172120,2017,0
1722107,172210,2017,0
2100600,210060,2017,0
2101004,210100,2017,0
2101608,210160,2017,0
2102705,210270,2017,0
2103257,210325,2017,0
2103505,210350,2017,0
2103802,210380,2017,0
2104404,210440,2017,0
2105302,210530,2017,0
2105401,210540,2017,0
2105500,210550,2017,0
2105708,210570,2017,1
2105906,210590,2017,0
2105963,210596,2017,0
2106326,210632,2017,0
2106755,210675,2017,0
2107357,210735,2017,0
2107456,210745,2017,0
2107506,210750,2017,0
2107704,210770,2017,0
2108009,210800,2017,0
2109007,210900,2017,0
