cod_ibge,id_mun,nome_mun,sigla_uf,id_uf,sigla_regiao,area_total,area_amazonia,pctg_amazonia
1300029,130002,Alvarães,AM,13,N,5923.461,5923.461,100.0
1300060,130006,Amaturá,AM,13,N,4754.109,4754.109,100.0
1300086,130008,Anamã,AM,13,N,2446.121,2446.121,100.0
1300102,130010,Anori,AM,13,N,6036.38,6036.38,100.0
1300144,130014,Apuí,AM,13,N,54240.545,54240.545,100.0
1300201,130020,Atalaia do Norte,AM,13,N,76507.617,76507.617,100.0
1300300,130030,Autazes,AM,13,N,7652.852,7652.852,100.0
1300409,130040,Barcelos,AM,13,N,122461.086,122461.086,100.0
1300508,130050,Barreirinha,AM,13,N,5751.765,5751.765,100.0
1300607,130060,Benjamin Constant,AM,13,N,8705.441,8705.441,100.0
1300631,130063,Beruri,AM,13,N,17472.779,17472.779,100.0
1300680,130068,Boa Vista do Ramos,AM,13,N,2589.407,2589.407,100.0
1300706,130070,Boca do Acre,AM,13,N,21938.583,21938.583,100.0
1300805,130080,Borba,AM,13,N,44236.184,44236.184,100.0
1300839,130083,Caapiranga,AM,13,N,9455.539,9455.539,100.0
1300904,130090,Canutama,AM,13,N,33642.732,33642.732,100.0
1301001,130100,Carauari,AM,13,N,25778.658,25778.658,100.0
1301100,130110,Careiro,AM,13,N,6096.212,6096.212,100.0
1301159,130115,Careiro da Várzea,AM,13,N,2627.474,2627.474,100.0
1301209,130120,Coari,AM,13,N,57970.768,57970.768,100.0
1301308,130130,Codajás,AM,13,N,18700.713,18700.713,100.0
1301407,130140,Eirunepé,AM,13,N,14966.242,14966.242,100.0
1301506,130150,Envira,AM,13,N,7505.794,7505.794,100.0
1301605,130160,Fonte Boa,AM,13,N,12155.427,12155.427,100.0
1301654,130165,Guajará,AM,13,N,7583.534,7583.534,100.0
1301704,130170,Humaitá,AM,13,N,33111.129,33111.129,100.0
1301803,130180,Ipixuna,AM,13,N,12109.779,12109.779,100.0
1301852,130185,Iranduba,AM,13,N,2216.817,2216.817,100.0
1301902,130190,Itacoatiara,AM,13,N,8891.906,8891.906,100.0
1301951,130195,Itamarati,AM,13,N,25260.429,25260.429,100.0
1302009,130200,Itapiranga,AM,13,N,4335.075,4335.075,100.0
1302108,130210,Japurá,AM,13,N,55827.203,55827.203,100.0
1302207,130220,Juruá,AM,13,N,19442.548,19442.548,100.0
1302306,130230,Jutaí,AM,13,N,69457.415,69457.415,100.0
1302405,130240,Lábrea,AM,13,N,68262.68,68262.68,100.0
1302504,130250,Manacapuru,AM,13,N,7336.579,7336.579,100.0
1302553,130255,Manaquiri,AM,13,N,3973.258,3973.258,100.0
1302603,130260,Manaus,AM,13,N,11401.092,11401.092,100.0
1302702,130270,Manicoré,AM,13,N,48315.038,48315.038,100.0
1302801,130280,Maraã,AM,13,N,16830.827,16830.827,100.0
1302900,130290,Maués,AM,13,N,39991.066,39991.066,100.0
1303007,130300,Nhamundá,AM,13,N,14107.04,14107.04,100.0
1303106,130310,Nova Olinda do Norte,AM,13,N,5578.132,5578.132,100.0
1303205,130320,Novo Airão,AM,13,N,37776.77,37776.77,100.0
1303304,130330,Novo Aripuanã,AM,13,N,41179.656,41179.656,100.0
1303403,130340,Parintins,AM,13,N,5956.047,5956.047,100.0
1303502,130350,Pauini,AM,13,N,41624.664,41624.664,100.0
1303536,130353,Presidente Figueiredo,AM,13,N,25459.099,25459.099,100.0
1303569,130356,Rio Preto da Eva,AM,13,N,5815.622,5815.622,100.0
1303601,130360,Santa Isabel do Rio Negro,AM,13,N,62800.078,62800.078,100.0
1303700,130370,Santo Antônio do Içá,AM,13,N,12366.214,12366.214,100.0
1303809,130380,São Gabriel da Cachoeira,AM,13,N,109192.562,109192.562,100.0
1303908,130390,São Paulo de Olivença,AM,13,N,19658.502,19658.502,100.0
1303957,130395,São Sebastião do Uatumã,AM,13,N,10647.463,10647.463,100.0
1304005,130400,Silves,AM,13,N,3723.382,3723.382,100.0
1304062,130406,Tabatinga,AM,13,N,3260.103,3260.103,100.0
1304104,130410,Tapauá,AM,13,N,84946.035,84946.035,100.0
1304203,130420,Tefé,AM,13,N,23692.223,23692.223,100.0
1304237,130423,Tonantins,AM,13,N,6446.894,6446.894,100.0
1304260,130426,Uarini,AM,13,N,10274.677,10274.677,100.0
1304302,130430,Urucará,AM,13,N,27901.962,27901.962,100.0
1304401,130440,Urucurituba,AM,13,N,2886.494,2886.494,100.0
1400027,140002,Amajari,RR,14,N,28473.45,28473.45,100.0
1400050,140005,Alto Alegre,RR,14,N,25454.297,25454.297,100.0
1400100,140010,Boa Vista,RR,14,N,5687.037,5687.037,100.0
1400159,140015,Bonfim,RR,14,N,8079.914,8079.914,100.0
1400175,140017,Cantá,RR,14,N,7664.831,7664.831,100.0
1400209,140020,Caracaraí,RR,14,N,47379.903,47379.903,100.0
1400233,140023,Caroebe,RR,14,N,12065.896,12065.896,100.0
1400282,140028,Iracema,RR,14,N,14011.695,14011.695,100.0
1400308,140030,Mucajaí,RR,14,N,12337.851,12337.851,100.0
1400407,140040,Normandia,RR,14,N,6959.868,6959.868,100.0
1400456,140045,Pacaraima,RR,14,N,8025.045,8025.045,100.0
1400472,140047,Rorainópolis,RR,14,N,33579.739,33579.739,100.0
1400506,140050,São João da Baliza,RR,14,N,4284.505,4284.505,100.0
1400605,140060,São Luiz,RR,14,N,1526.898,1526.898,100.0
1400704,140070,Uiramutã,RR,14,N,8113.598,8113.598,100.0
1500107,150010,Abaetetuba,PA,15,N,1610.654,1610.654,100.0
1500131,150013,Abel Figueiredo,PA,15,N,614.131,614.131,100.0
1500206,150020,Acará,PA,15,N,4344.384,4344.384,100.0
1500305,150030,Afuá,PA,15,N,8338.438,8338.438,100.0
1500347,150034,Água Azul do Norte,PA,15,N,7113.955,7113.955,100.0
1500404,150040,Alenquer,PA,15,N,23645.452,23645.452,100.0
1500503,150050,Almeirim,PA,15,N,72954.798,72954.798,100.0
1500602,150060,Altamira,PA,15,N,159533.306,159533.306,100.0
1500701,150070,Anajás,PA,15,N,6913.64,6913.64,100.0
1500800,150080,Ananindeua,PA,15,N,190.581,190.581,100.0
1500859,150085,Anapu,PA,15,N,11895.27,11895.27,100.0
1500909,150090,Augusto Corrêa,PA,15,N,1099.619,1099.619,100.0
1500958,150095,Aurora do Pará,PA,15,N,1811.84,1811.84,100.0
1501006,150100,Aveiro,PA,15,N,17074.053,17074.053,100.0
1501105,150110,Bagre,PA,15,N,4397.321,4397.321,100.0
1501204,150120,Baião,PA,15,N,3759.834,3759.834,100.0
1501253,150125,Bannach,PA,15,N,2956.649,2956.649,100.0
1501303,150130,Barcarena,PA,15,N,1310.338,1310.338,100.0
1501402,150140,Belém,PA,15,N,1059.466,1059.466,100.0
1501451,150145,Belterra,PA,15,N,4398.418,4398.418,100.0
1501501,150150,Benevides,PA,15,N,187.826,187.826,100.0
1501576,150157,Bom Jesus do Tocantins,PA,15,N,2816.604,2816.604,100.0
1501600,150160,Bonito,PA,15,N,586.976,586.976,100.0
1501709,150170,Bragança,PA,15,N,2124.734,2124.734,100.0
1501725,150172,Brasil Novo,PA,15,N,6362.575,6362.575,100.0
1501758,150175,Brejo Grande do Araguaia,PA,15,N,1288.477,1288.477,100.0
1501782,150178,Breu Branco,PA,15,N,3941.904,3941.904,100.0
1501808,150180,Breves,PA,15,N,9566.572,9566.572,100.0
1501907,150190,Bujaru,PA,15,N,994.691,994.691,100.0
1501956,150195,Cachoeira do Piriá,PA,15,N,2419.6,2419.6,100.0
1502004,150200,Cachoeira do Arari,PA,15,N,3100.261,3100.261,100.0
1502103,150210,Cametá,PA,15,N,3081.367,3081.367,100.0
1502152,150215,Canaã dos Carajás,PA,15,N,3146.821,3146.821,100.0
1502202,150220,Capanema,PA,15,N,621.483,621.483,100.0
1502301,150230,Capitão Poço,PA,15,N,2901.026,2901.026,100.0
1502400,150240,Castanhal,PA,15,N,1029.3,1029.3,100.0
1502509,150250,Chaves,PA,15,N,12534.995,12534.995,100.0
1502608,150260,Colares,PA,15,N,384.068,384.068,100.0
1502707,150270,Conceição do Araguaia,PA,15,N,5829.482,5829.482,100.0
1502756,150275,Concórdia do Pará,PA,15,N,700.59,700.59,100.0
1502764,150276,Cumaru do Norte,PA,15,N,17085.001,17085.001,100.0
1502772,150277,Curionópolis,PA,15,N,2369.096,2369.096,100.0
1502806,150280,Curralinho,PA,15,N,3617.252,3617.252,100.0
1502855,150285,Curuá,PA,15,N,1431.134,1431.134,100.0
1502905,150290,Curuçá,PA,15,N,676.322,676.322,100.0
1502939,150293,Dom Eliseu,PA,15,N,5268.809,5268.809,100.0
1502954,150295,Eldorado do Carajás,PA,15,N,2956.691,2956.691,100.0
1503002,150300,Faro,PA,15,N,11771.669,11771.669,100.0
1503044,150304,Floresta do Araguaia,PA,15,N,3444.285,3444.285,100.0
1503077,150307,Garrafão do Norte,PA,15,N,1608.014,1608.014,100.0
1503093,150309,Goianésia do Pará,PA,15,N,7023.948,7023.948,100.0
1503101,150310,Gurupá,PA,15,N,8570.286,8570.286,100.0
1503200,150320,Igarapé-Açu,PA,15,N,785.983,785.983,100.0
1503309,150330,Igarapé-Miri,PA,15,N,1996.79,1996.79,100.0
1503408,150340,Inhangapi,PA,15,N,472.605,472.605,100.0
