DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano Notificação
Amazônia Legal (residência): Sim
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Ignorado/brancos
Período:2007-2013
"Município de residência";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"211190 SUCUPIRA DO NORTE";6;5;-;-;7;2;1;21
"211200 TASSO FRAGOSO";27;12;8;52;61;6;1;167
"211210 TIMBIRAS";29;2;5;-;2;2;14;54
"211223 TRIZIDELA DO VALE";55;10;32;31;37;73;19;257
"211227 TUFILANDIA";-;3;-;-;5;31;-;39
"211230 TUNTUM";41;46;35;14;67;32;15;250
"211240 TURIACU";68;12;-;20;6;71;2;179
"211245 TURILANDIA";3;2;-;7;4;13;3;32
"211270 VARGEM GRANDE";86;23;6;35;78;150;12;390
"211280 VIANA";9;10;-;5;11;-;5;40
"211285 VILA NOVA DOS MARTIRIOS";11;1;-;11;51;9;42;125
"211290 VITORIA DO MEARIM";3;3;-;1;1;-;3;11
"211300 VITORINO FREIRE";115;17;5;55;59;21;4;276
"211400 ZE DOCA";49;24;38;9;103;27;23;273
" MUNICIPIO IGNORADO - MT";-;-;2;1;-;-;-;3
"510010 ACORIZAL";2;3;40;44;7;21;18;135
"510020 AGUA BOA";19;5;119;69;17;510;255;994
"510025 ALTA FLORESTA";806;274;252;160;68;367;1472;3399
"510030 ALTO ARAGUAIA";15;10;35;252;6;1;59;378
"510035 ALTO BOA VISTA";2;539;41;18;3;21;26;650
"510040 ALTO GARCAS";-;10;96;45;-;18;93;262
"510050 ALTO PARAGUAI";11;2;39;249;43;40;66;450
"510060 ALTO TAQUARI";21;-;-;74;2;3;66;166
"510080 APIACAS";4;1;-;4;1;4;10;24
"510100 ARAGUAIANA";237;50;20;101;19;103;47;577
"510120 ARAGUAINHA";-;-;-;6;1;1;-;8
"510125 ARAPUTANGA";320;4;405;448;31;373;94;1675
"510130 ARENAPOLIS";15;20;170;52;12;134;23;426
"510140 ARIPUANA";349;133;1496;408;283;394;127;3190
"510160 BARAO DE MELGACO";-;5;22;3;21;5;3;59
"510170 BARRA DO BUGRES";372;30;275;126;31;115;258;1207
"510180 BARRA DO GARCAS";599;846;2613;2868;274;378;995;8573
"510185 BOM JESUS DO ARAGUAIA";1;3;1;29;-;1;35;70
"510190 BRASNORTE";5;117;33;24;18;36;102;335
"510250 CACERES";270;21;2880;1197;15;388;592;5363
"510260 CAMPINAPOLIS";4;14;31;94;4;96;21;264
"510263 CAMPO NOVO DO PARECIS";756;123;580;285;30;130;1220;3124
"510267 CAMPO VERDE";243;14;172;348;53;321;574;1725
"510268 CAMPOS DE JULIO";40;13;26;66;7;333;162;647
"510269 CANABRAVA DO NORTE";-;-;-;3;-;4;36;43
"510270 CANARANA";45;13;326;150;31;108;204;877
"510279 CARLINDA";549;82;15;49;8;148;127;978
"510285 CASTANHEIRA";3;3;39;193;6;253;65;562
"510300 CHAPADA DOS GUIMARAES";56;7;93;41;41;87;24;349
"510305 CLAUDIA";464;45;83;112;24;168;91;987
"510310 COCALINHO";-;-;1;8;-;1;-;10
"510320 COLIDER";97;320;2262;217;57;72;458;3483
"510325 COLNIZA";87;22;237;598;70;21;171;1206
"510330 COMODORO";36;62;136;189;57;341;377;1198
"510335 CONFRESA";65;177;171;40;72;313;299;1137
"510336 CONQUISTA D'OESTE";63;10;120;28;7;87;4;319
"510337 COTRIGUACU";261;35;4;139;4;9;31;483
"510340 CUIABA";913;524;11979;4508;1006;8702;3632;31264
"510343 CURVELANDIA";14;1;48;71;-;34;15;183
"510345 DENISE";5;1;101;20;1;11;4;143
"510350 DIAMANTINO";186;54;607;345;29;267;139;1627
"510360 DOM AQUINO";35;1;6;59;4;21;40;166
"510370 FELIZ NATAL";11;9;40;140;-;139;154;493
"510380 FIGUEIROPOLIS D'OESTE";97;2;128;57;-;109;11;404
"510385 GAUCHA DO NORTE";94;24;88;19;6;26;195;452
"510390 GENERAL CARNEIRO";92;21;50;152;67;1;15;398
"510395 GLORIA D'OESTE";9;-;24;5;2;49;13;102
"510410 GUARANTA DO NORTE";114;42;150;576;165;269;786;2102
"510420 GUIRATINGA";46;5;33;85;5;2;1;177
"510450 INDIAVAI";60;2;194;64;6;107;14;447
"510452 IPIRANGA DO NORTE";111;4;22;60;5;153;70;425
"510454 ITANHANGA";78;6;248;63;49;56;77;577
"510455 ITAUBA";114;25;204;233;7;47;170;800
"510460 ITIQUIRA";7;1;6;225;2;7;74;322
"510480 JACIARA";287;5;408;422;6;287;433;1848
"510490 JANGADA";4;-;64;25;9;27;33;162
"510500 JAURU";103;35;228;320;86;91;129;992
"510510 JUARA";129;13;39;553;296;429;102;1561
"510515 JUINA";598;53;500;1060;114;162;785;3272
"510517 JURUENA";31;5;238;319;12;38;67;710
"510520 JUSCIMEIRA";57;5;166;150;2;72;56;508
"510523 LAMBARI D'OESTE";23;-;47;36;1;60;14;181
"510525 LUCAS DO RIO VERDE";143;172;521;337;58;588;841;2660
"510530 LUCIARA";-;1;2;2;-;1;7;13
"510550 VILA BELA DA SANTISSIMA TRINDADE";20;35;229;356;21;79;133;873
"510558 MARCELANDIA";116;346;40;226;7;11;590;1336
"510560 MATUPA";91;228;196;261;54;107;336;1273
"510562 MIRASSOL D'OESTE";165;2;181;346;7;88;401;1190
"510590 NOBRES";84;6;249;75;7;37;24;482
"510600 NORTELANDIA";2;2;255;84;22;161;21;547
"510610 NOSSA SENHORA DO LIVRAMENTO";86;3;268;103;3;178;9;650
"510615 NOVA BANDEIRANTES";5;20;16;232;46;56;225;600
