DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano Notificação
Amazônia Legal (residência): Sim
Class. Final: Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Ignorado/brancos
Período:2007-2013
"Município de residência";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"510617 NOVA NAZARE";2;-;4;1;-;1;-;8
"510618 NOVA LACERDA";3;2;36;38;2;149;42;272
"510619 NOVA SANTA HELENA";114;48;22;26;7;62;132;411
"510620 NOVA BRASILANDIA";6;2;234;292;107;90;19;750
"510621 NOVA CANAA DO NORTE";70;235;87;77;16;17;472;974
"510622 NOVA MUTUM";287;46;773;89;23;214;356;1788
"510623 NOVA OLIMPIA";140;11;390;92;10;110;95;848
"510624 NOVA UBIRATA";132;1;424;180;18;255;376;1386
"510625 NOVA XAVANTINA";2;17;208;90;29;111;76;533
"510626 NOVO MUNDO";3;6;8;2;19;11;7;56
"510627 NOVO HORIZONTE DO NORTE";1;-;103;37;14;33;51;239
"510628 NOVO SAO JOAQUIM";15;6;278;15;1;36;27;378
"510629 PARANAITA";12;80;16;191;4;427;398;1128
"510630 PARANATINGA";17;41;885;73;34;266;175;1491
"510631 NOVO SANTO ANTONIO";-;-;2;6;3;1;4;16
"510637 PEDRA PRETA";66;21;158;78;22;26;46;417
"510642 PEIXOTO DE AZEVEDO";51;40;47;95;24;107;86;450
"510645 PLANALTO DA SERRA";-;3;36;14;10;6;4;73
"510650 POCONE";7;10;227;99;9;587;55;994
"510665 PONTAL DO ARAGUAIA";24;142;211;422;34;85;149;1067
"510670 PONTE BRANCA";3;1;1;7;-;5;5;22
"510675 PONTES E LACERDA";716;233;395;942;175;769;1103;4333
"510677 PORTO ALEGRE DO NORTE";2;9;4;9;1;7;293;325
"510680 PORTO DOS GAUCHOS";1;3;8;44;2;6;6;70
"510682 PORTO ESPERIDIAO";131;5;51;133;10;50;107;487
"510685 PORTO ESTRELA";2;6;20;26;-;8;24;86
"510700 POXOREO";5;5;21;109;21;127;175;463
"510704 PRIMAVERA DO LESTE";677;6;359;2511;41;93;932;4619
"510706 QUERENCIA";8;19;167;88;1;101;84;468
"510710 SAO JOSE DOS QUATRO MARCOS";57;6;334;624;48;272;152;1493
"510715 RESERVA DO CABACAL";24;1;17;57;1;22;11;133
"510718 RIBEIRAO CASCALHEIRA";8;25;80;110;55;31;18;327
"510719 RIBEIRAOZINHO";1;105;41;202;2;26;36;413
"510720 RIO BRANCO";145;13;262;58;20;235;22;755
"510724 SANTA CARMEM";37;34;152;185;14;209;38;669
"510726 SANTO AFONSO";2;19;6;8;-;25;49;109
"510729 SAO JOSE DO POVO";9;42;50;38;5;6;9;159
"510730 SAO JOSE DO RIO CLARO";81;3;104;87;10;81;71;437
"510735 SAO JOSE DO XINGU";107;169;63;138;12;37;156;682
"510740 SAO PEDRO DA CIPA";37;4;78;24;22;19;4;188
"510757 RONDOLANDIA";-;3;3;20;1;-;265;292
"510760 RONDONOPOLIS";76;47;1541;2908;36;644;1834;7086
"510770 ROSARIO OESTE";9;42;408;87;25;60;76;707
"510774 SANTA CRUZ DO XINGU";2;76;-;1;-;4;3;86
"510775 SALTO DO CEU";60;3;218;34;2;30;27;374
"510776 SANTA RITA DO TRIVELATO";12;3;38;27;6;108;12;206
"510777 SANTA TEREZINHA";6;1;2;-;-;-;3;12
"510779 SANTO ANTONIO DO LESTE";39;-;65;117;20;29;157;427
"510780 SANTO ANTONIO DO LEVERGER";19;12;57;53;25;161;38;365
"510785 SAO FELIX DO ARAGUAIA";4;45;79;77;4;46;16;271
"510787 SAPEZAL";41;9;163;125;32;86;478;934
"510788 SERRA NOVA DOURADA";5;3;3;3;-;43;45;102
"510790 SINOP";1452;209;3865;2545;1192;4179;5336;18778
"510792 SORRISO";523;32;1989;727;192;232;973;4668
"510794 TABAPORA";15;1;48;124;33;167;114;502
"510795 TANGARA DA SERRA";850;177;2004;550;85;913;1122;5701
"510800 TAPURAH";156;6;47;231;8;177;61;686
"510805 TERRA NOVA DO NORTE";37;112;15;119;31;22;81;417
"510810 TESOURO";-;-;1;-;4;3;14;22
"510820 TORIXOREU";1;17;8;148;158;303;95;730
"510830 UNIAO DO SUL";25;-;29;1;1;9;115;180
"510835 VALE DE SAO DOMINGOS";5;10;157;35;8;12;31;258
"510840 VARZEA GRANDE";305;222;4802;1944;225;2839;380;10717
"510850 VERA";44;1;30;304;5;235;98;717
"510860 VILA RICA";69;97;26;19;15;12;76;314
"510880 NOVA GUARITA";94;-;9;1;3;256;109;472
"510885 NOVA MARILANDIA";3;1;28;5;2;74;23;136
"510890 NOVA MARINGA";16;2;43;8;1;24;15;109
"510895 NOVA MONTE VERDE";-;2;4;253;-;16;554;829
"Total";64880;62223;110925;144541;135264;80930;89822;688585
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados,
   pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG)
   em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico.
   A partir de 2013, deve-se incluir, além dos casos graves, aqueles com classificação final dengue.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
