cod_ibge,nome_mun,sigla_uf,rede_geral_2022,fossa_2022,outra_2022,nada_2022,rede_geral_2010,fossa_2010,outra_2010,nada_2010,rede_geral_2000,fossa_2000,outra_2000,nada_2000
1101500,Seringueiras,RO,14.53,1.54,83.75999999999999,0.18,0.15,19.48,78.49000000000001,1.88,0.0,0.32,77.58,22.09
1101559,Teixeirópolis,RO,0.32,3.48,96.01,0.19,0.14,1.9,95.59000000000002,2.37,0.0,0.07,89.18,10.73
1101609,Theobroma,RO,0.23,14.73,84.91,0.13,0.46,10.56,86.50999999999999,2.48,0.0,1.54,67.07000000000001,31.4
1101708,Urupá,RO,3.59,3.11,93.27,0.03,0.08,11.45,85.16000000000001,3.32,0.03,1.13,84.65,14.21
1101757,Vale do Anari,RO,0.07,5.07,94.79000000000002,0.07,0.0,0.68,95.76,3.56,0.0,1.29,67.29,31.42
1101807,Vale do Paraíso,RO,0.04,6.54,93.42,0.0,0.0,0.29,97.57000000000002,2.14,0.0,1.57,76.46,21.97
1200013,Acrelândia,AC,0.85,24.41,74.22999999999999,0.49,0.43,11.27,80.69000000000001,7.6,0.05,5.78,61.59,32.58
1200054,Assis Brasil,AC,6.6,11.46,74.69,7.25,1.88,22.94,57.77,17.41,5.61,5.48,36.940000000000005,51.97
1200104,Brasiléia,AC,33.49,12.84,49.79,3.88,17.15,12.48,58.77,11.6,6.09,8.7,50.14,35.07
1200138,Bujari,AC,3.74,15.34,77.4,3.53,0.77,18.58,62.27,18.37,0.07,17.12,34.38999999999999,48.41
1200179,Capixaba,AC,1.12,17.53,77.83,3.52,0.98,33.02,52.19,13.81,0.08,8.98,28.06,62.88
1200203,Cruzeiro do Sul,AC,8.59,17.36,72.04,2.02,4.49,9.41,75.97,10.13,2.03,19.37,57.48,21.12
1200252,Epitaciolândia,AC,4.66,35.19,59.41,0.74,3.73,17.47,71.92,6.88,0.26,13.62,60.46,25.67
1200302,Feijó,AC,3.4,5.32,78.67,12.61,2.81,7.49,61.07,28.63,2.87,10.61,49.38,37.13
1200328,Jordão,AC,3.44,2.3,78.39,15.88,0.46,4.84,75.29,19.42,0.14,8.74,20.31,70.8
1200336,Mâncio Lima,AC,1.29,1.5,96.86,0.35,0.22,6.53,85.67,7.59,0.13,0.31,90.69,8.85
1200344,Manoel Urbano,AC,15.45,9.22,59.400000000000006,15.92,4.09,8.83,59.04,28.04,1.48,0.33,41.84,56.36
1200351,Marechal Thaumaturgo,AC,1.71,6.6,67.97,23.72,0.87,7.49,51.120000000000005,40.51,0.07,3.11,15.88,80.95
1200385,Plácido de Castro,AC,5.85,15.94,77.32000000000001,0.88,3.96,10.67,77.39,7.97,1.1,18.59,54.93,25.38
1200393,Porto Walter,AC,5.17,21.29,56.61,16.93,0.06,0.65,60.0,39.31,0.2,0.89,87.58000000000001,11.33
1200401,Rio Branco,AC,68.19,11.22,20.0,0.59,45.29,12.68,39.59,2.43,37.02,8.67,45.17,9.14
1200427,Rodrigues Alves,AC,1.93,2.88,91.51000000000002,3.67,0.03,9.2,67.26,23.51,0.13,7.03,68.05,24.79
1200435,Santa Rosa do Purus,AC,4.24,9.45,57.3,29.02,0.12,4.66,70.83,24.39,0.0,7.08,11.08,81.85
1200450,Senador Guiomard,AC,0.59,29.08,69.55999999999999,0.78,0.62,23.51,69.74,6.12,0.56,28.94,51.8,18.71
1200500,Sena Madureira,AC,17.24,17.64,61.65,3.48,4.08,9.21,76.03999999999999,10.66,0.74,18.63,41.49,39.13
1200609,Tarauacá,AC,2.53,1.64,91.54,4.28,1.2,9.73,65.78,23.29,2.68,14.38,47.63,35.31
1200708,Xapuri,AC,21.38,9.13,57.73,11.76,17.13,12.2,54.33,16.35,17.04,13.23,35.39,34.35
1200807,Porto Acre,AC,1.4,24.17,72.78,1.65,0.12,11.84,79.16,8.88,0.14,12.3,53.0,34.56
1300029,Alvarães,AM,3.88,2.68,88.52,4.91,6.93,24.43,66.46000000000001,2.18,2.18,6.91,53.1,37.82
1300060,Amaturá,AM,1.86,23.42,74.08,0.65,1.82,5.87,67.49000000000001,24.82,0.33,13.47,61.32000000000001,24.88
1300086,Anamã,AM,3.32,19.65,76.13000000000001,0.91,3.82,0.8,91.93,3.45,1.35,6.91,55.31,36.45
1300102,Anori,AM,3.95,0.27,95.66,0.12,1.24,0.92,84.36,13.5,0.38,22.56,49.31,27.75
1300144,Apuí,AM,1.04,3.77,94.53,0.66,0.11,9.42,87.63000000000001,2.84,0.12,22.54,61.970000000000006,15.38
1300201,Atalaia do Norte,AM,1.95,5.43,77.43,15.19,0.62,0.35,70.03999999999999,28.98,2.06,13.21,38.67,46.05
1300300,Autazes,AM,7.26,4.78,86.51000000000002,1.44,4.06,16.32,69.86,9.75,3.53,1.39,77.24,17.84
1300409,Barcelos,AM,9.76,4.94,61.46,23.84,3.51,11.97,43.32,41.21,2.09,2.99,45.84,49.07
1300508,Barreirinha,AM,3.13,7.48,88.69000000000001,0.7,0.49,3.66,92.87,2.99,0.1,3.56,87.3,9.04
1300607,Benjamin Constant,AM,2.7,13.36,81.86999999999999,2.07,2.42,12.18,73.66,11.73,1.78,16.03,63.72,18.47
1300631,Beruri,AM,2.9,2.46,91.91,2.74,3.19,24.5,60.33,11.99,4.55,8.09,61.77,25.58
1300680,Boa Vista do Ramos,AM,4.01,7.9,87.75,0.35,0.69,31.3,64.24,3.76,0.28,3.98,92.82,2.93
1300706,Boca do Acre,AM,7.49,5.69,84.29,2.53,4.65,1.68,81.87,11.79,0.87,12.01,51.33,35.8
1300805,Borba,AM,1.48,5.61,91.15,1.77,1.22,7.4,77.89,13.49,0.34,16.72,74.47,8.47
1300839,Caapiranga,AM,0.47,0.67,96.9,1.95,1.39,31.62,60.59,6.39,0.49,8.8,46.64,44.07
1300904,Canutama,AM,4.33,3.95,89.87,1.85,9.81,0.61,77.5,12.08,0.27,1.55,86.05000000000001,12.12
1301001,Carauari,AM,15.3,4.93,78.03999999999999,1.73,16.51,9.2,59.35,14.94,0.17,1.84,55.53,42.47
1301100,Careiro,AM,6.13,13.32,79.32,1.24,3.09,11.95,82.2,2.75,1.5,6.09,80.63,11.78
1301159,Careiro da Várzea,AM,0.71,3.48,94.79,1.02,0.24,5.38,92.83,1.55,0.08,10.15,85.44999999999999,4.31
