cod_ibge,nome_mun,sigla_uf,rede_geral_2022,fossa_2022,outra_2022,nada_2022,rede_geral_2010,fossa_2010,outra_2010,nada_2010,rede_geral_2000,fossa_2000,outra_2000,nada_2000
1503309,Igarapé-Miri,PA,4.8,17.61,77.14,0.45,0.67,2.88,91.28,5.16,0.59,12.99,78.66,7.77
1503408,Inhangapi,PA,0.62,0.9,98.32,0.16,0.32,20.78,75.69,3.2,0.06,17.39,69.31,13.23
1503457,Ipixuna do Pará,PA,12.9,20.79,65.07000000000001,1.23,1.63,25.13,66.59,6.64,0.21,13.02,55.24,31.53
1503507,Irituia,PA,9.42,31.93,57.63,1.02,0.27,2.82,89.35,7.57,0.18,13.79,76.89,9.13
1503606,Itaituba,PA,4.44,17.48,77.86999999999999,0.22,1.68,19.22,76.53999999999999,2.56,0.16,2.74,88.97999999999999,8.12
1503705,Itupiranga,PA,5.44,13.25,80.53000000000002,0.78,1.81,7.24,76.74,14.22,1.85,0.41,58.59,39.15
1503754,Jacareacanga,PA,1.06,10.22,76.74000000000001,11.97,0.09,2.53,78.34,19.03,0.08,4.67,56.4,38.85
1503804,Jacundá,PA,10.41,14.13,74.53,0.93,2.75,13.1,77.17999999999999,6.97,2.2,0.35,79.52,17.93
1503903,Juruti,PA,4.05,35.39,60.08,0.49,0.89,2.32,94.59,2.19,0.04,1.28,95.64,3.04
1504000,Limoeiro do Ajuru,PA,0.64,0.7,97.75,0.92,0.25,6.2,88.94999999999999,4.6,0.0,5.07,83.08,11.85
1504059,Mãe do Rio,PA,5.33,17.48,76.92999999999999,0.25,0.31,42.08,54.38999999999999,3.22,0.15,29.73,55.53,14.6
1504109,Magalhães Barata,PA,0.52,25.29,73.9,0.28,0.6,50.1,46.31999999999999,2.97,0.0,23.62,73.67999999999999,2.69
1504208,Marabá,PA,22.2,21.91,55.45000000000001,0.43,6.01,26.97,62.75999999999999,4.26,1.02,31.93,51.79,15.27
1504307,Maracanã,PA,4.22,47.52,47.95,0.3,0.68,43.0,53.88,2.43,0.09,13.7,82.33000000000001,3.88
1504406,Marapanim,PA,5.52,10.59,83.81,0.08,0.48,2.12,94.26,3.15,0.04,30.4,64.39,5.18
1504422,Marituba,PA,22.2,38.54,39.14,0.14,4.25,14.88,79.66,1.21,0.46,58.53,31.99,9.02
1504455,Medicilândia,PA,5.65,8.16,85.33,0.86,0.16,19.73,72.59,7.51,0.02,5.51,64.6,29.88
1504505,Melgaço,PA,4.06,2.05,87.14000000000001,6.75,0.27,3.78,89.36000000000001,6.59,0.06,2.8,88.97,8.17
1504604,Mocajuba,PA,6.71,7.76,84.38000000000001,1.15,0.13,31.91,60.23,7.72,0.34,23.43,60.2,16.05
1504703,Moju,PA,1.81,18.59,78.36,1.23,0.57,5.5,84.86,9.08,0.04,9.83,67.83,22.29
1504752,Mojuí dos Campos,PA,1.02,13.06,85.77000000000001,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504802,Monte Alegre,PA,0.75,13.63,85.07000000000001,0.56,0.56,17.41,77.19,4.85,0.14,14.19,71.63000000000001,14.03
1504901,Muaná,PA,1.39,36.99,61.36,0.26,0.6,2.05,95.44,1.91,0.04,7.41,80.52,12.03
1504950,Nova Esperança do Piriá,PA,0.43,8.56,89.94000000000001,1.06,0.66,3.81,89.39,6.14,0.0,3.04,71.08,25.88
1504976,Nova Ipixuna,PA,8.23,12.12,77.47,2.19,0.5,2.06,76.75999999999999,20.67,0.04,0.15,40.38,59.44
1505007,Nova Timboteua,PA,7.04,45.24,47.06,0.66,0.52,11.46,82.22999999999999,5.79,0.15,13.5,82.28,4.07
1505031,Novo Progresso,PA,18.29,33.88,47.75,0.07,0.32,1.11,95.87,2.7,0.09,40.96,49.21000000000001,9.74
1505064,Novo Repartimento,PA,8.26,11.27,77.56,2.9,7.07,8.69,64.64,19.6,7.08,3.46,51.38,38.07
1505106,Óbidos,PA,1.02,26.13,71.78,1.07,0.36,1.56,93.86,4.22,0.13,5.68,87.63,6.56
1505205,Oeiras do Pará,PA,0.28,5.09,94.3,0.32,0.4,4.06,90.8,4.74,0.03,4.73,80.0,15.25
1505304,Oriximiná,PA,13.96,32.91,51.73,1.39,7.7,30.06,59.44,2.8,8.5,15.42,72.07,4.0
1505403,Ourém,PA,1.15,21.33,77.42,0.1,0.34,12.65,82.97,4.04,0.1,19.54,74.92999999999999,5.42
1505437,Ourilândia do Norte,PA,5.88,14.38,78.43,1.3,1.5,32.28,60.05,6.17,0.12,4.48,47.20000000000001,48.2
1505486,Pacajá,PA,0.42,20.28,73.61,5.68,0.04,11.49,59.08,29.4,0.0,2.74,34.190000000000005,63.06
1505494,Palestina do Pará,PA,0.18,1.0,96.77,2.05,0.25,0.2,89.23000000000002,10.31,0.19,4.04,65.86,29.91
1505502,Paragominas,PA,21.34,28.8,49.64,0.22,2.03,10.93,85.17,1.86,1.11,26.47,63.08,9.35
1505536,Parauapebas,PA,28.34,38.74,32.85,0.06,15.51,31.12,51.63,1.74,18.79,39.48,32.52,9.21
1505551,Pau D'Arco,PA,1.26,8.76,85.33999999999999,4.63,0.06,0.79,83.36,15.8,0.06,12.88,48.8,38.26
1505601,Peixe-Boi,PA,0.71,1.32,97.8,0.17,0.41,35.31,60.98,3.3,0.0,0.16,94.97,4.87
1505635,Piçarra,PA,0.42,32.42,64.62,2.55,0.0,3.03,76.35,20.63,0.04,13.42,42.98,43.57
1505650,Placas,PA,0.19,8.2,89.35,2.26,0.11,1.4,92.22,6.27,0.0,0.5,67.88000000000001,31.62
1505700,Ponta de Pedras,PA,9.33,24.25,66.12,0.3,9.68,12.25,75.81,2.26,9.33,8.54,73.13000000000001,9.0
1505809,Portel,PA,0.41,1.51,91.78,6.31,0.28,11.09,67.24000000000001,21.39,0.03,3.76,54.96,41.24
1505908,Porto de Moz,PA,4.85,28.48,65.32,1.35,1.65,11.34,79.59,7.43,1.01,15.37,60.16,23.47
1506005,Prainha,PA,0.66,13.66,85.11999999999999,0.55,0.13,4.86,89.10000000000001,5.9,0.06,5.13,82.23,12.58
1506104,Primavera,PA,1.47,42.69,55.47,0.37,1.32,38.92,56.36,3.4,0.0,18.28,65.55,16.17
1506112,Quatipuru,PA,3.4,65.77,30.44,0.38,0.2,41.44,51.92,6.45,0.0,22.03,64.03,13.94
1506138,Redenção,PA,10.11,35.94,53.66,0.28,0.28,9.91,87.28,2.52,0.1,46.92,41.580000000000005,11.41
1506161,Rio Maria,PA,1.52,11.47,86.36999999999999,0.65,0.35,9.02,87.35,3.28,0.27,17.53,58.93,23.28
1506187,Rondon do Pará,PA,3.43,6.34,89.11999999999999,1.1,2.74,0.61,87.44,9.21,1.54,5.54,72.57,20.35
1506195,Rurópolis,PA,0.46,20.76,77.91999999999999,0.85,0.32,5.8,89.8,4.07,0.06,4.27,77.57,18.1
1506203,Salinópolis,PA,10.4,43.21,46.12,0.27,1.73,46.84,47.32,4.11,1.58,29.96,62.17,6.29
1506302,Salvaterra,PA,5.52,28.44,65.6,0.43,0.28,5.07,89.62,5.03,0.09,32.45,56.940000000000005,10.52
1506351,Santa Bárbara do Pará,PA,2.93,87.62,9.02,0.44,1.01,9.22,85.89,3.88,0.25,50.77,44.02,4.96
1506401,Santa Cruz do Arari,PA,15.64,22.59,61.15,0.62,2.47,9.99,78.94,8.59,0.62,3.62,85.10000000000001,10.65
1506500,Santa Izabel do Pará,PA,8.09,39.27,52.470000000000006,0.17,0.89,10.16,86.30000000000001,2.66,0.52,46.14,46.75000000000001,6.58
1506559,Santa Luzia do Pará,PA,0.81,23.75,75.23,0.22,0.75,22.33,72.23,4.69,0.05,15.45,76.18,8.31
1506583,Santa Maria das Barreiras,PA,1.84,20.2,74.04,3.92,0.0,16.24,67.5,16.26,0.0,14.98,31.02,53.99
1506609,Santa Maria do Pará,PA,7.83,14.61,77.24,0.33,0.63,4.37,92.17,2.84,0.1,33.83,56.78000000000001,9.27
1506708,Santana do Araguaia,PA,7.57,16.15,76.03,0.27,0.32,16.11,77.23,6.33,0.29,27.48,34.13,38.1
1506807,Santarém,PA,11.12,41.76,46.99000000000001,0.14,1.98,38.31,58.64,1.06,0.52,28.84,67.49,3.14
1506906,Santarém Novo,PA,1.02,63.18,35.7,0.1,1.55,42.02,55.33,1.1,0.0,14.53,80.68000000000002,4.78
1507003,Santo Antônio do Tauá,PA,1.95,64.62,33.25,0.18,0.44,10.13,85.74000000000001,3.69,0.21,34.19,62.36,3.25
1507102,São Caetano de Odivelas,PA,6.97,24.45,68.16,0.42,0.4,6.32,87.89999999999999,5.38,0.0,25.2,70.20999999999998,4.6
1507151,São Domingos do Araguaia,PA,1.37,24.99,72.67999999999999,0.97,0.55,9.38,79.82999999999998,10.24,0.02,0.85,75.69999999999999,23.42
1507201,São Domingos do Capim,PA,1.03,12.88,83.23,2.87,0.31,7.53,77.06,15.1,0.18,1.78,51.88,46.16
1507300,São Félix do Xingu,PA,2.81,29.56,65.28000000000002,2.36,0.34,21.84,70.87,6.95,0.12,6.0,33.65,60.23
1507409,São Francisco do Pará,PA,13.15,52.41,34.169999999999995,0.26,0.41,38.09,60.1,1.4,0.16,32.88,62.940000000000005,4.01
1507458,São Geraldo do Araguaia,PA,23.29,26.29,49.44,0.99,16.68,7.69,64.15,11.48,0.03,6.19,62.040000000000006,31.73
1507466,São João da Ponta,PA,11.47,19.71,68.06,0.76,0.22,22.3,72.75,4.74,0.0,20.93,74.28,4.78
1507474,São João de Pirabas,PA,2.79,8.64,87.98,0.6,0.3,9.99,83.42000000000002,6.29,0.03,16.38,76.41999999999999,7.17
1507508,São João do Araguaia,PA,14.12,16.67,65.94,3.26,0.37,14.93,72.73,11.98,0.16,1.27,45.1,53.48
1507607,São Miguel do Guamá,PA,5.08,26.53,68.0,0.4,0.62,8.03,86.69,4.67,0.17,6.14,82.71,10.99
1507706,São Sebastião da Boa Vista,PA,2.13,31.02,66.62,0.23,0.6,2.66,93.08,3.65,0.0,7.62,83.77,8.61
1507755,Sapucaia,PA,1.58,10.36,88.0,0.06,2.42,0.36,95.08,2.14,0.11,0.54,90.25,9.1
1507805,Senador José Porfírio,PA,0.35,2.06,94.73,2.86,0.39,6.14,77.00999999999999,16.45,0.03,6.32,69.42999999999999,24.21
1507904,Soure,PA,1.26,53.07,45.46999999999999,0.2,0.47,65.08,26.880000000000003,7.58,0.15,36.93,52.900000000000006,10.01
1507953,Tailândia,PA,5.18,31.9,62.61,0.32,1.24,4.42,92.37,1.98,2.44,20.92,67.92999999999999,8.71
1507961,Terra Alta,PA,0.36,5.54,94.01,0.09,0.15,0.58,97.73,1.54,0.24,14.74,81.19,3.83
1507979,Terra Santa,PA,12.91,5.18,81.83,0.08,0.5,12.0,86.33,1.16,0.16,8.8,86.07,4.96
1508001,Tomé-Açu,PA,3.73,18.54,76.59999999999998,1.12,0.88,1.96,91.45,5.71,0.79,31.23,53.35000000000001,14.62
1508035,Tracuateua,PA,0.62,4.82,94.29,0.27,0.14,0.69,98.19,0.97,0.11,9.66,86.81000000000002,3.41
1508050,Trairão,PA,0.06,0.49,99.13,0.32,0.0,1.47,92.97,5.56,0.0,4.03,81.28,14.69
1508084,Tucumã,PA,2.26,19.22,78.13,0.38,0.36,32.32,61.05,6.26,0.3,9.46,65.87,24.36
1508100,Tucuruí,PA,14.64,19.31,65.58,0.46,11.58,4.46,81.24000000000001,2.72,13.97,3.81,76.24,5.97
1508126,Ulianópolis,PA,10.99,7.62,80.97999999999999,0.4,0.91,9.11,83.46,6.51,0.05,1.78,68.58000000000001,29.59
1508159,Uruará,PA,7.62,12.94,76.08999999999999,3.33,0.11,2.98,87.38,9.54,0.03,5.39,62.8,31.77
1508209,Vigia,PA,6.28,28.35,65.17,0.2,0.68,6.93,87.76,4.63,1.51,38.27,53.35,6.88
1508308,Viseu,PA,4.2,28.9,66.39999999999999,0.51,0.26,19.32,75.99,4.43,0.1,7.24,84.64000000000001,8.02
1508357,Vitória do Xingu,PA,7.54,2.65,89.49,0.33,0.57,27.65,67.91,3.86,0.14,15.3,66.80000000000001,17.76
1508407,Xinguara,PA,4.91,53.8,41.11,0.19,0.53,14.24,81.11,4.12,0.13,1.36,86.32999999999998,12.18
1600055,Serra do Navio,AP,38.12,11.07,49.85,0.95,36.39,13.87,46.59,3.14,42.37,5.5,43.05,9.08
1600105,Amapá,AP,8.27,16.79,73.87,1.07,6.34,29.84,57.77,6.06,6.86,10.5,69.96000000000001,12.69
1600154,Pedra Branca do Amapari,AP,2.86,43.98,44.59,8.57,0.48,22.73,68.92,7.87,0.49,3.92,58.95,36.64
1600204,Calçoene,AP,0.25,43.63,55.68,0.43,0.53,11.58,79.53,8.37,0.98,2.41,69.53,27.09
1600212,Cutias,AP,1.04,2.85,96.11,0.0,0.19,0.58,92.93,6.3,0.18,3.19,93.45,3.19
1600238,Ferreira Gomes,AP,1.06,76.84,22.05,0.06,0.83,6.54,89.55000000000001,3.08,0.71,3.39,89.67999999999999,6.21
1600253,Itaubal,AP,0.88,21.68,77.00000000000001,0.44,1.48,16.56,78.91,3.06,0.57,10.25,80.84,8.35
1600279,Laranjal do Jari,AP,3.75,18.2,76.75,1.31,0.84,9.64,86.79,2.72,0.1,0.84,91.13,7.93
1600303,Macapá,AP,16.91,40.43,42.55,0.11,9.19,18.97,70.56,1.29,8.17,23.75,62.55,5.53
1600402,Mazagão,AP,4.53,34.39,60.120000000000005,0.96,3.67,2.23,90.42,3.67,3.88,9.8,74.44,11.87
1600501,Oiapoque,AP,2.14,7.57,89.85,0.44,4.39,23.61,69.95,2.05,4.92,1.44,81.59,12.05
1600535,Porto Grande,AP,1.6,8.1,89.75000000000001,0.56,0.32,23.58,72.74000000000001,3.37,0.6,5.65,88.91,4.83
1600550,Pracuúba,AP,0.11,0.88,97.92,1.1,0.12,2.12,95.01,2.75,0.0,10.19,80.58,9.22
1600600,Santana,AP,5.04,47.65,47.06,0.24,3.23,13.03,82.33999999999999,1.4,2.91,17.36,75.32000000000001,4.41
1600709,Tartarugalzinho,AP,1.45,19.42,78.29,0.84,0.18,12.0,80.50000000000001,7.32,0.0,1.31,72.28,26.41
1600808,Vitória do Jari,AP,5.62,10.68,82.83,0.86,0.29,13.44,81.88,4.39,0.73,0.47,81.67999999999999,17.12
1700251,Abreulândia,TO,1.08,8.0,89.94,0.97,1.45,13.16,69.08,16.32,0.0,4.11,43.22,52.68
1700301,Aguiarnópolis,TO,31.81,20.56,47.5,0.14,21.63,11.12,58.620000000000005,8.62,0.0,19.66,38.45,41.89
1700350,Aliança do Tocantins,TO,1.67,16.95,81.21,0.16,0.52,20.53,74.59000000000002,4.35,0.0,36.17,45.23,18.61
1700400,Almas,TO,0.43,18.52,77.72,3.32,0.91,30.06,53.73,15.3,0.21,3.28,50.37,46.14
1700707,Alvorada,TO,1.76,73.97,24.24,0.03,2.63,4.14,92.62,0.62,0.0,1.8,91.25,6.95
1701002,Ananás,TO,43.21,20.21,36.11,0.47,21.59,8.71,60.68,9.02,0.0,0.7,69.56,29.75
1701051,Angico,TO,1.23,86.24,8.84,3.69,0.24,0.95,83.72,15.08,0.0,0.46,57.190000000000005,42.35
1701101,Aparecida do Rio Negro,TO,1.21,9.46,87.46,1.87,0.4,1.76,88.47999999999999,9.36,0.0,0.24,70.45,29.3
1701309,Aragominas,TO,0.71,43.51,54.69,1.09,0.35,12.89,56.48,30.28,0.0,24.32,23.91,51.78
1701903,Araguacema,TO,32.8,3.35,63.120000000000005,0.73,0.11,21.88,61.00000000000001,17.01,0.15,5.73,70.49,23.62
1702000,Araguaçu,TO,0.49,11.66,87.74,0.1,0.2,2.02,95.8,1.98,0.08,2.31,74.49999999999999,23.12
1702109,Araguaína,TO,28.36,38.56,32.94,0.14,10.01,6.32,81.44,2.22,2.46,44.81,41.27,11.46
1702158,Araguanã,MA,0.56,22.93,74.15,2.37,0.66,14.21,80.14999999999999,4.99,0.67,0.28,59.96,39.08
1702208,Araguatins,TO,0.9,16.3,81.55000000000001,1.25,0.5,1.36,86.72,11.43,0.05,19.56,49.62,30.77
1702307,Arapoema,TO,4.94,6.27,88.63000000000001,0.15,0.87,10.94,84.21000000000001,3.99,0.12,10.54,49.2,40.14
1702406,Arraias,TO,1.02,7.3,83.32,8.37,0.57,25.23,52.67,21.53,0.22,1.72,52.23,45.84
1702554,Augustinópolis,TO,11.77,34.45,53.58,0.19,8.62,1.09,82.58,7.71,3.05,0.41,75.80999999999999,20.74
1702703,Aurora do Tocantins,TO,1.81,1.18,95.52,1.49,0.63,1.63,84.16,13.57,0.61,2.57,63.45,33.37
1702901,Axixá do Tocantins,TO,43.81,24.36,30.87,0.96,22.92,5.22,62.12,9.75,1.41,0.35,76.85,21.39
1703008,Babaçulândia,TO,2.65,21.74,72.28,3.32,0.32,21.32,54.72,23.65,0.18,0.09,38.12,61.62
1703057,Bandeirantes do Tocantins,TO,0.69,7.67,90.36,1.29,0.44,1.75,85.69,12.13,0.0,37.3,12.05,50.64
1703073,Barra do Ouro,TO,1.54,1.76,94.28,2.42,14.1,0.1,63.220000000000006,22.58,0.41,2.86,21.39,75.34
1703107,Barrolândia,TO,0.68,3.54,95.55,0.23,1.97,21.56,73.98,2.48,0.0,0.31,86.28,13.42
1703206,Bernardo Sayão,TO,0.2,9.87,88.61000000000001,1.32,2.01,12.2,82.88999999999999,2.9,0.0,8.83,53.5,37.67
1703305,Bom Jesus do Tocantins,TO,1.12,0.82,94.61,3.44,0.1,27.71,57.53,14.67,0.0,0.19,50.96,48.85
1703602,Brasilândia do Tocantins,TO,6.68,6.97,85.64,0.73,5.08,0.0,90.48,4.43,0.2,2.19,70.19000000000001,27.44
1703701,Brejinho de Nazaré,TO,15.8,10.71,73.44000000000001,0.06,0.2,9.82,85.83,4.15,0.0,0.66,85.08,14.25
1703800,Buriti do Tocantins,TO,2.91,23.08,73.52,0.49,0.22,20.46,76.16,3.16,0.0,0.18,72.06,27.76
1703826,Cachoeirinha,TO,10.82,2.51,84.95,1.72,16.79,0.71,70.72,11.79,0.49,0.0,65.92999999999999,33.58
1703842,Campos Lindos,TO,0.41,65.73,25.62,8.23,1.65,7.86,70.24000000000001,20.24,0.0,12.67,25.430000000000003,61.9
1703867,Cariri do Tocantins,TO,3.52,6.88,89.61,0.0,0.0,24.67,67.13,8.19,0.13,2.81,75.97000000000001,21.1
1703883,Carmolândia,TO,0.67,42.44,56.89,0.0,0.9,50.45,47.59,1.05,0.2,22.13,43.85,33.81
1703891,Carrasco Bonito,TO,2.27,11.56,86.17,0.0,12.9,19.3,61.83,5.97,0.0,0.29,58.06,41.65
1703909,Caseara,TO,0.49,2.46,95.45,1.6,2.91,3.5,89.33,4.25,0.22,0.11,71.14,28.52
1704105,Centenário,TO,0.65,30.31,53.37,15.67,0.0,26.21,36.32,37.46,0.2,1.39,23.71,74.7
1704600,Chapada de Areia,TO,0.71,14.39,83.31,1.6,0.22,2.64,83.25,13.88,0.3,2.4,29.04,68.26
1705102,Chapada da Natividade,TO,0.58,0.0,98.82999999999998,0.58,0.43,44.44,17.48,37.65,0.15,3.54,23.23,73.08
1705508,Colinas do Tocantins,TO,76.6,4.18,19.140000000000004,0.08,19.84,11.48,67.42,1.27,1.23,18.14,71.82000000000001,8.81
1705557,Combinado,TO,0.29,0.17,99.08,0.46,0.28,11.13,85.53,3.06,0.0,5.95,82.60000000000001,11.45
1705607,Conceição do Tocantins,TO,10.04,0.46,76.44000000000001,13.05,1.3,6.65,66.41000000000001,25.65,0.0,0.1,44.51,55.39
1706001,Couto Magalhães,TO,1.08,19.08,78.05,1.79,0.7,30.89,53.13,15.27,0.0,0.37,56.3,43.33
1706100,Cristalândia,TO,0.94,19.82,78.9,0.34,0.53,6.0,89.4,4.06,0.0,42.12,41.06999999999999,16.82
1706258,Crixás do Tocantins,TO,0.59,3.35,96.07,0.0,1.02,29.59,57.75,11.63,0.0,1.45,53.78,44.77
1706506,Darcinópolis,TO,29.1,2.46,64.12,4.32,22.09,23.77,32.66,21.48,0.0,0.4,61.07,38.52
1707009,Dianópolis,TO,4.09,8.39,85.82000000000001,1.7,0.72,14.65,75.23,9.41,1.1,4.52,73.78999999999999,20.58
1707108,Divinópolis do Tocantins,TO,1.46,23.25,74.85000000000001,0.43,0.15,6.58,83.33000000000001,9.93,0.07,4.32,59.76,35.86
1707207,Dois Irmãos do Tocantins,TO,0.92,20.52,75.33000000000001,3.23,0.04,16.57,51.00000000000001,32.4,0.05,0.0,53.36,46.59
1707306,Dueré,TO,0.92,6.58,92.07,0.43,0.55,13.83,78.56,7.05,0.09,0.51,68.57,30.83
1707405,Esperantina,TO,34.79,10.4,52.01,2.81,13.85,5.2,76.69,4.26,0.0,2.18,34.25,63.57
1707553,Fátima,TO,23.03,54.02,22.780000000000005,0.17,0.18,54.22,41.03,4.57,0.52,65.46,10.65,23.37
1707652,Figueirópolis,TO,2.26,15.14,82.59,0.0,0.35,56.11,41.93,1.61,0.0,0.39,85.23,14.39
1707702,Filadélfia,TO,2.15,38.15,56.46,3.25,0.79,7.32,80.2,11.7,0.45,30.52,10.52,58.51
1708205,Formoso do Araguaia,TO,2.87,50.5,43.89,2.74,2.88,15.28,70.47000000000001,11.37,1.92,5.61,62.17,30.3
1708254,Tabocão,TO,0.17,0.79,98.34,0.7,1.16,1.16,95.65,2.03,0.0,0.0,74.05,25.95
1708304,Goianorte,TO,0.53,4.14,94.21,1.12,0.07,9.63,72.81,17.5,0.0,0.0,50.2,49.8
1709005,Goiatins,TO,3.84,27.95,46.78,21.43,0.8,7.83,57.15,34.21,0.22,20.16,6.52,73.09
1709302,Guaraí,TO,51.4,7.49,40.970000000000006,0.14,8.96,14.79,73.01,3.24,0.4,8.08,77.47999999999999,14.03
1709500,Gurupi,TO,41.44,33.9,24.62,0.06,17.4,25.45,55.95,1.2,0.35,35.74,57.06999999999999,6.84
1709807,Ipueiras,TO,0.18,88.81,10.66,0.36,1.35,80.31,6.95,11.39,0.0,1.11,38.01,60.89
1710508,Itacajá,TO,34.94,3.01,49.14,12.91,18.62,20.74,37.55,23.09,0.06,6.17,50.31,43.45
1710706,Itaguatins,TO,35.82,24.28,38.18,1.72,17.53,8.52,60.43,13.52,0.14,0.0,38.07,61.79
1710904,Itapiratins,TO,0.31,14.13,80.3,5.26,0.0,0.19,65.94000000000001,33.87,0.0,18.48,12.28,69.25
1711100,Itaporã do Tocantins,TO,0.24,0.61,98.9,0.24,0.0,2.55,88.6,8.85,2.52,0.31,76.41999999999999,20.75
1711506,Jaú do Tocantins,TO,0.57,1.94,95.39,2.1,0.26,0.44,80.98,18.32,0.0,0.71,61.48,37.81
1711803,Juarina,TO,0.0,0.0,99.72,0.27,0.15,18.73,66.52,14.6,0.0,0.88,35.27,63.86
1711902,Lagoa da Confusão,TO,1.63,19.65,72.08999999999999,6.65,0.34,5.56,77.61000000000001,16.5,0.07,2.55,63.22,34.16
1711951,Lagoa do Tocantins,TO,7.12,1.59,80.99000000000001,10.3,0.11,28.81,50.61,20.47,0.0,0.72,46.94,52.34
1712009,Lajeado,TO,4.3,68.64,26.46,0.6,5.37,34.71,52.67999999999999,7.24,0.0,3.2,72.07000000000001,24.73
1712157,Lavandeira,TO,0.85,0.68,95.73,2.73,2.86,20.41,56.53,20.2,0.0,0.0,55.33,44.67
1712405,Lizarda,TO,0.81,70.62,11.25,17.33,0.69,51.87,9.87,37.57,0.49,7.38,16.240000000000002,75.89
1712454,Luzinópolis,TO,0.69,0.23,98.39,0.69,0.14,0.0,87.62,12.24,0.0,0.0,69.76,30.25
1712504,Marianópolis do Tocantins,TO,0.94,1.38,97.3,0.38,0.15,12.02,78.5,9.34,0.0,0.22,54.79,45.0
1712702,Mateiros,TO,2.1,0.49,85.2,12.21,2.7,9.17,60.97,27.16,0.0,1.47,31.67,66.86
1712801,Maurilândia do Tocantins,TO,0.7,3.31,81.97,14.03,0.0,16.0,55.53,28.47,0.0,0.32,45.29,54.38
1713205,Miracema do Tocantins,TO,3.41,25.62,70.43999999999998,0.53,0.74,13.16,83.92,2.17,0.32,1.27,77.59,20.81
1713304,Miranorte,TO,1.14,4.59,94.12999999999998,0.14,1.98,0.24,94.54,3.25,0.13,0.1,84.75,15.02
1713601,Monte do Carmo,TO,0.47,6.07,90.62,2.85,1.11,18.3,59.53,21.06,2.72,2.8,26.42,68.07
1713700,Monte Santo do Tocantins,TO,1.25,26.42,71.65,0.68,0.15,14.58,71.28000000000002,13.99,0.0,11.76,21.71,66.53
1713809,Palmeiras do Tocantins,TO,0.64,0.39,96.84,2.12,0.67,0.4,84.95,13.98,0.0,0.1,42.3,57.6
1713957,Muricilândia,TO,0.42,0.85,98.72,0.0,0.23,15.31,70.85,13.6,0.16,2.8,76.37,20.68
1714203,Natividade,TO,0.95,0.33,97.81,0.91,0.23,34.63,49.52,15.62,0.1,23.28,36.28,40.34
1714302,Nazaré,TO,0.52,2.22,96.54,0.72,1.23,0.65,94.93,3.19,0.0,2.5,55.61000000000001,41.88
1714880,Nova Olinda,TO,0.88,0.34,95.34,3.44,0.47,6.92,80.99000000000001,11.63,0.04,0.76,60.49,38.7
1715002,Nova Rosalândia,TO,0.77,63.07,35.99,0.17,1.84,0.09,95.43,2.63,0.0,0.73,71.02000000000001,28.24
1715101,Novo Acordo,TO,0.68,1.5,95.94,1.88,2.55,30.94,55.66,10.85,0.0,0.15,62.2,37.65
1715150,Novo Alegre,TO,22.01,10.03,67.41,0.56,0.0,17.71,76.34000000000002,5.95,0.18,0.53,87.97999999999999,11.31
1715259,Novo Jardim,TO,0.14,1.99,97.44,0.43,0.15,27.68,63.3,8.87,0.0,1.53,66.38000000000001,32.1
1715507,Oliveira de Fátima,TO,1.76,0.0,98.24,0.0,1.25,7.52,86.51,4.7,0.0,35.29,42.16,22.55
1715705,Palmeirante,TO,0.12,1.44,90.56,7.88,0.22,6.12,56.49,37.17,0.12,6.03,21.99,71.87
1715754,Palmeirópolis,TO,0.55,1.31,97.98,0.16,1.06,8.89,84.63,5.42,0.1,0.36,76.46000000000001,23.07
1716109,Paraíso do Tocantins,TO,19.74,19.83,60.31999999999999,0.1,6.61,12.96,78.9,1.53,0.2,12.69,79.71000000000001,7.39
1716208,Paranã,TO,0.79,40.6,42.45,16.16,0.07,1.04,62.32,36.57,0.17,0.7,27.63,71.51
1716307,Pau D'Arco,TO,1.6,34.99,63.12,0.29,0.38,12.39,75.07000000000001,12.16,0.0,1.08,57.18000000000001,41.73
1716505,Pedro Afonso,TO,1.86,19.16,78.12,0.87,2.45,49.79,42.05,5.71,0.23,0.14,84.66000000000001,14.98
1716604,Peixe,TO,23.55,20.57,55.5,0.38,9.33,11.89,64.31,14.47,0.04,6.36,42.6,51.0
1716653,Pequizeiro,TO,0.0,0.76,95.73,3.52,0.0,26.29,53.77,19.95,0.09,5.92,52.49,41.51
1716703,Colméia,TO,1.56,2.84,94.23,1.37,1.36,43.47,51.05,4.11,0.16,14.75,58.870000000000005,26.23
1717008,Pindorama do Tocantins,TO,1.81,0.27,91.95,5.97,0.65,23.37,58.09,17.89,0.31,2.93,37.3,59.46
1717206,Piraquê,TO,0.38,0.0,96.72,2.9,0.0,0.46,69.28999999999999,30.24,0.0,0.57,51.71,47.73
1717503,Pium,TO,0.25,14.24,83.31,2.19,0.45,18.31,71.79,9.43,0.0,1.54,67.0,31.47
1717800,Ponte Alta do Bom Jesus,TO,2.03,63.73,26.65,7.59,0.15,1.52,74.36,23.98,0.0,0.37,47.71,51.92
1717909,Ponte Alta do Tocantins,TO,0.48,17.33,78.18,4.0,2.27,0.74,74.46000000000001,22.53,0.07,0.28,46.15,53.5
1718006,Porto Alegre do Tocantins,TO,0.0,1.3,91.76,6.94,0.68,4.61,71.92,22.8,0.19,0.37,44.24,55.2
