cod_ibge,nome_mun,sigla_uf,area_urb_densa_km2,area_urb_pouco_densa_km2_2019,total_area_urb_km2_2019,lot_vazio_km2_2019,area_total_map_km2_2019,outros_km2_2019,vazios_intraurb_km2_2019,vazios_km2_2019
2102705,Cantanhede,MA,3.24,1.38,4.62,0.0,4.62,0.0,0.0,0.0
2102754,Capinzal do Norte,MA,3.9,0.15,4.05,0.0,4.05,0.02,0.0,0.0
2102804,Carolina,MA,6.33,0.51,6.84,0.0,6.84,0.5,0.0,0.0
2102903,Carutapera,MA,3.9,1.41,5.31,0.03,5.34,0.0,0.0,0.0
2103109,Cedral,MA,2.62,1.53,4.15,0.62,4.78,0.0,0.0,0.0
2103125,Central do Maranhão,MA,0.44,2.07,2.51,0.03,2.54,0.0,0.0,0.0
2103158,Centro do Guilherme,MA,1.77,0.1,1.88,0.07,1.94,0.0,0.0,0.0
2103174,Centro Novo do Maranhão,MA,3.96,0.32,4.27,0.26,4.54,0.0,0.0,0.0
2103257,Cidelândia,MA,2.12,1.77,3.9,0.19,4.09,0.0,0.0,0.0
2103307,Codó,MA,16.99,1.94,18.93,0.08,19.01,0.55,0.0,0.0
2103505,Colinas,MA,6.55,4.51,11.06,0.66,11.72,0.22,0.0,0.0
2103554,Conceição do Lago-Açu,MA,1.98,0.3,2.28,0.0,2.28,0.0,0.0,0.0
2103604,Coroatá,MA,9.81,2.48,12.29,0.69,12.98,0.0,0.54,0.0
2103703,Cururupu,MA,7.47,2.05,9.52,0.03,9.54,0.0,0.0,0.0
2103752,Davinópolis,MA,2.33,2.79,5.12,0.44,5.55,0.44,0.0,0.0
2103802,Dom Pedro,MA,5.01,1.06,6.07,0.15,6.21,0.0,0.0,0.0
2104008,Esperantinópolis,MA,2.94,1.74,4.68,0.3,4.98,0.0,0.0,0.0
2104057,Estreito,MA,5.53,3.66,9.19,1.69,10.88,0.34,0.0,0.0
2104073,Feira Nova do Maranhão,MA,0.86,0.26,1.11,0.0,1.11,0.0,0.0,0.0
2104081,Fernando Falcão,MA,0.92,5.01,5.93,0.0,5.93,0.0,0.0,0.0
2104099,Formosa da Serra Negra,MA,3.54,0.77,4.32,0.0,4.32,0.0,0.0,0.0
2104107,Fortaleza dos Nogueiras,MA,2.83,0.25,3.08,0.1,3.18,0.0,0.0,0.0
2104206,Fortuna,MA,3.09,0.98,4.07,0.15,4.22,0.0,0.0,0.0
2104305,Godofredo Viana,MA,1.52,0.72,2.25,0.0,2.25,0.16,0.0,0.0
2104404,Gonçalves Dias,MA,3.25,1.22,4.47,0.0,4.47,0.0,0.0,0.0
2104503,Governador Archer,MA,1.6,0.49,2.09,0.0,2.09,0.0,0.0,0.0
2104552,Governador Edison Lobão,MA,3.0,4.79,7.8,2.62,10.42,0.26,0.0,0.0
2104602,Governador Eugênio Barros,MA,3.07,0.94,4.01,0.0,4.01,0.0,0.0,0.0
2104628,Governador Luiz Rocha,MA,1.46,0.22,1.68,0.0,1.68,0.0,0.0,0.0
2104651,Governador Newton Bello,MA,2.01,0.75,2.76,0.09,2.85,0.0,0.0,0.0
2104677,Governador Nunes Freire,MA,3.92,1.02,4.95,0.57,5.52,0.0,0.0,0.0
2104701,Graça Aranha,MA,1.44,0.41,1.86,0.0,1.86,0.0,0.0,0.0
2104800,Grajaú,MA,18.02,10.31,28.33,8.0,36.33,2.78,0.0,0.0
2104909,Guimarães,MA,2.53,2.05,4.58,0.44,5.03,0.0,0.0,0.0
2105104,Icatu,MA,3.78,2.3,6.08,0.0,6.08,0.0,0.0,0.0
2105153,Igarapé do Meio,MA,3.27,0.6,3.88,0.26,4.13,0.0,0.0,0.0
2105203,Igarapé Grande,MA,1.99,0.07,2.07,0.26,2.33,0.0,0.0,0.0
2105302,Imperatriz,MA,50.84,14.23,65.07,4.34,69.4,2.81,1.6,0.0
2105351,Itaipava do Grajaú,MA,2.27,3.25,5.52,0.31,5.83,0.0,0.0,0.0
2105401,Itapecuru Mirim,MA,10.11,5.18,15.29,1.63,16.92,0.27,0.0,0.0
2105427,Itinga do Maranhão,MA,4.23,2.49,6.72,0.06,6.79,0.0,0.0,0.0
2105450,Jatobá,MA,1.97,0.96,2.93,0.07,2.99,0.04,0.0,0.0
2105476,Jenipapo dos Vieiras,MA,0.57,7.87,8.44,0.0,8.44,0.01,0.0,0.0
2105500,João Lisboa,MA,4.67,2.61,7.28,0.15,7.43,0.0,0.0,0.0
2105609,Joselândia,MA,3.77,1.37,5.13,0.0,5.13,0.0,0.61,0.0
2105658,Junco do Maranhão,MA,1.54,0.17,1.71,0.01,1.73,0.0,0.0,0.0
2105708,Lago da Pedra,MA,7.55,1.37,8.92,0.27,9.19,0.0,0.0,0.0
2105807,Lago do Junco,MA,1.49,0.84,2.33,0.0,2.33,0.0,0.0,0.0
2105906,Lago Verde,MA,2.27,0.82,3.09,0.1,3.19,0.0,0.0,0.0
2105948,Lago dos Rodrigues,MA,1.78,0.67,2.45,0.0,2.45,0.0,0.0,0.0
2105963,Lagoa Grande do Maranhão,MA,1.9,1.01,2.91,0.16,3.07,0.0,0.0,0.0
2105989,Lajeado Novo,MA,0.97,0.63,1.59,0.13,1.73,0.0,0.0,0.0
2106003,Lima Campos,MA,2.5,0.24,2.73,0.05,2.79,0.07,0.0,0.0
2106102,Loreto,MA,2.94,0.2,3.14,0.09,3.23,0.0,0.0,0.0
2106201,Luís Domingues,MA,1.61,0.06,1.66,0.0,1.66,0.0,0.0,0.0
2106326,Maracaçumé,MA,4.39,0.63,5.01,0.99,6.0,0.0,0.0,0.0
2106359,Marajá do Sena,MA,0.48,0.66,1.14,0.0,1.14,0.0,0.0,0.0
2106375,Maranhãozinho,MA,2.36,0.17,2.53,0.41,2.94,0.0,0.0,0.0
2106508,Matinha,MA,2.46,1.38,3.85,0.0,3.85,0.0,0.0,0.0
2106631,Matões do Norte,MA,0.6,0.6,1.2,0.0,1.2,0.0,0.0,0.0
2106706,Mirador,MA,2.7,2.95,5.65,0.29,5.95,0.0,0.0,0.0
2106755,Miranda do Norte,MA,3.48,0.67,4.15,0.0,4.15,0.3,0.0,0.0
2106805,Mirinzal,MA,3.3,2.03,5.33,0.78,6.11,0.0,0.0,0.0
2106904,Monção,MA,4.68,2.79,7.46,0.0,7.46,0.11,0.0,0.0
2107001,Montes Altos,MA,1.43,0.79,2.22,0.0,2.22,0.0,0.0,0.0
2107100,Morros,MA,2.94,1.71,4.65,0.0,4.65,0.0,0.0,0.0
2107258,Nova Colinas,MA,0.79,0.09,0.88,0.0,0.88,0.0,0.0,0.0
2107308,Nova Iorque,MA,1.23,0.12,1.36,0.0,1.36,0.0,0.0,0.0
2107357,Nova Olinda do Maranhão,MA,1.62,1.43,3.05,0.0,3.05,0.0,0.0,0.0
2107407,Olho d'Água das Cunhãs,MA,4.2,0.41,4.62,0.0,4.62,0.0,0.0,0.0
2107456,Olinda Nova do Maranhão,MA,1.59,1.39,2.98,0.0,2.98,0.0,0.0,0.0
2107506,Paço do Lumiar,MA,27.17,11.59,38.76,2.49,41.25,0.3,0.0,0.0
2107605,Palmeirândia,MA,1.91,3.04,4.95,0.0,4.95,0.0,0.0,0.0
2107704,Paraibano,MA,3.16,0.65,3.82,0.0,3.82,0.0,0.0,0.0
2108009,Pastos Bons,MA,4.72,0.93,5.65,0.0,5.65,0.0,0.0,0.0
2108108,Paulo Ramos,MA,3.41,0.47,3.88,0.0,3.88,0.0,0.0,0.0
2108207,Pedreiras,MA,5.89,0.58,6.48,0.5,6.97,0.12,0.0,0.0
2108256,Pedro do Rosário,MA,2.49,2.06,4.55,0.0,4.55,0.0,0.0,0.0
2108306,Penalva,MA,4.1,1.25,5.35,0.0,5.35,0.0,0.0,0.0
2108405,Peri Mirim,MA,1.52,1.22,2.73,0.03,2.76,0.0,0.0,0.0
2108454,Peritoró,MA,3.59,0.84,4.42,0.24,4.67,0.05,0.0,0.0
2108504,Pindaré-Mirim,MA,5.6,1.26,6.86,0.13,6.99,0.3,0.0,0.0
2108603,Pinheiro,MA,10.77,6.69,17.46,0.63,18.08,0.44,0.0,0.0
2108702,Pio XII,MA,4.83,2.11,6.94,0.0,6.94,0.0,0.0,0.0
2108801,Pirapemas,MA,2.44,1.13,3.58,0.0,3.58,0.0,0.0,0.0
2108900,Poção de Pedras,MA,3.3,0.97,4.27,0.0,4.27,0.0,0.0,0.0
2109007,Porto Franco,MA,4.9,1.54,6.44,0.61,7.06,0.19,0.0,0.0
2109056,Porto Rico do Maranhão,MA,0.49,1.71,2.19,0.21,2.4,0.0,0.0,0.0
2109106,Presidente Dutra,MA,9.23,2.65,11.88,0.61,12.49,0.55,0.0,0.0
2109205,Presidente Juscelino,MA,1.12,1.79,2.91,0.0,2.91,0.0,0.0,0.0
2109239,Presidente Médici,RO,5.49,0.04,5.53,0.0,5.53,0.38,0.0,0.0
2109270,Presidente Sarney,MA,2.96,1.44,4.4,0.0,4.4,0.0,0.0,0.0
2109304,Presidente Vargas,MA,1.29,0.5,1.79,0.0,1.79,0.0,0.0,0.0
2109452,Raposa,MA,6.58,2.36,8.94,0.52,9.46,0.0,0.0,0.0
2109502,Riachão,MA,6.52,1.28,7.8,0.11,7.9,0.0,1.36,0.0
2109551,Ribamar Fiquene,MA,1.45,0.81,2.26,0.1,2.36,0.0,0.0,0.0
2109601,Rosário,MA,6.14,1.98,8.12,0.0,8.12,0.37,0.0,0.0
2109700,Sambaíba,MA,1.35,0.13,1.47,0.0,1.47,0.0,0.0,0.0
2109759,Santa Filomena do Maranhão,MA,1.07,0.09,1.17,0.0,1.17,0.0,0.0,0.0
2109809,Santa Helena,MA,3.74,2.53,6.27,0.05,6.32,1.67,0.0,0.0
2109908,Santa Inês,MA,14.69,4.99,19.67,1.53,21.2,0.22,0.0,0.0
2110005,Santa Luzia,MA,11.68,3.85,15.53,0.42,15.95,0.0,0.44,0.0
2110039,Santa Luzia do Paruá,MA,4.9,0.42,5.32,0.97,6.29,0.03,0.0,0.0
2110203,Santa Rita,MA,6.5,2.79,9.28,0.0,9.28,0.03,0.0,0.0
2110302,Santo Antônio dos Lopes,MA,2.23,0.61,2.83,0.0,2.83,0.05,0.0,0.0
2110500,São Bento,MA,4.17,3.0,7.17,0.0,7.17,0.0,0.0,0.0
2110658,São Domingos do Azeitão,MA,1.67,0.0,1.67,0.0,1.67,0.0,0.0,0.0
2110708,São Domingos do Maranhão,MA,7.43,2.49,9.92,0.0,9.92,0.01,0.0,0.0
2110807,São Félix de Balsas,MA,0.66,0.56,1.22,0.0,1.22,0.0,0.0,0.0
2110856,São Francisco do Brejão,MA,2.02,0.34,2.36,0.15,2.51,0.0,0.0,0.0
2111003,São João Batista,MA,1.29,1.56,2.85,0.0,2.85,0.0,0.0,0.0
2111029,São João do Carú,MA,2.64,0.75,3.39,0.0,3.39,0.0,0.0,0.0
2111052,São João do Paraíso,MA,1.71,1.29,3.0,0.57,3.57,0.04,0.0,0.0
2111078,São João do Soter,MA,2.82,0.92,3.74,0.53,4.26,0.03,0.0,0.0
2111201,São José de Ribamar,MA,42.5,11.63,54.12,2.81,56.93,0.16,0.0,0.0
2111250,São José dos Basílios,MA,1.63,0.22,1.85,0.0,1.85,0.0,0.0,0.0
2111300,São Luís,MA,154.97,10.99,165.96,0.0,165.96,18.01,0.0,0.0
2111409,São Luís Gonzaga do Maranhão,MA,2.14,0.79,2.94,0.0,2.94,0.0,0.0,0.0
2111508,São Mateus do Maranhão,MA,7.02,2.24,9.25,0.41,9.66,0.0,0.25,0.0
2111532,São Pedro da Água Branca,MA,1.94,0.49,2.43,0.11,2.55,0.0,0.0,0.0
2111573,São Pedro dos Crentes,MA,0.82,0.28,1.09,0.0,1.09,0.0,0.0,0.0
2111607,São Raimundo das Mangabeiras,MA,3.97,1.15,5.12,0.41,5.53,0.09,0.0,0.0
2111631,São Raimundo do Doca Bezerra,MA,1.33,0.27,1.59,0.0,1.59,0.0,0.0,0.0
2111672,São Roberto,MA,0.94,0.6,1.54,0.0,1.54,0.0,0.0,0.0
2111706,São Vicente Ferrer,MA,1.63,1.58,3.21,0.0,3.21,0.0,0.0,0.0
2111722,Satubinha,MA,1.55,0.14,1.69,0.0,1.69,0.05,0.0,0.0
2111748,Senador Alexandre Costa,MA,2.53,0.33,2.86,0.0,2.86,0.0,0.0,0.0
2111763,Senador La Rocque,MA,2.31,2.86,5.18,0.12,5.3,0.0,0.0,0.0
2111789,Serrano do Maranhão,MA,2.66,1.15,3.81,0.0,3.81,0.0,0.0,0.0
2111805,Sítio Novo,MA,1.65,2.0,3.65,0.15,3.8,0.0,0.0,0.0
2111904,Sucupira do Norte,MA,2.94,0.68,3.61,0.0,3.61,0.0,0.0,0.0
2112001,Tasso Fragoso,MA,1.96,0.89,2.85,0.21,3.06,0.0,0.0,0.0
2112100,Timbiras,MA,4.61,0.41,5.02,0.0,5.02,0.0,0.0,0.0
2112233,Trizidela do Vale,MA,3.51,0.1,3.61,0.0,3.61,0.0,0.0,0.0
2112274,Tufilândia,MA,1.01,0.8,1.81,0.07,1.88,0.0,0.0,0.0
2112308,Tuntum,MA,5.08,0.68,5.76,0.18,5.94,0.0,0.0,0.0
2112407,Turiaçu,MA,3.99,3.58,7.57,0.0,7.57,0.0,0.0,0.0
2112456,Turilândia,MA,3.29,0.57,3.87,0.0,3.87,0.0,0.0,0.0
2112704,Vargem Grande,MA,6.99,0.97,7.96,0.31,8.27,0.06,0.0,0.0
2112803,Viana,MA,5.79,3.01,8.8,0.0,8.8,0.0,0.0,0.0
2112852,Vila Nova dos Martírios,MA,1.78,1.16,2.94,0.19,3.13,0.0,0.0,0.0
2112902,Vitória do Mearim,MA,5.47,0.93,6.4,0.0,6.4,0.0,0.0,0.0
2113009,Vitorino Freire,MA,5.41,1.16,6.57,0.37,6.95,0.0,0.0,0.0
2114007,Zé Doca,MA,8.05,3.26,11.31,0.05,11.36,0.0,0.0,0.0
5100102,Acorizal,MT,0.08,3.11,3.19,0.09,3.29,0.03,0.0,0.0
5100201,Água Boa,MT,8.68,2.1,10.79,1.05,11.84,1.53,0.0,0.0
5100250,Alta Floresta,MT,20.23,2.19,22.43,3.16,25.58,3.65,0.0,0.0
5100300,Alto Araguaia,MT,6.18,2.75,8.92,0.55,9.47,3.62,0.0,0.0
5100359,Alto Boa Vista,MT,2.37,0.0,2.37,0.72,3.09,0.0,0.0,0.0
5100409,Alto Garças,MT,2.62,2.44,5.06,0.25,5.31,0.74,0.0,0.0
5100508,Alto Paraguai,MT,0.28,2.47,2.75,0.02,2.76,0.0,0.0,0.0
5100607,Alto Taquari,MT,2.05,1.14,3.18,0.16,3.34,0.21,0.0,0.0
5100805,Apiacás,MT,3.37,0.04,3.41,0.2,3.61,0.81,0.0,0.0
5101001,Araguaiana,MT,0.0,1.42,1.42,0.06,1.48,0.1,0.0,0.0
5101209,Araguainha,MT,0.0,0.73,0.73,0.0,0.73,0.0,0.0,0.0
5101258,Araputanga,MT,3.71,2.38,6.09,0.05,6.15,0.45,0.0,0.0
5101308,Arenápolis,MT,2.7,2.14,4.84,0.14,4.98,0.22,0.0,0.0
5101407,Aripuanã,MT,6.56,3.79,10.35,0.0,10.35,3.57,0.0,0.0
5101605,Barão de Melgaço,MT,0.32,1.24,1.56,0.03,1.59,0.01,0.0,0.0
5101704,Barra do Bugres,MT,5.43,4.15,9.58,0.0,9.58,1.16,0.0,0.0
5101803,Barra do Garças,MT,11.22,19.05,30.27,2.18,32.45,4.8,0.0,0.0
5101852,Bom Jesus do Araguaia,MT,2.23,0.97,3.2,1.53,4.73,0.09,0.0,0.0
5101902,Brasnorte,MT,2.95,4.01,6.96,0.73,7.69,1.3,0.0,0.0
5102504,Cáceres,MT,19.08,14.06,33.15,0.6,33.75,1.15,0.0,0.0
5102603,Campinápolis,MT,1.22,2.12,3.34,0.08,3.42,0.22,0.0,0.0
5102637,Campo Novo do Parecis,MT,9.26,10.08,19.34,2.2,21.54,7.6,0.0,0.0
5102678,Campo Verde,MT,11.06,4.6,15.66,2.37,18.03,5.05,0.3,0.0
5102686,Campos de Júlio,MT,1.94,2.36,4.3,0.23,4.53,2.08,0.0,0.0
5102694,Canabrava do Norte,MT,2.08,0.42,2.5,0.0,2.5,0.0,0.0,0.0
5102702,Canarana,MT,5.6,5.61,11.21,2.33,13.54,1.51,0.0,0.0
5102793,Carlinda,MT,2.2,0.96,3.16,0.1,3.25,0.21,0.0,0.0
5102850,Castanheira,MT,1.88,0.61,2.48,0.0,2.48,0.09,0.0,0.0
5103007,Chapada dos Guimarães,MT,3.89,9.34,13.23,4.64,17.86,1.19,0.41,0.0
5103056,Cláudia,MT,4.67,0.0,4.67,0.0,4.67,1.14,0.0,0.0
5103106,Cocalinho,MT,0.47,3.08,3.56,0.0,3.56,0.2,0.0,0.0
5103205,Colíder,MT,8.74,1.52,10.26,0.23,10.49,0.82,0.0,0.0
5103254,Colniza,MT,10.61,5.37,15.98,0.79,16.76,4.17,0.0,0.0
5103304,Comodoro,MT,4.79,2.64,7.43,0.87,8.3,0.84,0.0,0.0
5103353,Confresa,MT,5.71,7.24,12.95,3.42,16.38,2.0,0.0,0.0
5103361,Conquista D'Oeste,MT,0.84,0.3,1.14,0.04,1.17,0.04,0.0,0.0
5103379,Cotriguaçu,MT,2.26,3.54,5.8,0.04,5.84,0.79,0.0,0.0
5103403,Cuiabá,MT,132.17,28.43,160.59,11.91,172.5,8.07,5.17,0.0
5103437,Curvelândia,MT,0.86,0.71,1.57,0.03,1.6,0.05,0.0,0.0
5103452,Denise,MT,2.13,0.0,2.13,0.0,2.13,0.0,0.0,0.0
5103502,Diamantino,MT,2.53,7.58,10.11,1.23,11.34,2.16,0.0,0.0
5103601,Dom Aquino,MT,1.53,1.51,3.04,0.0,3.04,0.31,0.0,0.0
5103700,Feliz Natal,MT,3.52,1.03,4.55,0.17,4.73,1.04,0.0,0.0
5103809,Figueirópolis D'Oeste,MT,0.98,0.02,1.01,0.0,1.01,0.04,0.0,0.0
5103858,Gaúcha do Norte,MT,0.0,2.71,2.71,0.94,3.64,0.49,0.0,0.0
5103908,General Carneiro,MT,0.0,1.74,1.74,0.0,1.74,0.0,0.0,0.0
5103957,Glória D'Oeste,MT,1.09,0.0,1.09,0.0,1.09,0.02,0.0,0.0
5104104,Guarantã do Norte,MT,10.33,2.3,12.63,0.86,13.49,1.48,0.34,0.0
5104203,Guiratinga,MT,3.14,1.18,4.32,0.19,4.51,0.0,0.0,0.0
5104500,Indiavaí,MT,0.94,0.0,0.94,0.0,0.94,0.05,0.0,0.0
5104526,Ipiranga do Norte,MT,1.67,1.32,2.99,0.37,3.35,0.69,0.0,0.0
5104542,Itanhangá,MT,0.63,4.35,4.99,0.86,5.84,0.26,0.0,0.0
5104559,Itaúba,MT,2.11,0.0,2.11,0.47,2.58,0.24,0.0,0.0
5104609,Itiquira,MT,1.82,1.32,3.14,0.0,3.14,0.3,0.0,0.0
5104807,Jaciara,MT,7.21,1.81,9.02,0.0,9.02,1.45,0.0,0.0
5104906,Jangada,MT,0.98,1.4,2.38,0.0,2.38,0.1,0.0,0.0
5105002,Jauru,MT,2.81,0.71,3.52,0.2,3.72,0.36,0.0,0.0
5105101,Juara,MT,10.68,3.25,13.93,1.25,15.18,2.92,0.0,0.0
5105150,Juína,MT,13.6,9.11,22.72,0.27,22.99,1.16,0.42,0.0
5105176,Juruena,MT,2.39,2.86,5.25,0.0,5.25,0.95,0.0,0.0
5105200,Juscimeira,MT,2.2,2.01,4.21,0.0,4.21,0.71,0.0,0.0
5105234,Lambari D'Oeste,MT,0.85,0.38,1.23,0.0,1.23,0.01,0.0,0.0
5105259,Lucas do Rio Verde,MT,16.48,6.4,22.88,4.24,27.12,2.21,0.0,0.0
5105309,Luciara,MT,0.84,0.05,0.89,0.0,0.89,0.07,0.0,0.0
5105507,Vila Bela da Santíssima Trindade,MT,1.35,3.58,4.93,0.38,5.31,0.38,0.0,0.0
5105580,Marcelândia,MT,4.14,0.12,4.27,0.08,4.35,1.25,0.0,0.0
5105606,Matupá,MT,6.38,2.2,8.59,0.73,9.32,2.3,0.0,0.0
5105622,Mirassol d'Oeste,MT,7.57,0.6,8.16,0.0,8.16,0.81,0.0,0.0
5105903,Nobres,MT,6.08,1.79,7.87,0.25,8.12,2.0,0.0,0.0
5106000,Nortelândia,MT,1.04,1.22,2.26,0.0,2.26,0.05,0.0,0.0
5106109,Nossa Senhora do Livramento,MT,1.22,2.4,3.62,0.22,3.84,0.06,0.0,0.0
5106158,Nova Bandeirantes,MT,3.48,0.57,4.05,0.55,4.6,0.9,0.0,0.0
5106174,Nova Nazaré,MT,0.0,1.31,1.31,0.38,1.68,0.14,0.0,0.0
5106182,Nova Lacerda,MT,1.47,0.98,2.45,0.29,2.75,0.51,0.0,0.0
5106190,Nova Santa Helena,MT,0.84,1.44,2.28,0.0,2.28,0.08,0.0,0.0
5106208,Nova Brasilândia,MT,1.02,0.54,1.56,0.0,1.56,0.02,0.0,0.0
5106216,Nova Canaã do Norte,MT,4.01,0.28,4.29,0.07,4.36,0.34,0.0,0.0
5106224,Nova Mutum,MT,12.53,2.87,15.39,1.84,17.23,3.03,0.0,0.0
5106232,Nova Olímpia,MT,4.26,0.82,5.08,0.0,5.08,1.25,0.0,0.0
5106240,Nova Ubiratã,MT,1.3,5.09,6.39,0.72,7.11,0.78,0.0,0.0
5106257,Nova Xavantina,MT,2.53,5.53,8.05,1.53,9.58,0.7,0.0,0.0
5106265,Novo Mundo,MT,1.99,0.61,2.6,0.47,3.07,0.34,0.0,0.0
5106273,Novo Horizonte do Norte,MT,0.9,0.21,1.1,0.26,1.36,0.08,0.0,0.0
5106281,Novo São Joaquim,MT,1.07,1.49,2.56,0.0,2.56,0.17,0.0,0.0
5106299,Paranaíta,MT,3.87,0.61,4.47,0.0,4.47,0.48,0.0,0.0
5106307,Paranatinga,MT,5.11,4.52,9.63,4.88,14.51,1.54,0.0,0.0
5106315,Novo Santo Antônio,MT,0.95,0.26,1.21,0.16,1.37,0.0,0.0,0.0
5106372,Pedra Preta,MT,3.08,3.07,6.16,0.35,6.51,0.48,0.0,0.0
5106422,Peixoto de Azevedo,MT,7.84,2.3,10.14,0.67,10.8,0.62,0.0,0.0
5106455,Planalto da Serra,MT,0.14,2.18,2.32,0.0,2.32,0.0,0.0,0.0
5106505,Poconé,MT,3.99,6.84,10.83,0.91,11.73,0.97,0.0,0.0
5106653,Pontal do Araguaia,MT,2.13,0.12,2.26,0.0,2.26,0.4,0.0,0.0
5106703,Ponte Branca,MT,0.0,1.13,1.13,0.0,1.13,0.0,0.0,0.0
5106752,Pontes e Lacerda,MT,10.82,2.94,13.76,0.8,14.56,1.65,0.0,0.0
5106778,Porto Alegre do Norte,MT,2.99,0.84,3.83,0.75,4.58,0.02,0.0,0.0
5106802,Porto dos Gaúchos,MT,3.0,0.67,3.67,0.09,3.76,1.02,0.0,0.0
5106828,Porto Esperidião,MT,1.59,1.36,2.95,0.32,3.27,0.21,0.0,0.0
5106851,Porto Estrela,MT,0.0,0.96,0.96,0.0,0.96,0.02,0.0,0.0
5107008,Poxoréu,MT,2.04,10.75,12.78,2.2,14.98,0.19,0.0,0.0
5107040,Primavera do Leste,MT,18.49,5.1,23.59,3.43,27.03,5.1,0.0,0.0
5107065,Querência,MT,2.28,7.12,9.41,1.91,11.32,1.0,0.0,0.0
5107107,São José dos Quatro Marcos,MT,5.07,0.79,5.86,0.0,5.86,0.63,0.0,0.0
5107156,Reserva do Cabaçal,MT,0.81,0.65,1.46,0.0,1.46,0.7,0.0,0.0
5107180,Ribeirão Cascalheira,MT,0.0,3.38,3.38,0.22,3.6,0.0,0.0,0.0
5107198,Ribeirãozinho,MT,0.0,1.25,1.25,0.0,1.25,0.11,0.0,0.0
5107206,Rio Branco,MT,0.95,0.98,1.93,0.0,1.93,4.05,0.84,0.0
5107248,Santa Carmem,MT,2.3,0.2,2.5,0.0,2.5,0.55,0.0,0.0
5107263,Santo Afonso,MT,0.0,1.06,1.06,0.0,1.06,0.0,0.0,0.0
5107297,São José do Povo,MT,0.0,0.85,0.85,0.0,0.85,0.0,0.0,0.0
5107305,São José do Rio Claro,MT,3.13,1.82,4.95,0.0,4.95,0.6,0.0,0.0
5107354,São José do Xingu,MT,1.97,0.85,2.82,0.0,2.82,0.0,0.0,0.0
5107404,São Pedro da Cipa,MT,0.89,0.18,1.08,0.03,1.11,0.23,0.0,0.0
5107578,Rondolândia,MT,0.0,0.93,0.93,0.0,0.93,0.1,0.0,0.0
5107602,Rondonópolis,MT,77.23,9.78,87.01,3.0,90.0,19.12,0.56,0.0
5107701,Rosário Oeste,MT,3.7,1.15,4.85,0.87,5.72,0.37,0.0,0.0
5107743,Santa Cruz do Xingu,MT,0.0,2.02,2.02,0.71,2.73,0.04,0.0,0.0
5107750,Salto do Céu,MT,0.6,0.49,1.09,0.0,1.09,0.0,0.0,0.0
5107768,Santa Rita do Trivelato,MT,0.6,0.7,1.3,0.0,1.3,0.08,0.0,0.0
5107776,Santa Terezinha,MT,1.97,1.69,3.66,0.0,3.66,0.8,0.0,0.0
5107792,Santo Antônio do Leste,MT,0.57,0.67,1.23,0.26,1.49,0.0,0.0,0.0
5107800,Santo Antônio de Leverger,MT,1.77,3.46,5.23,1.52,6.75,0.56,0.0,0.0
5107859,São Félix do Araguaia,MT,0.0,5.47,5.47,0.99,6.47,0.31,0.0,0.0
5107875,Sapezal,MT,6.21,3.26,9.48,0.86,10.33,3.21,0.0,0.0
5107883,Serra Nova Dourada,MT,0.0,1.04,1.04,0.0,1.04,0.16,0.0,0.0
5107909,Sinop,MT,60.7,8.96,69.67,10.8,80.47,7.69,2.06,0.0
5107925,Sorriso,MT,23.65,9.99,33.64,5.21,38.85,4.53,0.0,0.0
5107941,Tabaporã,MT,4.63,0.42,5.06,3.07,8.13,0.66,0.0,0.0
5107958,Tangará da Serra,MT,22.22,8.75,30.97,3.15,34.12,5.81,0.0,0.0
5108006,Tapurah,MT,3.32,3.3,6.62,0.75,7.37,1.59,0.0,0.0
5108055,Terra Nova do Norte,MT,3.07,1.81,4.88,0.24,5.12,0.36,0.0,0.0
5108105,Tesouro,MT,0.0,1.76,1.76,0.0,1.76,0.0,0.0,0.0
5108204,Torixoréu,MT,0.0,1.53,1.53,0.0,1.53,0.0,0.0,0.0
5108303,União do Sul,MT,2.25,0.0,2.25,0.0,2.25,0.61,0.0,0.0
5108352,Vale de São Domingos,MT,0.0,1.32,1.32,0.0,1.32,0.0,0.0,0.0
5108402,Várzea Grande,MT,71.27,14.98,86.24,6.59,92.83,5.99,1.53,0.0
5108501,Vera,MT,2.87,2.82,5.7,0.0,5.7,1.36,0.0,0.0
5108600,Vila Rica,MT,3.74,1.27,5.01,0.32,5.34,0.27,0.0,0.0
5108808,Nova Guarita,MT,2.03,0.39,2.42,0.0,2.42,0.08,0.0,0.0
5108857,Nova Marilândia,MT,0.55,0.41,0.96,0.09,1.05,0.07,0.0,0.0
5108907,Nova Maringá,MT,1.2,1.64,2.84,0.27,3.1,0.53,0.0,0.0
5108956,Nova Monte Verde,MT,2.95,1.08,4.02,0.0,4.02,0.55,0.0,0.0
