cod_ibge,nome_mun,sigla_uf,area_urb_densa_km2,area_urb_pouco_densa_km2_2019,total_area_urb_km2_2019,lot_vazio_km2_2019,area_total_map_km2_2019,outros_km2_2019,vazios_intraurb_km2_2019,vazios_km2_2019
1507961,Terra Alta,PA,2.46,1.69,4.15,0.22,4.37,0.0,0.0,0.0
1507979,Terra Santa,PA,3.37,0.17,3.54,1.39,4.92,0.0,0.0,0.0
1508001,Tomé-Açu,PA,10.37,1.33,11.69,0.0,11.69,0.25,0.0,0.0
1508035,Tracuateua,PA,2.78,3.24,6.02,0.21,6.23,0.0,0.0,0.0
1508050,Trairão,PA,2.78,2.92,5.69,0.16,5.85,0.0,0.0,0.0
1508084,Tucumã,PA,7.37,4.6,11.96,2.03,14.0,0.3,0.0,0.0
1508100,Tucuruí,PA,17.29,3.28,20.57,1.58,22.15,2.49,0.0,0.0
1508126,Ulianópolis,PA,5.09,5.23,10.31,1.02,11.34,0.0,0.0,0.0
1508159,Uruará,PA,7.77,2.85,10.62,0.87,11.49,0.6,0.0,0.0
1508209,Vigia,PA,6.73,1.66,8.39,0.52,8.91,0.04,0.0,0.0
1508308,Viseu,PA,6.64,9.01,15.65,0.0,15.65,0.06,0.0,0.0
1508357,Vitória do Xingu,PA,5.52,2.82,8.34,0.87,9.21,1.98,0.0,0.0
1508407,Xinguara,PA,12.82,3.58,16.4,0.55,16.95,0.55,0.31,0.0
1600055,Serra do Navio,AP,0.86,1.16,2.02,0.0,2.02,0.03,0.0,0.0
1600105,Amapá,AP,1.58,0.39,1.97,0.0,1.97,0.0,0.0,0.0
1600154,Pedra Branca do Amapari,AP,2.13,1.4,3.53,0.0,3.53,0.0,0.0,0.0
1600204,Calçoene,AP,2.35,1.02,3.36,0.0,3.36,0.0,0.0,0.0
1600212,Cutias,AP,0.95,0.45,1.4,0.0,1.4,0.0,0.0,0.0
1600238,Ferreira Gomes,AP,1.16,1.32,2.48,0.0,2.48,0.18,0.0,0.0
1600253,Itaubal,AP,0.62,1.38,2.0,0.04,2.04,0.0,0.0,0.0
1600279,Laranjal do Jari,AP,6.69,1.37,8.06,0.0,8.06,0.1,0.53,0.0
1600303,Macapá,AP,62.26,20.02,82.29,4.55,86.84,2.71,0.41,0.0
1600402,Mazagão,AP,2.68,1.76,4.44,0.0,4.44,0.0,0.0,0.0
