ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1101609,Theobroma,46691.318,4124.998,9698.285,40190.24,100704.842,4830.619,105535.46,9915.02
2010,1101708,Urupá,37342.075,6954.417,20848.439,48770.182,113915.113,7444.256,121359.369,9357.65
2010,1101757,Vale do Anari,35400.135,3401.48,11748.656,36325.626,86875.897,4604.39,91480.288,9772.49
2010,1101807,Vale do Paraíso,37552.532,3386.808,11070.716,32508.057,84518.113,4744.843,89262.956,10861.88
2010,1200013,Acrelândia,47610.643,7789.309,14441.426,48862.488,118703.866,3210.862,121914.728,9723.62
2010,1200054,Assis Brasil,8971.018,1319.734,6147.091,24365.189,40803.033,1214.413,42017.446,6916.45
2010,1200104,Brasiléia,39867.601,14309.999,41106.334,80676.895,175960.829,14738.076,190698.905,8895.37
2010,1200138,Bujari,42108.149,2967.997,7355.786,32564.327,84996.259,1268.698,86264.957,10179.96
2010,1200179,Capixaba,41125.3,19178.534,10229.447,33839.075,104372.356,4158.735,108531.092,12319.08
2010,1200203,Cruzeiro do Sul,73861.295,69820.328,275200.116,286709.858,705591.598,65448.626,771040.223,9829.18
2010,1200252,Epitaciolândia,21332.83,12323.446,44682.026,56234.849,134573.15,10423.884,144997.034,9585.95
2010,1200302,Feijó,32449.099,14853.672,24541.989,122999.404,194844.165,5676.644,200520.809,6205.96
2010,1200328,Jordão,5925.382,1048.996,3740.667,29858.777,40573.822,660.175,41233.997,6313.58
2010,1200336,Mâncio Lima,17338.575,5591.098,11256.049,59886.4,94072.122,1346.575,95418.696,6258.61
2010,1200344,Manoel Urbano,10298.269,1805.702,6821.727,34048.796,52974.494,2828.36,55802.854,6984.96
2010,1200351,Marechal Thaumaturgo,22887.603,2904.589,8036.829,60914.687,94743.707,1261.225,96004.931,6760.91
2010,1200385,Plácido de Castro,40249.338,4287.337,16952.863,68986.54,130476.077,2156.584,132632.661,7709.86
2010,1200393,Porto Walter,14991.297,2401.661,5541.802,36568.652,59503.412,814.182,60317.594,6576.28
2010,1200401,Rio Branco,74507.435,879741.7,2294596.068,1244494.899,4493340.102,632511.218,5125851.32,15264.78
2010,1200427,Rodrigues Alves,49775.498,6120.901,11468.465,55197.774,122562.638,1658.854,124221.492,8666.21
2010,1200435,Santa Rosa do Purus,4929.441,873.667,6727.011,22276.912,34807.031,1048.152,35855.183,7774.32
2010,1200450,Senador Guiomard,47659.0,16379.324,33912.93,76932.165,174883.419,9736.19,184619.609,9160.9
2010,1200500,Sena Madureira,66705.107,11152.305,42200.96,137147.272,257205.644,7322.485,264528.129,6962.55
2010,1200609,Tarauacá,45545.28,7216.734,35689.744,133803.656,222255.414,5707.101,227962.514,6416.78
2010,1200708,Xapuri,37762.819,3802.178,14605.075,59055.406,115225.478,2034.41,117259.888,7321.42
2010,1200807,Porto Acre,38473.737,5732.373,11558.252,56321.025,112085.388,2576.073,114661.461,7744.26
2010,1300029,Alvarães,10882.708,1922.692,7284.054,37367.749,57457.203,907.472,58364.675,4145.22
2010,1300060,Amaturá,4456.368,1212.241,5043.997,25573.352,36285.957,654.88,36940.837,3825.29
2010,1300086,Anamã,13941.611,1880.466,6578.494,27372.478,49773.049,2140.292,51913.34,5093.04
2010,1300102,Anori,11822.382,2453.054,10325.546,38673.659,63274.641,1149.372,64424.012,3955.06
2010,1300144,Apuí,34296.819,5266.58,19655.462,46231.388,105450.248,-932.462,104517.786,5787.57
