geocode,state_acronym,feature_id,biome,class_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100023,RO,58777,Amazônia,29,2018.224904,2018.224968,2019.986864,2020.603607,2021.219992,2018.753823,2017.608753,2018.401498,2020.075318,2021.220321,2018.841899,2018.489581,2017.520474,2015.494424,2014.525446,2015.318245,2014.34931,2013.115781,2009.944564,2007.213489,2006.508853,2005.540359,2002.280815
1100023,RO,58777,Amazônia,15,191690.3645,200133.2711,212520.5053,223925.0102,233041.1423,241620.9721,244580.9355,245235.0006,246137.6213,246687.7084,246937.9366,247713.7479,249009.5146,251307.3292,253071.9618,255789.1525,258971.2175,261890.3784,263906.1222,266786.2649,268411.0552,271202.1176,277161.4358
1100023,RO,58777,Amazônia,39,2.291111523,2.291111523,0.0,0.0,0.0,0.0,2.202946423,8.723588269,12.59583208,8.189051276,11.8891428,330.0136285,373.8647882,206.8075825,285.7612942,663.4494005,1071.106725,1590.928648,2213.823574,3465.914591,4872.858742,6425.834056,6487.213131
1100023,RO,58777,Amazônia,41,1.497936853,24.1382452,94.08794406,257.7872324,350.6566563,387.6713561,479.5538395,559.5306716,643.7362731,703.5287296,717.4389547,781.2567069,798.8774871,1207.760033,2368.069975,2467.196503,2660.787428,2998.071921,3591.382653,2973.411748,2301.393398,715.207497,716.9000469
1100023,RO,58777,Amazônia,24,2280.698699,2322.195407,2430.385987,2508.270557,2659.809803,2815.402628,2869.499716,2888.441775,2940.601735,2952.584195,2994.610132,3029.496732,3093.806964,3136.532969,3161.375348,3186.484123,3227.010615,3261.372495,3333.970065,3357.933496,3364.540796,3367.62483,3385.948709
1100023,RO,58777,Amazônia,30,2333.897163,2308.426683,2382.357819,2390.991792,2469.151212,2593.123119,2668.452488,2691.87949,2796.740378,2891.373864,2916.999493,3034.897211,2994.519313,3085.546494,3109.320375,3169.042984,3194.476745,3260.809763,3344.246115,3456.759326,3512.879473,3706.338687,3802.44636
1100023,RO,58777,Amazônia,33,1513.88819,1615.198864,1588.926282,1709.60604,1653.208039,1639.63487,1682.0773,1788.239739,1874.47935,1849.11449,2019.654153,1986.155892,2188.892303,2129.768694,2343.4168,4032.954381,5000.155825,5286.660305,5518.606735,5708.687922,5693.169164,5659.373582,6044.176287
1100031,RO,58778,Amazônia,3,54349.41643,51448.79232,48989.13822,45019.47195,43090.44388,42300.76039,42254.59769,41974.8781,41584.24731,41570.46466,41802.25179,41737.37837,41863.35268,41825.55229,41679.93259,40766.99215,39585.1066,39130.84736,38864.64292,38296.19428,37648.92665,36773.44845,35268.33209
1100031,RO,58778,Amazônia,4,815.0651787,785.2107783,721.4419201,632.102183,565.3025306,542.5867919,626.3668864,681.8011554,707.545277,724.9477364,756.8927834,779.8498306,895.1696576,1231.102324,1400.922871,1467.445235,1568.446069,1625.817346,1650.877263,1627.598454,1641.941603,1574.020547,1337.140009
1100031,RO,58778,Amazônia,6,167.1426527,165.9248679,164.0120062,152.9687916,147.9254026,147.8389402,148.2734707,147.2291726,148.7086937,149.2304043,151.0568161,150.6220201,147.1434761,148.100069,149.7523991,150.0139877,148.6230944,145.8396852,144.6216299,144.0133845,143.3178014,141.926143,128.2730274
1100031,RO,58778,Amazônia,11,2948.854166,2964.607628,3100.97693,3356.174883,3463.849843,3443.240151,3452.20453,3476.733126,3468.475728,3461.856066,3431.42333,3330.688192,3085.50946,2735.847878,2626.526161,2480.889783,2156.716404,2036.899422,2091.342139,2189.679864,2154.795391,2010.538222,1694.425443
1100031,RO,58778,Amazônia,12,1134.515748,1124.59282,1060.592415,960.24165,921.2896257,905.5468992,894.1551599,922.4131733,917.1083081,900.8578021,916.5095407,942.5996234,1014.516323,1075.922927,1121.406775,1186.516711,1242.510382,1225.727615,1158.687495,1123.899074,1149.213326,1224.090872,690.2290889
1100031,RO,58778,Amazônia,29,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296,10.09660296
1100031,RO,58778,Amazônia,15,70611.99679,73229.62219,75500.19314,79171.48324,80286.79945,77777.27837,75148.66101,73968.41141,73691.49498,72690.48796,70972.71335,71032.88892,70632.06388,69245.87014,67065.65488,64142.64796,63431.88266,62673.54018,62075.09726,61400.99831,61690.96813,62707.82901,64998.63491
1100031,RO,58778,Amazônia,39,201.8965274,304.0588406,337.8563329,374.7599445,370.023727,1331.376646,2773.241795,3845.350832,4577.996052,6328.585916,8131.122339,6186.646574,4155.248042,4674.650208,8762.884037,14948.60246,17077.51117,18907.3339,19050.63158,19850.46491,21420.96889,23913.68003,24670.33642
1100031,RO,58778,Amazônia,41,391.3066311,588.0736046,713.0083082,913.1427739,1736.197437,4135.031881,5271.892217,5552.399316,5464.166987,4717.310813,4367.2424,6384.373238,8736.467382,9616.783259,7710.73887,5375.581455,5284.668342,4748.239473,5447.295598,5840.872535,4654.820652,2181.855952,1654.692157
1100031,RO,58778,Amazônia,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609163159,0.609163159
1100031,RO,58778,Amazônia,24,159.9792163,166.7644792,170.3310585,171.2009773,171.2009773,171.8969125,172.0708908,172.4188597,172.2448814,172.6798492,173.4624461,175.6372602,182.3354338,186.4236061,187.4673305,188.2502055,189.6418121,189.6418168,189.6417688,189.5548368,189.989735,189.9027472,190.5987866
1100031,RO,58778,Amazônia,33,418.5320029,421.0578189,441.3288829,447.1589552,445.6724703,443.1483579,457.241701,456.9832657,466.7171218,482.4580105,496.3782872,478.1082497,487.1598179,458.4526461,493.5063587,491.8523322,513.5988159,514.7316108,525.9546199,535.4296989,503.9370304,480.9780782,565.8689266
1100031,RO,58778,Amazônia,0,0.434676196,0.434676196,0.26080564,0.434676196,0.434676196,0.434676196,0.434676196,0.521611572,0.434676196,0.260805835,0.086935278,0.347741016,0.173870459,0.434676196,0.34774082,0.34774082,0.434676196,0.521611377,0.347741016,0.434676196,0.26080564,0.260805737,0.0
1100049,RO,58779,Amazônia,3,175534.899,171433.3715,168634.957,162281.1924,157355.6579,154111.7016,153172.7263,152111.6341,150789.7109,150919.0281,152044.3481,152110.9395,152357.9065,151636.6428,150255.7984,148657.6945,147483.407,146396.0543,145979.3524,145067.8608,143782.0179,142808.347,140033.0943
1100049,RO,58779,Amazônia,4,2835.732563,2842.75407,2694.659478,2473.997802,2371.071121,2505.295649,2528.879945,2387.81857,2385.273752,2415.692191,2384.206054,2462.586984,2808.971508,3568.657,3661.500731,3738.025581,3773.707454,3719.884966,3741.543941,3857.982513,3751.984911,3251.196563,2981.402046
1100049,RO,58779,Amazônia,6,141.3250668,136.9418187,137.7303604,135.1002823,124.5790553,117.0384546,116.0740428,113.7065725,112.6545939,112.5668575,114.144771,115.7227032,117.0371264,119.0532802,119.1410919,119.9300524,119.9298472,120.0173512,121.0689948,121.0691477,117.9133835,112.1272254,85.74018276
1100049,RO,58779,Amazônia,11,1845.672083,1869.428601,2022.261519,2183.572158,2187.949522,1911.861481,1858.990194,2021.005013,2011.800016,1999.363306,2033.477116,2000.166265,1695.599236,792.1184211,673.4033433,639.5617006,602.131596,672.6209349,652.4529215,657.7943702,650.2580059,623.7841527,520.3458278
1100049,RO,58779,Amazônia,12,1124.055102,1106.958006,1121.856503,1108.180671,1102.570347,1087.320371,1072.333154,1081.971904,1075.834726,1083.987453,1069.346384,1069.262631,1081.09641,1122.739995,1115.810568,1125.284518,1125.46016,1137.123471,1128.881243,1144.752504,1161.498737,1129.149593,215.328849
1100049,RO,58779,Amazônia,29,216.7413351,216.6537854,216.478185,216.5659779,216.1270146,215.9514834,215.8637269,215.951528,216.1271479,216.0392849,216.4781715,216.2149121,216.3024952,216.2148556,216.0394414,216.0394188,216.1271133,216.4781213,216.7413125,216.3024555,215.9514069,215.9513909,216.6530625
1100049,RO,58779,Amazônia,15,195082.8059,199137.337,201861.8469,208252.4315,213250.2154,216519.8793,217401.1815,218483.9294,219821.1856,219677.3977,218464.5018,218268.5848,217880.8185,218536.9668,219859.6055,221039.9991,221592.8202,222418.4937,222332.0627,222991.4723,224124.85,225679.427,229556.1094
1100049,RO,58779,Amazônia,39,1.578125238,1.578125238,0.789185217,0.789185217,8.154701068,12.18762081,4.734133478,2.893218695,1.753805621,0.0,0.0,0.0,9.291522913,9.291522913,14.55246785,92.56994144,255.6097943,635.4689557,629.6751978,664.3331623,976.3328476,1480.171378,1483.50206
1100049,RO,58779,Amazônia,41,4.907984686,4.820034332,11.92194186,14.81450706,17.09247055,129.649618,179.7027395,101.4145075,61.62100401,63.81046573,97.12060236,95.36913345,79.15251439,122.5410125,127.4524048,297.4307624,669.9396164,520.0978792,821.6868037,839.5598165,763.3981567,246.4218968,295.2077321
