cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1705508,Colinas do Tocantins,TO,84.79,92.6,91.83,15.22,7.4,8.18
1705557,Combinado,TO,88.46,91.44,90.47,11.54,8.56,9.54
1705607,Conceição do Tocantins,TO,53.35,67.7,70.66,46.65,32.3,29.35
1706001,Couto Magalhães,TO,45.37,49.75,56.69,54.63,50.24,43.3
1706100,Cristalândia,TO,81.67,78.72,76.04,18.33,21.27,23.96
1706258,Crixás do Tocantins,TO,44.77,49.18,48.82,55.23,50.82,51.18
1706506,Darcinópolis,TO,53.99,70.24,75.98,46.01,29.75,24.02
1707009,Dianópolis,TO,80.43,86.34,85.85,19.57,13.67,14.15
1707108,Divinópolis do Tocantins,TO,51.39,66.31,59.93,48.61,33.68,40.07
1707207,Dois Irmãos do Tocantins,TO,31.91,40.04,46.77,68.09,59.94,53.23
1707306,Dueré,TO,55.62,60.58,63.04,44.38,39.42,36.96
1707405,Esperantina,TO,63.64,73.8,62.49,36.36,26.2,37.5
1707553,Fátima,TO,65.77,69.86,70.18,34.23,30.14,29.81
1707652,Figueirópolis,TO,59.11,59.23,63.45,40.89,40.78,36.55
1707702,Filadélfia,TO,50.56,62.27,63.65,49.44,37.74,36.35
1708205,Formoso do Araguaia,TO,27.75,57.71,64.21,72.25,42.28,35.79
1708254,Tabocão,TO,65.92,82.41,79.13,34.09,17.6,20.87
1708304,Goianorte,TO,18.92,38.86,38.32,81.09,61.15,61.68
1709005,Goiatins,TO,51.48,63.08,73.32,48.52,36.93,26.68
1709302,Guaraí,TO,84.03,88.33,88.27,15.97,11.66,11.73
1709500,Gurupi,TO,65.23,84.47,89.87,34.77,15.53,10.12
1709807,Ipueiras,TO,36.53,69.69,57.02,63.47,30.31,42.98
1710508,Itacajá,TO,59.16,73.09,75.15,40.84,26.91,24.85
1710706,Itaguatins,TO,52.07,70.62,57.75,47.93,29.38,42.25
1710904,Itapiratins,TO,9.95,35.95,24.49,90.05,64.04,75.51
1711100,Itaporã do Tocantins,TO,15.72,58.98,62.29,84.27,41.02,37.71
1711506,Jaú do Tocantins,TO,43.28,51.27,52.71,56.72,48.73,47.3
1711803,Juarina,TO,37.72,46.31,48.71,62.28,53.69,51.29
1711902,Lagoa da Confusão,TO,42.74,49.3,67.33,57.27,50.7,32.66
1711951,Lagoa do Tocantins,TO,63.49,73.53,70.6,36.51,26.47,29.4
1712009,Lajeado,TO,66.01,68.16,69.16,33.98,31.83,30.84
1712157,Lavandeira,TO,50.52,60.61,64.68,49.48,39.39,35.32
1712405,Lizarda,TO,39.85,59.57,71.23,60.14,40.43,28.77
1712454,Luzinópolis,TO,75.4,78.54,76.55,24.6,21.46,23.45
1712504,Marianópolis do Tocantins,TO,50.11,63.18,64.99,49.89,36.82,35.01
1712702,Mateiros,TO,39.88,64.39,57.21,60.12,35.61,42.79
1712801,Maurilândia do Tocantins,TO,52.92,62.71,68.34,47.08,37.3,31.66
1713205,Miracema do Tocantins,TO,80.24,84.8,81.71,19.76,15.21,18.28
1713304,Miranorte,TO,81.09,85.91,89.31,18.91,14.09,10.68
1713601,Monte do Carmo,TO,45.02,43.02,50.23,54.98,56.97,49.77
1713700,Monte Santo do Tocantins,TO,30.83,47.96,50.68,69.17,52.04,49.32
1713809,Palmeiras do Tocantins,TO,55.86,57.06,73.99,44.14,42.95,26.01
1713957,Muricilândia,TO,51.01,57.6,57.56,48.99,42.4,42.45
1714203,Natividade,TO,63.86,76.7,81.31,36.14,23.31,18.69
1714302,Nazaré,TO,80.14,89.62,83.74,19.86,10.39,16.26
1714880,Nova Olinda,TO,59.47,69.55,74.21,40.53,30.45,25.79
1715002,Nova Rosalândia,TO,46.82,60.76,60.67,53.17,39.25,39.33
1715101,Novo Acordo,TO,67.92,80.0,82.33,32.08,20.0,17.67
1715150,Novo Alegre,TO,80.04,79.54,76.46,19.97,20.47,23.53
1715259,Novo Jardim,TO,71.62,81.04,81.39,28.38,18.96,18.61
1715507,Oliveira de Fátima,TO,69.61,69.59,82.91,30.39,30.4,17.08
1715705,Palmeirante,TO,31.56,37.32,48.11,68.44,62.68,51.89
1715754,Palmeirópolis,TO,71.27,76.21,81.09,28.73,23.8,18.91
1716109,Paraíso do Tocantins,TO,72.03,86.87,91.43,27.97,13.14,8.57
1716208,Paranã,TO,29.32,47.22,55.4,70.68,52.78,44.61
1716307,Pau D'Arco,TO,52.76,61.62,73.54,47.24,38.38,26.46
1716505,Pedro Afonso,TO,82.0,88.91,91.47,18.0,11.09,8.52
1716604,Peixe,TO,51.55,59.14,58.54,48.45,40.86,41.46
1716653,Pequizeiro,TO,41.77,47.89,51.41,58.23,52.13,48.59
1716703,Colméia,TO,46.95,67.3,69.06,53.04,32.7,30.95
1717008,Pindorama do Tocantins,TO,53.4,66.01,63.76,46.6,33.99,36.24
1717206,Piraquê,TO,45.08,34.18,44.89,54.92,65.83,55.11
1717503,Pium,TO,38.46,56.16,60.66,61.54,43.83,39.35
1717800,Ponte Alta do Bom Jesus,TO,53.98,53.87,58.35,46.03,46.14,41.64
1717909,Ponte Alta do Tocantins,TO,48.67,62.72,66.49,51.33,37.28,33.51
1718006,Porto Alegre do Tocantins,TO,54.09,69.47,73.97,45.91,30.54,26.03
1718204,Porto Nacional,TO,79.43,82.46,85.85,20.57,17.55,14.15
1718303,Praia Norte,TO,65.44,89.59,84.56,34.56,10.4,15.44
1718402,Presidente Kennedy,TO,55.89,73.51,70.17,44.11,26.49,29.83
1718451,Pugmil,TO,52.24,70.93,69.04,47.76,29.07,30.96
1718501,Recursolândia,TO,37.88,54.37,54.94,62.12,45.62,45.06
1718550,Riachinho,TO,43.07,63.04,63.46,56.93,36.96,36.54
1718659,Rio da Conceição,TO,62.81,83.66,81.69,37.19,16.35,18.31
1718709,Rio dos Bois,TO,44.52,57.69,56.09,55.48,42.32,43.91
1718758,Rio Sono,TO,38.06,51.07,60.28,61.93,48.92,39.72
1718808,Sampaio,TO,71.43,91.78,82.7,28.58,8.22,17.31
1718840,Sandolândia,TO,6.8,35.89,46.22,93.2,64.11,53.78
1718865,Santa Fé do Araguaia,TO,55.0,73.82,76.12,45.01,26.18,23.88
1718881,Santa Maria do Tocantins,TO,39.44,57.84,66.05,60.56,42.16,33.95
1718899,Santa Rita do Tocantins,TO,20.77,34.68,35.13,79.23,65.32,64.87
1718907,Santa Rosa do Tocantins,TO,14.88,36.22,46.36,85.12,63.78,53.64
1719004,Santa Tereza do Tocantins,TO,64.78,70.95,73.86,35.21,29.05,26.15
1720002,Santa Terezinha do Tocantins,TO,68.0,81.26,79.14,32.0,18.73,20.86
1720101,São Bento do Tocantins,TO,42.23,63.89,68.27,57.77,36.11,31.73
1720150,São Félix do Tocantins,TO,55.19,72.17,67.88,44.81,27.82,32.12
1720200,São Miguel do Tocantins,TO,37.85,62.72,69.74,62.16,37.29,30.26
1720259,São Salvador do Tocantins,TO,36.98,67.8,61.77,63.02,32.21,38.23
1720309,São Sebastião do Tocantins,TO,72.42,78.22,91.82,27.58,21.78,8.18
1720499,São Valério,TO,45.07,57.32,56.11,54.93,42.67,43.9
1720655,Silvanópolis,TO,35.0,56.98,56.19,65.0,43.03,43.81
1720804,Sítio Novo do Tocantins,TO,48.37,76.61,78.34,51.63,23.38,21.65
1720853,Sucupira,TO,34.07,44.83,59.73,65.93,55.17,40.27
1720903,Taguatinga,TO,66.8,73.55,73.36,33.2,26.46,26.64
1720937,Taipas do Tocantins,TO,65.38,75.8,80.74,34.62,24.21,19.26
1720978,Talismã,TO,48.09,53.75,62.12,51.91,46.25,37.88
1721000,Palmas,TO,92.61,95.52,94.32,7.39,4.47,5.68
1721109,Tocantínia,TO,38.02,57.74,66.65,61.98,42.26,33.35
1721208,Tocantinópolis,TO,86.51,91.0,87.23,13.5,9.0,12.77
1721257,Tupirama,TO,38.11,57.11,65.5,61.89,42.89,34.5
1721307,Tupiratins,TO,41.47,50.0,58.26,58.53,50.0,41.74
1722081,Wanderlândia,TO,58.67,71.58,80.77,41.33,28.42,19.23
1722107,Xambioá,TO,56.68,75.64,81.23,43.32,24.36,18.77
2100055,Açailândia,MA,70.5,84.4,91.99,29.5,15.59,8.01
2100204,Alcântara,MA,42.74,57.54,45.85,57.26,42.45,54.15
2100402,Altamira do Maranhão,MA,18.46,68.5,68.46,81.54,31.5,31.53
2100436,Alto Alegre do Maranhão,MA,38.57,74.94,78.97,61.43,25.07,21.03
2100477,Alto Alegre do Pindaré,MA,38.46,82.08,78.32,61.54,17.92,21.68
2100501,Alto Parnaíba,MA,55.61,64.61,73.13,44.4,35.4,26.87
2100550,Amapá do Maranhão,MA,1.03,50.57,75.41,98.97,49.44,24.6
2100600,Amarante do Maranhão,MA,39.95,62.83,70.85,60.05,37.17,29.14
2100709,Anajatuba,MA,26.94,60.88,53.17,73.05,39.12,46.83
2100832,Apicum-Açu,MA,38.33,73.3,90.82,61.67,26.71,9.18
2100873,Araguanã,TO,22.65,75.66,70.23,77.35,24.34,29.77
2100956,Arame,MA,22.5,54.26,56.29,77.5,45.74,43.71
2101004,Arari,MA,56.72,65.17,62.39,43.27,34.83,37.61
2101103,Axixá,MA,16.41,64.79,53.08,83.59,35.21,46.92
2101202,Bacabal,MA,66.47,85.61,81.41,33.53,14.39,18.59
2101251,Bacabeira,MA,50.64,66.83,85.95,49.36,33.16,14.04
2101301,Bacuri,MA,36.98,61.66,83.38,63.02,38.35,16.62
2101350,Bacurituba,MA,6.2,55.62,76.12,93.8,44.38,23.88
2101400,Balsas,MA,54.98,69.16,79.3,45.02,30.84,20.7
2101608,Barra do Corda,MA,64.89,69.26,57.64,35.12,30.74,42.36
2101772,Bela Vista do Maranhão,MA,71.45,87.64,90.92,28.55,12.35,9.08
2101806,Benedito Leite,MA,63.02,73.78,84.28,36.98,26.21,15.72
2101905,Bequimão,MA,9.12,30.21,41.15,90.88,69.79,58.84
2101939,Bernardo do Mearim,MA,0.0,55.35,53.85,100.0,44.65,46.14
2101970,Boa Vista do Gurupi,MA,0.0,33.13,38.82,100.0,66.87,61.19
2102002,Bom Jardim,MA,51.82,65.51,71.48,48.18,34.49,28.52
2102036,Bom Jesus das Selvas,MA,42.59,57.3,75.53,57.41,42.71,24.47
2102077,Bom Lugar,MA,20.03,49.83,50.76,79.96,50.17,49.24
2102150,Brejo de Areia,MA,0.44,31.63,73.24,99.55,68.38,26.76
2102309,Buriti Bravo,MA,48.58,67.91,78.95,51.41,32.09,21.05
2102325,Buriticupu,MA,47.37,61.8,67.7,52.64,38.19,32.31
2102358,Buritirana,MA,32.42,80.58,81.46,67.58,19.41,18.54
2102374,Cachoeira Grande,MA,0.81,14.63,15.29,99.19,85.38,84.71
2102408,Cajapió,MA,14.85,48.07,74.34,85.14,51.93,25.66
2102507,Cajari,MA,13.25,21.56,31.55,86.75,78.43,68.45
2102556,Campestre do Maranhão,MA,81.36,91.47,90.88,18.64,8.53,9.13
2102606,Cândido Mendes,MA,11.11,39.39,38.01,88.89,60.61,61.98
2102705,Cantanhede,MA,49.04,57.1,54.45,50.97,42.9,45.54
2102754,Capinzal do Norte,MA,47.52,75.31,82.84,52.48,24.68,17.15
2102804,Carolina,MA,59.4,70.82,72.51,40.6,29.18,27.49
2102903,Carutapera,MA,25.44,42.25,34.08,74.56,57.75,65.91
2103109,Cedral,MA,62.31,89.18,98.35,37.7,10.82,1.65
2103125,Central do Maranhão,MA,0.13,63.16,70.95,99.87,36.85,29.05
2103158,Centro do Guilherme,MA,4.56,47.4,73.71,95.44,52.61,26.28
2103174,Centro Novo do Maranhão,MA,2.22,23.64,27.42,97.78,76.36,72.58
2103257,Cidelândia,MA,47.37,78.66,79.51,52.63,21.35,20.49
2103307,Codó,MA,66.83,77.6,79.12,33.17,22.41,20.88
2103505,Colinas,MA,30.7,59.03,74.17,69.3,40.96,25.83
2103554,Conceição do Lago-Açu,MA,48.64,49.78,78.68,51.36,50.23,21.32
2103604,Coroatá,MA,58.86,80.11,73.15,41.14,19.9,26.85
2103703,Cururupu,MA,34.67,62.85,75.81,65.33,37.15,24.2
2103752,Davinópolis,MA,57.72,85.47,93.67,42.28,14.53,6.33
2103802,Dom Pedro,MA,50.57,87.7,77.75,49.43,12.3,22.25
2104008,Esperantinópolis,MA,54.15,75.17,82.74,45.85,24.83,17.26
2104057,Estreito,MA,71.72,83.1,74.43,28.28,16.9,25.57
2104073,Feira Nova do Maranhão,MA,6.63,39.2,41.99,93.38,60.78,58.01
2104081,Fernando Falcão,MA,0.1,43.01,72.11,99.9,56.98,27.88
2104099,Formosa da Serra Negra,MA,9.43,40.08,44.34,90.57,59.93,55.66
2104107,Fortaleza dos Nogueiras,MA,42.74,53.61,55.87,57.26,46.39,44.14
2104206,Fortuna,MA,66.29,70.91,88.16,33.7,29.1,11.84
2104305,Godofredo Viana,MA,31.12,53.9,83.66,68.88,46.1,16.34
2104404,Gonçalves Dias,MA,44.78,78.96,70.24,55.22,21.04,29.76
2104503,Governador Archer,MA,48.46,84.4,91.78,51.54,15.6,8.23
2104552,Governador Edison Lobão,MA,60.87,77.08,84.55,39.13,22.92,15.45
2104602,Governador Eugênio Barros,MA,52.6,87.94,89.05,47.4,12.06,10.95
2104628,Governador Luiz Rocha,MA,69.43,92.28,94.19,30.58,7.71,5.81
2104651,Governador Newton Bello,MA,23.92,53.9,57.7,76.08,46.11,42.3
2104677,Governador Nunes Freire,MA,2.92,47.81,64.58,97.07,52.19,35.42
2104701,Graça Aranha,MA,48.66,91.17,95.85,51.35,8.83,4.15
2104800,Grajaú,MA,59.36,72.07,72.99,40.64,27.93,27.01
2104909,Guimarães,MA,52.96,78.41,70.31,47.04,21.58,29.69
2105104,Icatu,MA,7.57,41.38,29.46,92.43,58.61,70.54
2105153,Igarapé do Meio,MA,56.37,87.9,85.07,43.63,12.1,14.93
2105203,Igarapé Grande,MA,40.46,59.54,59.78,59.54,40.46,40.22
2105302,Imperatriz,MA,89.06,90.68,85.98,10.94,9.32,14.02
2105351,Itaipava do Grajaú,MA,1.72,76.68,79.14,98.27,23.33,20.86
2105401,Itapecuru Mirim,MA,52.99,60.95,59.23,47.01,39.06,40.77
2105427,Itinga do Maranhão,MA,79.1,84.37,85.65,20.9,15.64,14.35
2105450,Jatobá,MA,79.43,92.66,62.02,20.57,7.35,37.98
2105476,Jenipapo dos Vieiras,MA,20.13,67.04,44.31,79.86,32.95,55.69
2105500,João Lisboa,MA,65.17,84.84,82.91,34.83,15.17,17.09
2105609,Joselândia,MA,42.09,85.31,47.83,57.91,14.71,52.18
2105658,Junco do Maranhão,MA,0.09,67.14,42.7,99.91,32.86,57.31
2105708,Lago da Pedra,MA,12.47,20.14,27.59,87.53,79.86,72.41
2105807,Lago do Junco,MA,26.27,46.55,51.31,73.73,53.45,48.69
2105906,Lago Verde,MA,14.78,51.76,57.06,85.22,48.24,42.94
2105948,Lago dos Rodrigues,MA,15.64,65.31,42.32,84.36,34.69,57.68
2105963,Lagoa Grande do Maranhão,MA,1.84,61.02,79.98,98.15,38.99,20.02
2105989,Lajeado Novo,MA,43.58,63.13,64.65,56.42,36.87,35.36
2106003,Lima Campos,MA,52.83,77.01,76.17,47.17,23.0,23.83
2106102,Loreto,MA,38.61,58.61,60.57,61.39,41.39,39.43
2106201,Luís Domingues,MA,51.84,56.14,40.76,48.16,43.86,59.24
2106326,Maracaçumé,MA,17.04,31.61,33.7,82.96,68.4,66.3
2106359,Marajá do Sena,MA,0.79,10.01,12.36,99.21,89.99,87.65
2106375,Maranhãozinho,MA,26.69,50.79,50.51,73.3,49.2,49.49
2106508,Matinha,MA,32.97,40.57,40.53,67.03,59.43,59.47
2106631,Matões do Norte,MA,25.45,38.75,48.86,74.55,61.25,51.14
2106706,Mirador,MA,38.43,43.37,54.34,61.57,56.62,45.66
2106755,Miranda do Norte,MA,61.47,74.9,63.88,38.53,25.11,36.12
2106805,Mirinzal,MA,22.96,60.21,64.22,77.04,39.8,35.78
2106904,Monção,MA,36.1,67.22,64.61,63.9,32.77,35.39
2107001,Montes Altos,MA,52.12,60.26,68.63,47.88,39.73,31.38
2107100,Morros,MA,30.11,33.75,32.54,69.9,66.26,67.46
2107258,Nova Colinas,MA,47.49,53.28,57.64,52.5,46.72,42.37
2107308,Nova Iorque,MA,53.88,56.17,51.12,46.12,43.84,48.88
2107357,Nova Olinda do Maranhão,MA,21.02,36.09,35.05,78.98,63.92,64.96
2107407,Olho d'Água das Cunhãs,MA,36.82,43.39,62.49,63.18,56.61,37.51
2107456,Olinda Nova do Maranhão,MA,18.69,52.68,54.7,81.31,47.31,45.3
2107506,Paço do Lumiar,MA,59.59,64.34,77.8,40.4,35.66,22.2
2107605,Palmeirândia,MA,29.91,63.01,58.14,70.09,36.99,41.86
2107704,Paraibano,MA,75.57,68.15,70.0,24.43,31.85,30.01
2108009,Pastos Bons,MA,54.66,79.8,70.92,45.33,20.2,29.07
2108108,Paulo Ramos,MA,18.53,28.87,27.7,81.47,71.12,72.31
2108207,Pedreiras,MA,77.26,82.05,84.51,22.74,17.96,15.48
2108256,Pedro do Rosário,MA,3.16,8.96,20.29,96.84,91.05,79.71
2108306,Penalva,MA,31.76,45.96,40.56,68.24,54.03,59.45
2108405,Peri Mirim,MA,11.79,33.35,38.92,88.21,66.64,61.08
2108454,Peritoró,MA,29.03,48.72,57.31,70.97,51.28,42.69
2108504,Pindaré-Mirim,MA,85.23,83.84,66.58,14.77,16.15,33.42
2108603,Pinheiro,MA,29.28,39.95,34.68,70.71,60.05,65.32
2108702,Pio XII,MA,50.58,75.24,58.52,49.42,24.78,41.48
2108801,Pirapemas,MA,50.58,54.67,49.52,49.43,45.34,50.48
2108900,Poção de Pedras,MA,15.75,45.58,43.7,84.25,54.41,56.3
2109007,Porto Franco,MA,71.91,80.53,85.35,28.09,19.47,14.66
2109056,Porto Rico do Maranhão,MA,68.24,91.15,89.75,31.75,8.85,10.25
2109106,Presidente Dutra,MA,78.3,82.68,79.14,21.7,17.31,20.86
2109205,Presidente Juscelino,MA,28.41,30.53,35.08,71.58,69.47,64.91
2109239,Presidente Médici,RO,31.44,34.41,50.1,68.56,65.6,49.91
2109270,Presidente Sarney,MA,0.18,26.79,32.21,99.82,73.21,67.8
2109304,Presidente Vargas,MA,29.88,31.34,25.97,70.12,68.66,74.03
2109452,Raposa,MA,71.01,78.5,86.15,28.99,21.51,13.86
2109502,Riachão,MA,48.53,58.14,58.12,51.47,41.86,41.88
2109551,Ribamar Fiquene,MA,31.97,55.96,68.56,68.03,44.04,31.44
2109601,Rosário,MA,66.88,60.51,54.35,33.11,39.49,45.65
2109700,Sambaíba,MA,38.86,40.18,37.28,61.14,59.83,62.71
2109759,Santa Filomena do Maranhão,MA,66.67,88.93,94.9,33.33,11.07,5.1
2109809,Santa Helena,MA,5.07,9.56,21.61,94.93,90.45,78.39
2109908,Santa Inês,MA,84.73,94.74,85.43,15.27,5.26,14.56
2110005,Santa Luzia,MA,48.47,65.74,67.62,51.53,34.25,32.39
2110039,Santa Luzia do Paruá,MA,27.12,64.39,55.33,72.88,35.61,44.67
2110203,Santa Rita,MA,45.56,60.89,46.35,54.44,39.1,53.64
2110302,Santo Antônio dos Lopes,MA,34.96,65.01,77.8,65.04,35.0,22.21
2110500,São Bento,MA,43.11,56.6,60.18,56.89,43.39,39.82
2110658,São Domingos do Azeitão,MA,42.05,55.75,67.99,57.95,44.25,32.02
2110708,São Domingos do Maranhão,MA,74.86,86.95,81.85,25.14,13.05,18.16
2110807,São Félix de Balsas,MA,21.49,7.34,37.95,78.52,92.66,62.05
2110856,São Francisco do Brejão,MA,70.43,64.59,70.85,29.58,35.41,29.15
2111003,São João Batista,MA,8.31,39.3,43.47,91.68,60.7,56.53
2111029,São João do Carú,MA,19.86,55.19,78.56,80.15,44.81,21.44
2111052,São João do Paraíso,MA,41.25,61.48,65.14,58.75,38.52,34.86
2111078,São João do Soter,MA,17.88,72.18,75.5,82.11,27.82,24.5
2111201,São José de Ribamar,MA,68.66,65.1,75.63,31.34,34.9,24.37
2111250,São José dos Basílios,MA,32.49,88.87,91.65,67.51,11.14,8.35
2111300,São Luís,MA,78.76,76.36,68.08,21.24,23.65,31.91
2111409,São Luís Gonzaga do Maranhão,MA,25.6,59.22,62.37,74.41,40.78,37.62
2111508,São Mateus do Maranhão,MA,41.36,49.06,52.23,58.64,50.94,47.77
2111532,São Pedro da Água Branca,MA,23.24,81.27,82.65,76.76,18.72,17.36
2111573,São Pedro dos Crentes,MA,39.83,59.82,60.27,60.17,40.17,39.73
2111607,São Raimundo das Mangabeiras,MA,53.74,69.92,69.04,46.26,30.08,30.96
2111631,São Raimundo do Doca Bezerra,MA,13.7,64.04,84.33,86.3,35.95,15.67
2111672,São Roberto,MA,45.71,61.55,77.88,54.28,38.45,22.13
2111706,São Vicente Ferrer,MA,16.89,23.95,42.66,83.11,76.05,57.34
2111722,Satubinha,MA,27.24,77.53,81.92,72.76,22.47,18.09
2111748,Senador Alexandre Costa,MA,12.23,48.04,70.47,87.77,51.95,29.54
2111763,Senador La Rocque,MA,61.95,86.43,84.78,38.05,13.56,15.22
2111789,Serrano do Maranhão,MA,20.4,58.52,70.04,79.6,41.48,29.96
2111805,Sítio Novo,MA,34.76,48.69,49.47,65.24,51.31,50.53
2111904,Sucupira do Norte,MA,36.13,67.81,68.08,63.86,32.2,31.91
2112001,Tasso Fragoso,MA,43.2,70.82,78.47,56.8,29.18,21.53
2112100,Timbiras,MA,40.14,50.83,52.12,59.86,49.17,47.88
2112233,Trizidela do Vale,MA,81.72,82.63,83.43,18.28,17.36,16.57
2112274,Tufilândia,MA,76.37,92.13,78.94,23.63,7.87,21.06
2112308,Tuntum,MA,60.59,82.33,79.0,39.42,17.66,21.0
2112407,Turiaçu,MA,17.76,20.03,36.57,82.24,79.96,63.43
2112456,Turilândia,MA,1.75,28.9,31.19,98.25,71.11,68.81
2112704,Vargem Grande,MA,39.06,41.32,41.31,60.94,58.68,58.68
2112803,Viana,MA,29.05,36.25,29.14,70.95,63.75,70.86
2112852,Vila Nova dos Martírios,MA,63.29,65.2,75.21,36.72,34.79,24.79
2112902,Vitória do Mearim,MA,53.93,81.32,74.53,46.07,18.67,25.47
2113009,Vitorino Freire,MA,27.15,44.62,51.8,72.85,55.38,48.2
2114007,Zé Doca,MA,30.57,54.96,58.9,69.42,45.04,41.1
5100102,Acorizal,MT,57.64,70.02,66.72,42.36,29.98,33.28
5100201,Água Boa,MT,66.54,75.97,82.95,33.45,24.02,17.05
5100250,Alta Floresta,MT,28.91,60.77,72.68,71.09,39.23,27.32
5100300,Alto Araguaia,MT,78.17,85.39,86.47,21.83,14.62,13.53
5100359,Alto Boa Vista,MT,18.79,40.29,69.33,81.21,59.71,30.66
5100409,Alto Garças,MT,78.44,84.8,90.49,21.56,15.21,9.51
5100508,Alto Paraguai,MT,73.01,62.65,71.09,26.99,37.35,28.92
5100607,Alto Taquari,MT,76.84,89.76,94.86,23.17,10.24,5.13
5100805,Apiacás,MT,0.46,38.6,47.38,99.54,61.4,52.62
5101001,Araguaiana,MT,44.81,59.71,69.32,55.18,40.29,30.68
5101209,Araguainha,MT,81.98,85.27,87.75,18.01,14.73,12.26
5101258,Araputanga,MT,74.65,80.77,86.45,25.35,19.22,13.55
5101308,Arenápolis,MT,66.99,75.44,85.07,33.0,24.57,14.92
5101407,Aripuanã,MT,27.98,60.24,57.99,72.02,39.76,42.01
5101605,Barão de Melgaço,MT,44.7,46.71,37.78,55.3,53.29,62.23
5101704,Barra do Bugres,MT,55.54,76.61,86.37,44.46,23.38,13.63
5101803,Barra do Garças,MT,87.95,90.17,93.6,12.05,9.83,6.4
5101852,Bom Jesus do Araguaia,MT,0.0,1.43,3.35,0.0,98.58,96.64
5101902,Brasnorte,MT,46.02,61.39,64.23,53.98,38.61,35.76
5102504,Cáceres,MT,56.75,73.08,77.7,43.25,26.93,22.3
5102603,Campinápolis,MT,38.93,44.12,53.06,61.07,55.87,46.94
5102637,Campo Novo do Parecis,MT,84.3,92.4,93.83,15.71,7.59,6.18
5102678,Campo Verde,MT,74.93,78.23,88.1,25.07,21.77,11.91
5102686,Campos de Júlio,MT,64.13,79.19,75.4,35.88,20.82,24.6
5102694,Canabrava do Norte,MT,3.45,19.19,15.44,96.55,80.81,84.56
5102702,Canarana,MT,29.08,69.32,83.25,70.92,30.69,16.75
5102793,Carlinda,MT,16.44,38.95,50.29,83.57,61.05,49.71
5102850,Castanheira,MT,43.31,47.83,51.51,56.69,52.18,48.5
5103007,Chapada dos Guimarães,MT,54.59,63.16,67.25,45.41,36.83,32.74
5103056,Cláudia,MT,74.39,76.47,72.84,25.61,23.53,27.16
5103106,Cocalinho,MT,31.37,39.25,52.15,68.63,60.76,47.84
5103205,Colíder,MT,53.09,70.47,69.78,46.91,29.53,30.22
5103254,Colniza,MT,0.0,22.3,23.78,0.0,77.69,76.23
5103304,Comodoro,MT,57.12,69.08,70.89,42.88,30.91,29.11
5103353,Confresa,MT,1.06,30.76,50.07,98.93,69.23,49.94
5103361,Conquista D'Oeste,MT,0.0,67.39,72.97,0.0,32.61,27.02
5103379,Cotriguaçu,MT,2.79,7.21,6.8,97.21,92.79,93.2
5103403,Cuiabá,MT,91.43,93.61,94.32,8.57,6.39,5.68
5103437,Curvelândia,MT,0.0,31.59,27.3,0.0,68.41,72.7
5103452,Denise,MT,51.47,81.35,88.02,48.53,18.66,11.98
5103502,Diamantino,MT,66.19,74.98,81.62,33.81,25.02,18.37
5103601,Dom Aquino,MT,78.53,81.32,81.0,21.48,18.69,19.0
5103700,Feliz Natal,MT,35.87,66.94,73.37,64.13,33.06,26.62
5103809,Figueirópolis D'Oeste,MT,38.31,54.06,60.53,61.68,45.94,39.47
5103858,Gaúcha do Norte,MT,48.07,52.54,69.14,51.93,47.47,30.86
5103908,General Carneiro,MT,60.71,59.42,53.93,39.29,40.57,46.07
5103957,Glória D'Oeste,MT,25.13,53.35,59.75,74.87,46.66,40.25
5104104,Guarantã do Norte,MT,14.02,66.21,74.09,85.97,33.79,25.91
5104203,Guiratinga,MT,88.45,76.63,83.1,11.54,23.36,16.9
5104500,Indiavaí,MT,54.1,79.52,63.32,45.9,20.48,36.68
5104526,Ipiranga do Norte,MT,0.0,66.52,71.48,0.0,33.48,28.52
5104542,Itanhangá,MT,0.0,70.13,71.59,0.0,29.87,28.41
5104559,Itaúba,MT,58.04,81.07,83.34,41.96,18.94,16.66
5104609,Itiquira,MT,66.57,73.88,73.4,33.43,26.13,26.6
5104807,Jaciara,MT,88.82,90.89,91.41,11.18,9.11,8.59
5104906,Jangada,MT,52.78,44.74,76.26,47.22,55.27,23.74
5105002,Jauru,MT,32.27,57.73,63.73,67.74,42.26,36.27
5105101,Juara,MT,52.45,71.59,73.57,47.56,28.41,26.43
5105150,Juína,MT,22.5,33.98,59.46,77.49,66.01,40.54
5105176,Juruena,MT,37.76,46.2,65.27,62.23,53.81,34.73
5105200,Juscimeira,MT,67.56,76.14,70.9,32.44,23.86,29.1
5105234,Lambari D'Oeste,MT,41.35,57.13,66.22,58.65,42.86,33.78
5105259,Lucas do Rio Verde,MT,78.08,91.27,94.61,21.92,8.74,5.38
5105309,Luciara,MT,67.28,82.47,77.22,32.72,17.52,22.78
5105507,Vila Bela da Santíssima Trindade,MT,18.66,20.35,33.35,81.34,79.65,66.64
5105580,Marcelândia,MT,48.78,62.71,73.89,51.22,37.29,26.11
5105606,Matupá,MT,41.61,65.74,74.09,58.39,34.26,25.92
5105622,Mirassol d'Oeste,MT,36.18,59.17,66.24,63.81,40.84,33.77
5105903,Nobres,MT,72.42,77.76,86.74,27.58,22.23,13.27
