cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1300201,Atalaia do Norte,AM,37.91,35.91,43.63,62.08,64.09,56.37
1300300,Autazes,AM,15.85,20.27,25.46,84.14,79.72,74.54
1300409,Barcelos,AM,34.02,49.45,54.97,65.98,50.55,45.03
1300508,Barreirinha,AM,36.43,54.23,60.93,63.57,45.77,39.07
1300607,Benjamin Constant,AM,46.22,52.1,62.44,53.78,47.9,37.56
1300631,Beruri,AM,40.42,52.91,53.56,59.59,47.09,46.44
1300680,Boa Vista do Ramos,AM,49.06,56.17,56.6,50.94,43.83,43.41
1300706,Boca do Acre,AM,44.2,55.64,46.41,55.8,44.34,53.59
1300805,Borba,AM,28.28,51.2,61.34,71.72,48.82,38.65
1300839,Caapiranga,AM,29.59,19.61,30.47,70.4,80.38,69.53
1300904,Canutama,AM,46.54,47.38,50.44,53.46,52.61,49.56
1301001,Carauari,AM,62.56,63.61,73.91,37.44,36.4,26.09
1301100,Careiro,AM,23.24,36.42,42.85,76.76,63.59,57.15
1301159,Careiro da Várzea,AM,6.99,11.25,19.26,93.01,88.75,80.74
1301209,Coari,AM,29.03,26.76,18.44,70.97,73.25,81.56
1301308,Codajás,AM,58.37,59.47,57.82,41.63,40.53,42.18
1301407,Eirunepé,AM,19.56,44.8,40.84,80.44,55.2,59.17
1301506,Envira,AM,10.03,23.85,16.77,89.96,76.14,83.23
1301605,Fonte Boa,AM,36.22,67.21,70.89,63.79,32.81,29.11
1301654,Guajará,AM,10.41,33.88,37.64,89.59,66.12,62.36
1301704,Humaitá,AM,70.58,71.03,73.64,29.41,28.96,26.36
1301803,Ipixuna,AM,16.12,39.18,63.3,83.88,60.82,36.71
1301852,Iranduba,AM,44.47,61.75,50.63,55.53,38.25,49.37
1301902,Itacoatiara,AM,64.18,73.35,70.41,35.82,26.66,29.59
1301951,Itamarati,AM,24.45,36.56,36.18,75.55,63.45,63.82
1302009,Itapiranga,AM,68.49,76.54,65.56,31.51,23.46,34.43
1302108,Japurá,AM,28.14,47.04,58.85,71.86,52.96,41.16
1302207,Juruá,AM,34.03,45.62,61.72,65.97,54.39,38.27
1302306,Jutaí,AM,28.04,62.91,72.09,71.96,37.09,27.91
1302405,Lábrea,AM,33.63,23.99,14.63,66.37,76.0,85.37
1302504,Manacapuru,AM,50.56,55.57,52.41,49.44,44.43,47.58
1302553,Manaquiri,AM,31.87,35.15,38.88,68.14,64.84,61.12
1302603,Manaus,AM,74.44,75.49,76.24,25.56,24.51,23.76
1302702,Manicoré,AM,18.32,35.6,45.67,81.67,64.39,54.33
1302801,Maraã,AM,15.29,48.8,50.35,84.71,51.2,49.65
1302900,Maués,AM,53.31,51.96,54.52,46.69,48.04,45.49
1303007,Nhamundá,AM,45.13,45.75,63.5,54.87,54.26,36.5
1303106,Nova Olinda do Norte,AM,34.69,46.5,52.95,65.31,53.51,47.06
1303205,Novo Airão,AM,63.82,54.54,69.27,36.18,45.47,30.73
1303304,Novo Aripuanã,AM,23.46,24.79,39.52,76.54,75.21,60.48
1303403,Parintins,AM,64.23,72.14,82.57,35.77,27.85,17.43
1303502,Pauini,AM,20.62,44.18,1.01,79.38,55.81,98.99
1303536,Presidente Figueiredo,AM,65.13,57.89,56.92,34.87,42.11,43.08
1303569,Rio Preto da Eva,AM,25.75,46.7,47.0,74.25,53.28,53.0
1303601,Santa Isabel do Rio Negro,AM,29.44,44.24,43.36,70.56,55.77,56.64
1303700,Santo Antônio do Içá,AM,17.85,44.09,18.47,82.15,55.91,81.53
1303809,São Gabriel da Cachoeira,AM,26.2,31.19,23.78,73.8,68.81,76.22
1303908,São Paulo de Olivença,AM,26.73,37.52,42.9,73.28,62.47,57.1
1303957,São Sebastião do Uatumã,AM,74.6,67.2,80.83,25.4,32.8,19.17
1304005,Silves,AM,43.3,48.85,54.73,56.7,51.16,45.28
1304062,Tabatinga,AM,26.84,40.78,45.93,73.15,59.22,54.07
1304104,Tapauá,AM,32.69,45.22,53.59,67.31,54.79,46.41
1304203,Tefé,AM,65.73,74.27,72.26,34.27,25.73,27.74
1304237,Tonantins,AM,28.54,13.02,20.5,71.46,86.97,79.5
1304260,Uarini,AM,35.99,60.08,68.79,64.01,39.93,31.2
1304302,Urucará,AM,66.12,77.57,75.44,33.87,22.44,24.56
1304401,Urucurituba,AM,47.53,63.49,65.47,52.48,36.5,34.52
1400027,Amajari,RR,20.52,36.72,47.93,79.48,63.28,52.07
1400050,Alto Alegre,RR,38.23,45.11,38.68,61.76,54.9,61.33
